Component 00000000037555,00011-37555,00006-00010-63125,578140679-037555,1343111266-037555,2108081853-0037555,98250326-037555,568364685-00037555,789506856-037555,263446952-0000037555
Component 00000000058230,00004-00003-58230,00003-00005-00004-24288,621574592-058230,102445724-058230,1730800503-0058230,1213628258-058230,1661788951-00058230,1473192692-058230,1327093005-0000058230
Component 00000000038928,00003-00001-00006-38928,00003-00007-101563,807635776-038928,247497372-038928,1834842615-0038928,1558210593-038928,63935319-00038928,1838279795-038928,784115760-0000038928
Component 00000000026183,00003-00003-00001-26183,00004-00001-00009-115319,586821036-026183,1559813953-026183,385323223-0026183,1606079100-026183,1036081809-00026183,45840818-026183,1638947841-0000026183
Component 00000000051426,00001-00004-00011-51426,00002-00003-00003-80902,997235961-051426,108217647-051426,1366682980-0051426,829520672-051426,979644948-00051426,1274029829-051426,260683740-0000051426
Component 00000000012929,00004-00007-12929,00002-00001-00002-114857,542724680-012929,1141294290-012929,1739863900-0012929,1656063354-012929,810698951-00012929,1356778549-012929,1193821764-0000012929
Component 00000000086174,00004-00004-00010-86174,00003-00001-00003-65458,1998228476-086174,1613927359-086174,1229626242-0086174,1613235301-086174,1387257239-00086174,731644036-086174,1730118130-0000086174
Component 00000000052573,00003-00003-00001-52573,00005-00002-112985,696935666-052573,329462429-052573,2109472839-0052573,1128094671-052573,817977209-00052573,238089466-052573,639332228-0000052573
Component 00000000048647,00002-00004-00001-48647,00001-00003-00012-3041,1221187220-048647,1559452135-048647,1897717050-0048647,1520908245-048647,1977067317-00048647,278033964-048647,1931966305-0000048647
Component 00000000122751,00001-00006-00005-122751,00002-00002-101257,1076068779-122751,563520972-122751,50973165-0122751,913562080-122751,1328817468-00122751,96094160-122751,1758915683-0000122751
Component 00000000120624,00004-00010-120624,00001-00006-00009-41726,1537136481-120624,2045570420-120624,406520712-0120624,1500120582-120624,1105434534-00120624,172161789-120624,53407025-0000120624
Component 00000000006583,00003-00003-00005-6583,00004-00002-00002-60699,1694674455-006583,2062258124-006583,282358146-0006583,1268871402-006583,1578436704-00006583,11337744-006583,1979010431-0000006583
Component 00000000010911,00001-00005-00004-10911,00004-00004-58335,548694531-010911,1736616646-010911,777055114-0010911,1254600463-010911,1757440829-00010911,1734381229-010911,862921011-0000010911
Component 00000000040116,00001-00006-00011-40116,00004-00001-00002-11299,714567831-040116,2008703650-040116,1155355822-0040116,129387466-040116,101159312-00040116,556061380-040116,1809266694-0000040116
Component 00000000063118,00003-00006-00003-63118,00003-00004-00008-37643,1575522972-063118,172890759-063118,917742193-0063118,1193595522-063118,1764305646-00063118,821169805-063118,1034445193-0000063118
Component 00000000061086,00001-00004-00012-61086,00005-104265,165032849-061086,689542983-061086,1214053117-0061086,1981454231-061086,1506387208-00061086,1719199164-061086,611684912-0000061086
Component 00000000087189,00004-00004-00011-87189,00004-00001-00005-14344,1163327805-087189,1797234707-087189,283657962-0087189,1843041494-087189,820990631-00087189,1526088043-087189,22481612-0000087189
Component 00000000092751,00001-00001-00009-92751,1436259974,651214103-092751,483194954-092751,315175805-0092751,18478141-092751,858573886-00092751,1176229539-092751,425506287-0000092751
Component 00000000064183,00003-00002-64183,00004-00006-67424,1404483681-064183,805081603-064183,205679525-0064183,250770309-064183,1100297052-00064183,550471348-064183,1584820068-0000064183
Component 00000000060991,00001-00008-60991,00004-101595,481536932-060991,1873969343-060991,1118918107-0060991,368773985-060991,1996546518-00060991,746299603-060991,2112052272-0000060991
Component 00000000032329,00004-00003-00011-32329,00004-00003-00005-40344,700625414-032329,1231329764-032329,1762034114-0032329,669982625-032329,163944522-00032329,404630450-032329,19491307-0000032329
Component 00000000071938,00003-00006-00009-71938,00003-00001-00005-37458,761657297-071938,1367024150-071938,1972391003-0071938,1130920433-071938,251569815-00071938,1901978830-071938,1132549307-0000071938
Component 00000000122296,00001-00006-00005-122296,00001-00003-00003-88546,1555038282-122296,1485584845-122296,1416131408-0122296,1407772058-122296,1755039243-00122296,368756953-122296,1569522612-0000122296
Component 00000000048301,00001-00001-00006-48301,00001-00006-116915,2122389647-048301,934263192-048301,1893620384-0048301,1406573225-048301,904754559-00048301,926894629-048301,1491766891-0000048301
Component 00000000063090,00006-00001-63090,00004-00005-00006-36874,892489067-063090,1609581940-063090,179191166-0063090,238013232-063090,947516161-00063090,953208619-063090,1650601368-0000063090
Component 00000000042272,00002-00006-00009-42272,00001-00002-00005-71661,1899186576-042272,892919531-042272,2034136133-0042272,1413616951-042272,2501235-00042272,843008650-042272,787685577-0000042272
Component 00000000008293,00003-00005-00012-8293,00004-00006-108595,2140073904-008293,1152203957-008293,164334010-0008293,399279885-008293,1043662326-00008293,1966956682-008293,237268034-0000008293
Component 00000000034607,00002-00006-00001-34607,00002-00001-00008-104112,826421921-034607,1502269017-034607,30632466-0034607,1392751372-034607,160999539-00034607,1054827824-034607,383644087-0000034607
Component 00000000037670,00003-00009-37670,00004-00003-00010-66349,297915467-037670,1601359070-037670,757319026-0037670,164162626-037670,89395552-00037670,586182648-037670,1641858302-0000037670
Component 00000000115137,00002-00001-00009-115137,00002-00003-00002-11637,1449152929-115137,1046667763-115137,644182597-0115137,1255975201-115137,1120917384-00115137,1457217784-115137,1401870265-0000115137
Component 00000000122702,00002-00006-00008-122702,00001-00002-00001-99906,601192264-122702,176846458-122702,1899984299-0122702,1495257143-122702,1469502526-00122702,1707430046-122702,1275855229-0000122702
Component 00000000050230,00005-00011-50230,00002-00003-00005-69282,902894263-050230,81765827-050230,1408121038-0050230,1880354410-050230,1691029296-00050230,143434981-050230,1875891554-0000050230
Component 00000000026417,00002-00006-00001-26417,00004-00005-00001-121889,1571418195-026417,224653421-026417,1025372294-0026417,677836066-026417,969208995-00026417,1351218453-026417,979193126-0000026417
Component 00000000081995,00004-00004-81995,00003-00003-00004-71998,455393542-081995,1577061162-081995,551245135-0081995,1169181937-081995,2003294778-00081995,608348127-081995,721839647-0000081995
Component 00000000031204,00004-00005-00004-31204,00003-00002-00003-8843,239507307-031204,1365893253-031204,344795552-0031204,1182134513-031204,1992655724-00031204,618941540-031204,1113599335-0000031204
Component 00000000043998,00003-00003-00006-43998,00005-00008-119985,590270384-043998,556458521-043998,522646658-0043998,24136852-043998,193196167-00043998,1114784607-043998,1820328247-0000043998
Component 00000000069030,00003-69030,00001-00005-00008-79581,213416230-069030,451176237-069030,688936244-0069030,2081100158-069030,892300123-00069030,888478331-069030,277705563-0000069030
Component 00000000107915,00003-00002-107915,00003-00003-00008-56493,513767213-107915,171298510-107915,1976313454-0107915,10162470-107915,1722505985-00107915,1255138645-107915,1534355698-0000107915
Component 00000000016765,00008-16765,00004-00003-00010-23124,1304673929-016765,2085228876-016765,718300176-0016765,1580625036-016765,1972817595-00016765,116605739-016765,1011401033-0000016765
Component 00000000008082,00002-00004-00009-8082,00003-102700,1700265937-008082,1192139093-008082,684012249-0008082,678434120-008082,1071584693-00008082,932497542-008082,491342433-0000008082
Component 00000000025588,00003-00003-00004-25588,00002-00003-00003-98647,904418815-025588,614966255-025588,325513695-0025588,1898355184-025588,1198134337-00025588,2043081464-025588,2087584643-0000025588
Component 00000000117220,00005-00012-117220,00001-00006-00005-69971,2096786588-117220,1360791226-117220,624795864-0117220,760749883-117220,145759399-00117220,1128747564-117220,2061111042-0000117220
Component 00000000043452,00002-00003-00006-43452,00001-00002-104665,1490053377-043452,1957171289-043452,276805554-0043452,522951992-043452,334846079-00043452,289393036-043452,381101010-0000043452
Component 00000000060800,00005-00012-60800,00003-00005-00005-96283,1117008719-060800,463518218-060800,1957511364-0060800,561232302-060800,1681201160-00060800,1961719376-060800,171870709-0000060800
Component 00000000000081,00001-00004-00003-81,00003-00001-00003-2213,1517262810-000081,1130315867-000081,743368924-0000081,1003947074-000081,791198142-00000081,123678722-000081,598719480-0000000081
Component 00000000019243,00003-00003-19243,00002-00012-44550,1058606565-019243,952097276-019243,845587987-0019243,1261615166-019243,1794161611-00019243,241127987-019243,1151151634-0000019243
Component 00000000118421,00001-00002-00004-118421,00003-00005-00009-103528,179269286-118421,935926117-118421,1692582948-0118421,1443645414-118421,1955328553-00118421,2139058822-118421,1870742436-0000118421
Component 00000000036364,00004-00006-00003-36364,00002-00002-00008-29752,1558766280-036364,1490232459-036364,1421698638-0036364,1456101432-036364,1798770537-00036364,416626519-036364,2116608337-0000036364
Component 00000000119674,00004-00002-00009-119674,00004-00005-00007-15139,865104248-119674,2118414044-119674,1224240193-0119674,1521087238-119674,1696989199-00119674,894432340-119674,989192341-0000119674
Component 00000000085532,00002-00006-00005-85532,00002-00002-00008-47497,1135897603-085532,252187963-085532,1515961970-0085532,1225653003-085532,1349233909-00085532,1667507823-085532,484613180-0000085532
Component 00000000060468,00003-00002-00005-60468,00003-00006-86950,1233016778-060468,917082236-060468,601147694-0060468,942577020-060468,374766083-00060468,1100544291-060468,345343525-0000060468
Component 00000000052696,00001-00007-52696,00003-00006-00008-116423,1397982242-052696,395439852-052696,1540381109-0052696,19316561-052696,737061217-00052696,520587756-052696,152869876-0000052696
Component 00000000102725,00012-102725,00001-00001-00007-34756,143804860-102725,69855946-102725,2143390679-0102725,852249825-102725,1221994395-00102725,889224282-102725,1132524686-0000102725
Component 00000000116954,00004-00005-00006-116954,00001-00001-00007-62511,1511982576-116954,1438822394-116954,1365662212-0116954,111197396-116954,476998306-00116954,147777487-116954,1991110060-0000116954
Component 00000000119534,00004-00002-00012-119534,00002-00005-00010-11177,413758499-119534,1002389886-119534,1591021273-0119534,2118835181-119534,1323161893-00119534,750777664-119534,426840955-0000119534
Component 00000000065687,00002-00006-00011-65687,00001-00001-00004-109516,387952966-065687,1443977650-065687,352518687-0065687,65542612-065687,1227870133-00065687,1685013917-065687,556500861-0000065687
Component 00000000021616,00001-00010-21616,00004-00004-00008-110989,1649792243-021616,68663400-021616,635018204-0021616,1200712826-021616,516422453-00021616,917535424-021616,470662063-0000021616
Component 00000000061111,00001-00001-00011-61111,00002-00005-00006-104942,349677530-061111,193176127-061111,36674724-0061111,275552249-061111,1058059264-00061111,1427544774-061111,463230919-0000061111
Component 00000000045915,00002-00012-45915,00003-00002-00006-50108,2043448493-045915,1298576924-045915,553705355-0045915,1350657572-045915,780048123-00045915,649351533-045915,1983952214-0000045915
Component 00000000115919,00004-00006-00011-115919,00002-00004-33527,237503186-115919,1405590412-115919,426193991-0115919,1055158825-115919,1657173636-00115919,471115212-115919,810348703-0000115919
Component 00000000114866,00001-00003-00011-114866,00001-00003-00008-58131,304343987-114866,304019537-114866,303695087-0114866,288608162-114866,290230412-00114866,288770387-114866,1753560692-0000114866
Component 00000000121806,00001-00006-00009-121806,00002-00004-00003-74792,1765984749-121806,1257118539-121806,748252329-0121806,708293681-121806,1105141084-00121806,962726786-121806,640238891-0000121806
Component 00000000062089,00004-00006-00001-62089,00004-00001-8814,258720565-062089,645952454-062089,1033184343-0062089,785856182-062089,997180384-00062089,1665982061-062089,223792198-0000062089
Component 00000000109438,00003-00004-109438,00004-00005-00001-99139,911870527-109438,1352734410-109438,1793598293-0109438,1892674206-109438,1835838438-00109438,598500441-109438,948587029-0000109438
Component 00000000052175,00004-00006-52175,00004-00003-00010-101839,1775293197-052175,515593672-052175,1403377794-0052175,1883150174-052175,1739196858-00052175,1439258113-052175,867110628-0000052175
Component 00000000049442,00002-00001-00003-49442,00001-00003-00003-25301,874653730-049442,711576774-049442,548499818-0049442,1555355952-049442,223257085-00049442,1636894430-049442,1056568228-0000049442
Component 00000000040958,00003-00001-00008-40958,00002-00002-00007-56492,1609658638-040958,871448097-040958,133237556-0040958,1239927575-040958,636012986-00040958,535291022-040958,182143082-0000040958
Component 00000000101068,00003-00002-00006-101068,00004-00005-00001-111879,113360935-101068,2055329044-101068,1849813506-0101068,883275577-101068,1910853267-00101068,986033346-101068,1024323700-0000101068
Component 00000000047616,00001-00002-00010-47616,00002-00002-00010-97757,1403143390-047616,1996165875-047616,441704713-0047616,1173704678-047616,356075900-00047616,1950935259-047616,100157246-0000047616
Component 00000000111486,00001-00004-00011-111486,00003-00003-32945,1205137901-111486,2102539029-111486,852456510-0111486,1779419669-111486,1587381323-00111486,1330719105-111486,1623438210-0000111486
Component 00000000080440,00003-00009-80440,00002-00006-00001-3667,998487703-080440,268245341-080440,1685486626-0080440,2088955145-080440,1445199661-00080440,306592679-080440,1677129595-0000080440
Component 00000000012603,00003-00003-00006-12603,00004-00004-00010-105739,954339181-012603,887375853-012603,820412525-0012603,2001585067-012603,188918060-00012603,2035066731-012603,1316310069-0000012603
Component 00000000099062,00002-00005-00002-99062,00001-00012-55665,67875739-099062,1699317862-099062,1183276338-0099062,809665589-099062,1242389562-00099062,1067686351-099062,934788454-0000099062
Component 00000000051019,00004-00003-00007-51019,00001-00006-00009-69481,1519423704-051019,1785567178-051019,2051710652-0051019,1542480311-051019,211762941-00051019,1409408574-051019,359156121-0000051019
Component 00000000003066,00001-00011-3066,00003-00005-00009-85783,998205813-003066,1690502196-003066,235314932-0003066,1288583860-003066,2122069239-00003066,2016177492-003066,480968928-0000003066
Component 00000000064574,00004-00006-00003-64574,00003-00004-00006-78383,470609808-064574,795514937-064574,1120420066-0064574,122381212-064574,645339214-00064574,1033670471-064574,784807559-0000064574
Component 00000000046712,00002-00001-00003-46712,00003-00004-00001-72398,259653932-046712,1173437620-046712,2087221308-0046712,1628489860-046712,1354538714-00046712,1171598016-046712,1096435671-0000046712
Component 00000000099515,00003-99515,00001-00002-68406,1582916800-099515,1630311207-099515,1677705614-0099515,660320069-099515,423348034-00099515,1710364689-099515,1440070709-0000099515
Component 00000000052902,00002-00003-00005-52902,00001-00005-00010-72966,596307032-052902,1090649207-052902,1584991382-0052902,2023324226-052902,1699096998-00052902,702411315-052902,1422779061-0000052902
Component 00000000041528,00003-00004-00006-41528,00004-00001-00010-50814,1844850581-041528,760935632-041528,1824504330-0041528,1888324906-041528,865448710-00041528,1356540557-041528,1277889698-0000041528
Component 00000000071823,00003-00003-00011-71823,00010-34265,1720453316-071823,14528807-071823,456087945-0071823,1661235039-071823,1600922996-00071823,1440455470-071823,116598568-0000071823
Component 00000000068812,00002-00002-00003-68812,00002-00002-73502,1405574596-068812,561532517-068812,1864974085-0068812,197981234-068812,123224335-00068812,1693744097-068812,1084205304-0000068812
Component 00000000040055,00001-00002-40055,00001-00005-9581,330900578-040055,2142620412-040055,1806856599-0040055,152483000-040055,1831302065-00040055,1394106730-040055,69713228-0000040055
Component 00000000080717,00002-80717,00003-00008-36200,2050269573-080717,19106358-080717,135426790-0080717,1249359584-080717,667757424-00080717,1191199368-080717,2103027092-0000080717
Component 00000000047887,00002-00008-47887,00004-00001-00009-105309,285312383-047887,961574743-047887,1637837103-0047887,871782138-047887,1785437632-00047887,533650958-047887,392702933-0000047887
Component 00000000044717,00002-00001-00010-44717,00001-00005-00006-16581,802263004-044717,56149914-044717,1457520471-0044717,1123000138-044717,558598294-00044717,1496056683-044717,1488830427-0000044717
Component 00000000047520,00004-00005-47520,00004-00006-00007-95024,1856583006-047520,493866075-047520,1278632791-0047520,1263063086-047520,1634196800-00047520,870679728-047520,404995815-0000047520
Component 00000000088888,00003-00002-00007-88888,00002-00002-00010-19497,995349504-088888,1373281723-088888,1751213942-0088888,1071451126-088888,1329273678-00088888,1956226840-088888,1595681729-0000088888
Component 00000000023759,00004-00001-00008-23759,00004-00003-00011-38244,305383889-023759,700272186-023759,1095160483-0023759,1203855294-023759,1376897456-00023759,2080152969-023759,900821602-0000023759
Component 00000000074278,00003-00001-00009-74278,00004-00002-00008-119569,362971511-074278,1719639997-074278,928824836-0074278,1736883672-074278,1395992183-00074278,1058549429-074278,40593076-0000074278
Component 00000000080715,00005-00011-80715,00004-00003-36169,399210928-080715,2044527166-080715,1542359757-0080715,740153532-080715,1103506930-00080715,2064979060-080715,1671594747-0000080715
Component 00000000091284,00004-00004-00011-91284,00004-00004-00003-84984,1553462236-091284,1201177215-091284,848892194-0091284,573766070-091284,187707528-00091284,1823650404-091284,547125664-0000091284
Component 00000000030415,00008-30415,00003-00003-110253,124811272-030415,58496683-030415,2139665741-0030415,129779176-030415,461352121-00030415,1236678294-030415,1958397883-0000030415
Component 00000000041636,00001-00010-41636,00002-00006-00002-53822,2004611476-041636,735376210-041636,1613624591-0041636,576243191-041636,479968580-00041636,1210860824-041636,1367296541-0000041636
Component 00000000002358,00003-00006-00005-2358,00005-00005-65980,1864864446-002358,211440434-002358,705500069-0002358,1130694803-002358,807880275-00002358,1957406809-002358,188556353-0000002358
Component 00000000119770,00001-119770,00003-00006-00002-41628,1726656351-119770,1225781069-119770,724905787-0119770,1056525291-119770,1413418054-00119770,1306962932-119770,968185145-0000119770
Component 00000000024810,00002-00006-24810,00004-00005-00010-76879,418700460-024810,210460414-024810,2220368-0024810,1056476464-024810,2097676694-00024810,1160596487-024810,2078904317-0000024810
Component 00000000049737,00002-00002-00012-49737,00004-00011-33590,138067034-049737,1290187880-049737,294825079-0049737,181353243-049737,863199954-00049737,1752776467-049737,2002696334-0000049737
Component 00000000034077,00002-00001-00004-34077,00002-00005-89315,273334006-034077,2086197323-034077,1751576993-0034077,1224117177-034077,749735180-00034077,1391427342-034077,355480774-0000034077
Component 00000000120978,00003-00004-120978,00002-00003-00006-51642,2087626938-120978,1558326741-120978,1029026544-0120978,1112629324-120978,1611646662-00120978,303537599-120978,127912863-0000120978
Component 00000000117698,00003-00009-117698,00002-00006-00010-83327,1056425581-117698,1171073497-117698,1285721413-0117698,174398566-117698,1748642633-00117698,117074608-117698,1265040856-0000117698
Component 00000000006893,00003-00005-00003-6893,00003-00004-00007-69388,88564762-006893,12500202-006893,2083919289-0006893,694400896-006893,1074723696-00006893,732433176-006893,46341900-0000006893
Component 00000000119714,00004-00010-119714,00002-00001-16212,1759667626-119714,622786482-119714,1633388985-0119714,308023317-119714,1697461743-00119714,876463889-119714,238931997-0000119714
Component 00000000092330,00004-92330,00003-00003-00012-114243,545950123-092330,812544242-092330,1079138361-0092330,1664604836-092330,331634241-00092330,457565953-092330,522534192-0000092330
Component 00000000037580,00004-00010-37580,00001-00005-00001-63831,1962732251-037580,58293529-037580,301338454-0037580,1939251055-037580,724026430-00037580,743986769-037580,1799824368-0000037580
Component 00000000019408,00003-00004-00012-19408,00002-00005-00008-49187,2059293307-019408,708233478-019408,1504657296-0019408,2031142834-019408,196507391-00019408,1632930925-019408,1316936977-0000019408
Component 00000000037274,00004-00006-00003-37274,00001-00003-00009-51411,38774558-037274,1252313717-037274,318369229-0037274,1987107124-037274,214378623-00037274,306595721-037274,2058005545-0000037274
Component 00000000102422,00002-00005-00008-102422,00002-00002-00005-26252,1796105948-102422,783201661-102422,1917781021-0102422,988630086-102422,1758184227-00102422,421340406-102422,110246334-0000102422
Component 00000000061788,00003-00006-00012-61788,00006-00006-370,738470353-061788,310732554-061788,2030478402-0061788,394281748-061788,385487096-00061788,1681892471-061788,1776650243-0000061788
Component 00000000062657,00002-00010-62657,00002-00004-24717,459658770-062657,532949694-062657,606240618-0062657,1866784937-062657,1500330317-00062657,1830139475-062657,539489479-0000062657
Component 00000000008204,00004-00001-8204,00002-00006-00010-106077,1983080948-008204,1885103813-008204,1787126678-0008204,452415371-008204,942301046-00008204,1575145762-008204,2046410906-0000008204
Component 00000000025352,00002-00005-00002-25352,00002-00006-00011-92077,111901177-025352,381774475-025352,651647773-0025352,315854248-025352,1113971405-00025352,180917599-025352,2009606736-0000025352
Component 00000000056287,00002-00010-56287,00003-00006-00010-93428,1147094660-056287,4554991-056287,1009498969-0056287,494753712-056287,1912484763-00056287,2139765370-056287,1911827724-0000056287
Component 00000000078856,00001-00001-00011-78856,00003-00004-00003-107643,1553905722-078856,1341095079-078856,1128284436-0078856,896265948-078856,1960319163-00078856,2076413093-078856,285506442-0000078856
Component 00000000052222,00002-00002-00001-52222,00006-00001-103130,858019847-052222,34546670-052222,1358557140-0052222,648018232-052222,470416823-00052222,2133496644-052222,1384044473-0000052222
Component 00000000006544,00004-00006-00005-6544,00004-00005-00006-59624,1912435371-006544,767138989-006544,1769326254-0006544,52652019-006544,1484166635-00006544,625300210-006544,1638715302-0000006544
Component 00000000019849,00004-00004-00011-19849,00004-00004-00009-61499,1293716715-019849,2052686629-019849,664172896-0019849,1596535545-019849,2096653269-00019849,1217050588-019849,1762852008-0000019849
Component 00000000108143,00003-00009-108143,00006-00012-62880,290068377-108143,841301255-108143,1392534133-0108143,1255059196-108143,646378453-00108143,979442757-108143,1918008060-0000108143
Component 00000000078628,00003-00004-00004-78628,00002-00002-101257,1755663672-078628,512282166-078628,1416384307-0078628,1581202747-078628,1355659336-00078628,55409853-078628,1953263957-0000078628
Component 00000000066455,00004-00012-66455,00002-00002-00004-7492,1337616783-066455,751094691-066455,164572599-0066455,808582732-066455,1593709545-00066455,1101843778-066455,1675860393-0000066455
Component 00000000075375,00006-00001-75375,00003-00003-10195,944350963-075375,2059363454-075375,1026892298-0075375,261623778-075375,1129012264-00075375,777859356-075375,294680689-0000075375
Component 00000000008182,00002-00006-00005-8182,00003-00001-00007-105463,2140933518-008182,2017838591-008182,1894743664-0008182,1539538676-008182,7529664-00008182,527344316-008182,1563653166-0000008182
Component 00000000015117,00002-00004-00011-15117,00004-00001-00005-52564,1422098717-015117,1240966381-015117,1059834045-0015117,1227115009-015117,2132776689-00015117,1317681177-015117,1856634393-0000015117
Component 00000000086036,00001-00006-00002-86036,00004-00009-61590,900517572-086036,2090231551-086036,1132461883-0086036,1693328908-086036,39726307-00086036,24730095-086036,302211576-0000086036
Component 00000000062518,00003-00001-00001-62518,00001-00003-00012-20786,741454936-062518,780979658-062518,820504380-0062518,510920306-062518,313296696-00062518,491157945-062518,925153593-0000062518
Component 00000000118413,00003-00001-00009-118413,00004-00003-00007-103344,1093843724-118413,1301938269-118413,1510032814-0118413,1522752745-118413,482280020-00118413,344963649-118413,1369158332-0000118413
Component 00000000048285,00006-00003-48285,00003-00001-00012-116453,1071498125-048285,1058144058-048285,1044789991-0048285,1497567699-048285,1564338034-00048285,430502909-048285,1182420336-0000048285
Component 00000000123454,00004-00002-00006-123454,00001-00002-46711,1840190725-123454,1204317639-123454,568444553-0123454,1065117112-123454,2096998895-00123454,1383053655-123454,2088867864-0000123454
Component 00000000077403,00003-00004-00001-77403,00003-00001-66963,1333850483-077403,776170299-077403,218490115-0077403,56165323-077403,697082596-00077403,335005415-077403,1029921162-0000077403
Component 00000000030264,00004-00003-30264,00002-00006-00010-106077,1064537134-030264,2046058463-030264,880096145-0030264,349939533-030264,1884783829-00030264,932920692-030264,1591666150-0000030264
Component 00000000059780,00006-59780,00003-00009-67700,1646232240-059780,28462792-059780,558176991-0059780,493825304-059780,2140221603-00059780,1302710028-059780,1943578767-0000059780
Component 00000000100728,00003-00005-00004-100728,00003-00002-00001-102363,188904816-100728,1602487563-100728,868586663-0100728,1101933165-100728,476470371-00100728,1468883615-100728,1259533429-0000100728
Component 00000000121156,00001-00009-121156,00006-56615,2022756832-121156,303446095-121156,731619005-0121156,1314306497-121156,1320925594-00121156,1100220042-121156,588987894-0000121156
Component 00000000058235,00002-00008-58235,00001-00004-00001-24441,404124414-058235,461714282-058235,519304150-0058235,1049749365-058235,761800025-00058235,1020954431-058235,2036572022-0000058235
Component 00000000009642,00002-00003-00009-9642,00004-00006-13299,865678516-009642,1010241053-009642,1154803590-0009642,360768796-009642,1785439758-00009642,1362229351-009642,632876613-0000009642
