Component 00000000106334,00004-00004-00007-106334,00002-00002-00006-12252,71289341-106334,1963778217-106334,1708783446-0106334,1662686653-106334,790176861-00106334,716442215-106334,753731858-0000106334
Component 00000000039253,00003-00004-00006-39253,00002-00005-110682,1306548660-039253,168824078-039253,1178583143-0039253,1961481255-039253,1207653224-00039253,382859899-039253,504415348-0000039253
Component 00000000062251,00001-00007-62251,00001-00005-00001-13326,1315259488-062251,1051137245-062251,787015002-0062251,316490761-062251,1637101976-00062251,1522293706-062251,291965110-0000062251
Component 00000000019970,00006-00002-19970,00001-00002-00010-64906,1775244382-019970,1117064475-019970,458884568-0019970,992031774-019970,2135447662-00019970,247379904-019970,1954833476-0000019970
Component 00000000118979,00004-00003-118979,00002-00005-00003-119187,379656500-118979,1513842556-118979,500544965-0118979,1700589041-118979,324626055-00118979,1133496013-118979,1161029500-0000118979
Component 00000000014015,00001-00001-14015,00004-00004-00003-21739,108631522-014015,1986306761-014015,1716498353-0014015,2055309263-014015,1256867656-00014015,42729820-014015,68566269-0000014015
Component 00000000113000,00006-00004-113000,00004-00010-75345,1903552942-113000,1715412602-113000,1527272262-0113000,1368681040-113000,161899093-00113000,1462751210-113000,441129967-0000113000
Component 00000000018314,00004-00002-00010-18314,00001-00003-00008-18546,2063618310-018314,900712363-018314,1885290063-0018314,423512879-018314,1943075320-00018314,2078707676-018314,1136858947-0000018314
Component 00000000072759,00004-00001-00011-72759,00005-00009-60485,1649343294-072759,419142937-072759,1336426227-0072759,1040426272-072759,748977116-00072759,581784627-072759,211190130-0000072759
Component 00000000080890,00005-00004-80890,00001-00003-00010-41051,847335924-080890,343288576-080890,1986724875-0080890,23359663-080890,396112756-00080890,275383337-080890,35649736-0000080890
Component 00000000107910,00005-00010-107910,00006-00002-56370,181261933-107910,1197899237-107910,67052894-0107910,96047296-107910,1455311717-00107910,1735212291-107910,728352501-0000107910
Component 00000000118901,00001-00006-00003-118901,00001-00001-00006-117006,1365111315-118901,1428396983-118901,1491682651-0118901,139498919-118901,1970554226-00118901,107856085-118901,1535938860-0000118901
Component 00000000021258,00003-00006-00003-21258,00001-00006-00010-100981,1611280182-021258,323517805-021258,1183239075-0021258,358088837-021258,354449781-00021258,2075711849-021258,959713943-0000021258
Component 00000000016313,00003-00003-00011-16313,00003-00005-00007-86028,109716733-016313,211745289-016313,313773845-0016313,763134405-016313,252991625-00016313,712120127-016313,1771835602-0000016313
Component 00000000032654,00004-00006-00011-32654,00011-51660,1313443240-032654,1384129553-032654,1454815866-0032654,1520503950-032654,1167072385-00032654,411418970-032654,1783397893-0000032654
Component 00000000004893,00003-00005-4893,00004-00005-00012-13389,812106569-004893,1923973465-004893,888356714-0004893,1050559850-004893,1933676311-00004893,494626402-004893,369349799-0000004893
Component 00000000120609,00004-00006-00008-120609,00003-41265,2098603924-120609,173677879-120609,396235481-0120609,7745739-120609,1042441376-00120609,2043950585-120609,1418793481-0000120609
Component 00000000097150,00004-00001-97150,00001-00005-2150,1525898895-097150,1243355296-097150,960811697-0097150,1781178049-097150,1046412397-00097150,848708025-097150,1775763606-0000097150
Component 00000000102037,00002-00005-102037,00003-00001-15445,832393414-102037,186666320-102037,1688422873-0102037,1726884060-102037,660552236-00102037,2049747607-102037,1505002988-0000102037
Component 00000000073486,00001-00010-73486,00004-00003-00005-80839,1975147725-073486,1442414937-073486,909682149-0073486,1907411271-073486,276107917-00073486,26294018-073486,637928177-0000073486
Component 00000000024360,00011-24360,00003-00005-00008-64293,1180612243-024360,1743522579-024360,158949268-0024360,564476128-024360,2044891742-00024360,283020960-024360,1681072841-0000024360
Component 00000000100294,00004-00005-00012-100294,00003-00011-90205,1426608253-100294,1923233737-100294,272375574-0100294,1890624110-100294,1554980337-00100294,1642311368-100294,350211567-0000100294
Component 00000000075417,00002-00006-00004-75417,00002-00001-11362,974127904-075417,578086832-075417,182045760-0075417,1093488735-075417,926210448-00075417,1291509271-075417,73683487-0000075417
Component 00000000047850,00005-00010-47850,00002-00006-00002-104327,157795569-047850,230004643-047850,302213717-0047850,1512452011-047850,1151406641-00047850,1476347474-047850,1310078140-0000047850
Component 00000000038718,00003-00001-00004-38718,1436259974,1846946667-038718,247206128-038718,794949236-0038718,495199994-038718,2051451748-00038718,221328440-038718,1631543530-0000038718
Component 00000000122564,00004-00001-122564,00003-00004-00009-45483,1191745504-122564,147256836-122564,1250251815-0122564,2073652634-122564,853645033-00122564,448413321-122564,405179493-0000122564
Component 00000000002111,00001-00004-00005-2111,00002-00006-59072,1763840262-002111,1669343791-002111,1574847320-0002111,401986889-002111,874469244-00002111,1522976948-002111,1754722860-0000002111
Component 00000000079822,00002-00001-00002-79822,00002-00005-00010-11177,1220326291-079822,1925998222-079822,484186506-0079822,11934769-079822,778542408-00079822,732840627-079822,98194154-0000079822
Component 00000000039501,00001-00007-39501,00004-00003-00004-117589,647366951-039501,2145071826-039501,1495293054-0039501,1345351214-039501,299277780-00039501,1670240600-039501,1301649354-0000039501
Component 00000000024270,00001-00012-24270,00006-38395,1530762022-024270,939179147-024270,347596272-0024270,1830021819-024270,492968900-00024270,1052071433-024270,650772039-0000024270
Component 00000000032237,00002-00002-00010-32237,00001-00003-00005-37796,713233483-032237,517749634-032237,322265785-0032237,895943218-032237,1873362463-00032237,2067426966-032237,783991681-0000032237
Component 00000000064070,00006-00006-64070,00003-00005-00008-64293,1799050237-064070,112267579-064070,572968568-0064070,1594469910-064070,1438448612-00064070,290377592-064070,729994497-0000064070
Component 00000000023987,00002-00005-00002-23987,00003-00002-00007-53853,1235869882-023987,542211078-023987,1996035921-0023987,1953156240-023987,1126482966-00023987,152501995-023987,1365287545-0000023987
Component 00000000039493,00003-00006-00012-39493,00006-00011-117375,343961438-039493,822633655-039493,1301305872-0039493,1010985669-039493,765108231-00039493,1845391384-039493,1385605213-0000039493
Component 00000000122492,00002-00006-00006-122492,00001-00003-00012-94041,1237813412-122492,383430315-122492,1676530865-0122492,1676164324-122492,1653112515-00122492,1029614049-122492,1849735142-0000122492
Component 00000000113409,00004-00002-00010-113409,00001-00003-00008-86796,951047457-113409,1499608890-113409,2048170323-0113409,712731370-113409,117407852-00113409,1512192477-113409,337409632-0000113409
Component 00000000065961,00001-00012-65961,00002-00001-117222,1064759810-065961,344400044-065961,1771523925-0065961,487049511-065961,1941364694-00065961,847229394-065961,1806136627-0000065961
Component 00000000111735,00001-111735,00004-00005-39884,1950444988-111735,1518739913-111735,1087034838-0111735,1413843497-111735,1424885225-00111735,555954211-111735,1143972287-0000111735
Component 00000000053287,00002-00003-53287,00003-00006-00003-9428,636146158-053287,67389772-053287,1646117033-0053287,968748848-053287,1665047131-00053287,1253127041-053287,985693600-0000053287
Component 00000000086689,00004-00001-00005-86689,00003-00004-00003-79888,1584623697-086689,1094955471-086689,605287245-0086689,1458034853-086689,1758892336-00086689,1702868966-086689,1332985056-0000086689
Component 00000000108864,00004-00002-108864,00001-00005-00011-83081,44028046-108864,1825379294-108864,1459246895-0108864,540217694-108864,223396042-00108864,1797025717-108864,1662735081-0000108864
Component 00000000056706,00001-00006-56706,00002-00005-00004-105187,1067937039-056706,972170277-056706,876403515-0056706,718216376-056706,1197050186-00056706,766099757-056706,1683197664-0000056706
Component 00000000068004,00004-00006-00001-68004,00001-00002-00011-50906,1499107123-068004,1627792133-068004,1756477143-0068004,1297879167-068004,654454117-00068004,1233536662-068004,336693236-0000068004
Component 00000000012910,00002-00001-12910,00001-00005-00001-114336,91909896-012910,2054281042-012910,1869168541-0012910,777630009-012910,1703192514-00012910,1943928083-012910,210832220-0000012910
Component 00000000017755,00003-00010-17755,00003-00004-00002-2888,1772399117-017755,319455783-017755,1013996096-0017755,24124122-017755,846389851-00017755,750595789-017755,1190277985-0000017755
Component 00000000033488,00003-33488,00002-00008-72795,1625534244-033488,1465220840-033488,1304907436-0033488,292785091-033488,1094352111-00033488,372941793-033488,776982182-0000033488
Component 00000000095130,00009-95130,00001-00003-69111,302466082-095130,1659375597-095130,868801465-0095130,614326326-095130,272229692-00095130,1009613392-095130,926767522-0000095130
Component 00000000101168,00003-00004-00002-101168,00002-00003-00008-114642,1749774117-101168,582231316-101168,1562172162-0101168,2032264914-101168,1427527978-00101168,1542294491-101168,1716185550-0000101168
Component 00000000074967,00002-00004-00009-74967,00001-00003-00008-122286,273821537-074967,640242052-074967,1006662567-0074967,1939089162-074967,106986587-00074967,682137081-074967,2105561182-0000074967
Component 00000000009053,00003-00002-00005-9053,00003-00002-00001-6358,1260661450-009053,621782718-009053,2130387633-0009053,339814006-009053,1386724019-00009053,659253372-009053,35669851-0000009053
Component 00000000037856,00001-37856,1436259974,1736457907-037856,1772443865-037856,1808429823-0037856,1334293223-037856,1154363433-00037856,1316300244-037856,889960546-0000037856
Component 00000000041124,00004-00006-00005-41124,00005-00004-39485,922463209-041124,406941487-041124,2038903412-0041124,1689463456-041124,2119588419-00041124,1947224317-041124,179638057-0000041124
Component 00000000083038,00003-00004-00007-83038,00001-00006-00008-101226,1908888398-083038,821294536-083038,1881184321-0083038,700193619-083038,1843195635-00083038,1243990550-083038,1992214250-0000083038
Component 00000000031080,00010-31080,00004-00005-00005-5374,2035479274-031080,1891691610-031080,1747903946-0031080,1504228511-031080,75683184-00031080,1576122343-031080,1032387723-0000031080
Component 00000000041222,00002-00006-00012-41222,00002-00002-00010-42247,1951123265-041222,170694217-041222,537748816-0041222,1499660317-041222,1811870969-00041222,242391194-041222,791160009-0000041222
Component 00000000053664,00004-00002-53664,00004-00004-00008-19989,1945180876-053664,134120826-053664,470544423-0053664,8114331-053664,473479993-00053664,913644356-053664,301191485-0000053664
Component 00000000036297,00002-00002-00001-36297,00004-00005-00007-27879,119411899-036297,1659423858-036297,1051952170-0036297,721806089-036297,1611680882-00036297,1025541933-036297,1332147710-0000036297
Component 00000000072872,00002-00002-00007-72872,00003-00006-00004-63678,920808529-072872,1209768346-072872,1498728163-0072872,976715948-072872,1679400510-00072872,1905977863-072872,2080247954-0000072872
Component 00000000064653,00003-00001-00004-64653,00004-00008-80595,1455001726-064653,1578849479-064653,1702697232-0064653,2092908629-064653,1473669864-00064653,957242929-064653,1741051677-0000064653
Component 00000000043780,00002-00009-43780,00001-00012-113905,1608910449-043780,1901415149-043780,46436202-0043780,763002870-043780,1447963017-00043780,616750520-043780,11281121-0000043780
Component 00000000022406,00001-00006-00007-22406,00001-00005-9581,801274278-022406,1420454938-022406,2039635598-0022406,766765230-022406,1965829224-00022406,457174900-022406,1504687806-0000022406
Component 00000000092595,00006-00009-92595,00004-00002-00011-121704,424708766-092595,2120151454-092595,1668110495-0092595,1049300548-092595,1162021696-00092595,201579204-092595,1399311653-0000092595
Component 00000000077728,00003-00001-77728,00002-76050,821937868-077728,1908248012-077728,847074509-0077728,1968372324-077728,831788898-00077728,1425217252-077728,808702519-0000077728
Component 00000000077822,00002-00003-00004-77822,00005-00005-78720,1706445209-077822,347140015-077822,1135318468-0077822,204652710-077822,558727739-00077822,884305307-077822,674256760-0000077822
Component 00000000023527,00002-00010-23527,00003-00006-00004-40928,225202162-023527,971878500-023527,1718554838-0023527,2079266203-023527,493368160-00023527,1705928034-023527,76517678-0000023527
Component 00000000068148,00003-00003-00002-68148,00003-00006-00003-54928,784137272-068148,584094508-068148,384051744-0068148,1819481453-068148,672211626-00068148,1919502835-068148,788256736-0000068148
Component 00000000026197,00002-00003-00002-26197,00002-00004-115717,1736381536-026197,1157195648-026197,578009760-0026197,1563153379-026197,164115525-00026197,1852746323-026197,1987361599-0000026197
Component 00000000027065,00003-00012-27065,00003-00001-16458,1021623838-027065,802198305-027065,582772772-0027065,43161899-027065,1140289564-00027065,1226616489-027065,1079770443-0000027065
Component 00000000006826,00001-00001-00001-6826,00004-00004-00001-67484,1441130728-006826,153562917-006826,1013478753-0006826,197375834-006826,192763948-00006826,1914901563-006826,435378807-0000006826
Component 00000000087830,00001-00002-87830,00003-00006-00009-17793,841850133-087830,1956247595-087830,923161410-0087830,1203035865-087830,2073499496-00087830,645837134-087830,1206939201-0000087830
Component 00000000025887,00002-00001-00004-25887,00004-00006-107029,448948827-025887,1608792918-025887,621153362-0025887,1940554242-025887,436301081-00025887,286890373-025887,625697345-0000025887
Component 00000000030537,00002-00003-30537,00001-00004-00006-113691,764403175-030537,1158800210-030537,1553197245-0030537,1639048373-030537,1814546845-00030537,368108032-030537,1051040553-0000030537
Component 00000000106553,00003-00006-00005-106553,,1522819800-106553,257519337-106553,1139702521-0106553,1359031284-106553,1243082658-00106553,917939692-106553,40386784-0000106553
Component 00000000109915,00001-109915,00007-28035,1735048708-109915,1065017344-109915,394985980-0109915,1450782259-109915,505971785-00109915,1785797941-109915,2021406568-0000109915
Component 00000000110291,00001-00006-00012-110291,00004-00006-00005-123024,2115824817-110291,636405492-110291,1304469814-0110291,157206082-110291,1111851766-00110291,1970657568-110291,1430792334-0000110291
Component 00000000016183,00003-00006-00011-16183,00003-00002-00010-22318,220418581-016183,1684963018-016183,1002023808-0016183,1457605248-016183,577334004-00016183,1799074853-016183,549758765-0000016183
Component 00000000090836,00001-00004-00005-90836,00003-00001-00009-72458,1966977658-090836,824278463-090836,1829062915-0090836,1306899699-090836,577944733-00090836,804507473-090836,96849771-0000090836
Component 00000000111396,00001-00005-00012-111396,00001-00002-00002-30396,1415635912-111396,1851294953-111396,139470347-0111396,2144004754-111396,2113193196-00111396,852433410-111396,1590534017-0000111396
Component 00000000072265,00004-00011-72265,00002-00001-00002-46607,1059781876-072265,1284567357-072265,1509352838-0072265,150717646-072265,1174273888-00072265,1112066729-072265,704387171-0000072265
Component 00000000066138,00003-00002-00007-66138,00004-00003-122164,48409279-066138,2008078173-066138,1820263420-0066138,603070170-066138,1542143935-00066138,1770719370-066138,154549718-0000066138
Component 00000000055694,00004-00002-00002-55694,00004-00003-00006-76849,1886724485-055694,1819075752-055694,1751427019-0055694,1826986405-055694,17746423-00055694,787068948-055694,136070074-0000055694
Component 00000000097521,00001-00004-00008-97521,00004-00001-00001-12559,2006332027-097521,1941517924-097521,1876703821-0097521,2084073502-097521,260660370-00097521,1042738730-097521,1558375954-0000097521
Component 00000000040538,00003-00001-00004-40538,00004-00002-23090,1457255660-040538,1297424950-040538,1137594240-0040538,147917166-040538,947070716-00040538,227832521-040538,1085040516-0000040538
Component 00000000057085,00002-57085,00003-00005-115778,325890013-057085,1478354004-057085,483334348-0057085,1459560578-057085,2139691564-00057085,1957070406-057085,52670157-0000057085
Component 00000000101166,00001-00002-101166,00001-00005-00012-114581,2021486906-101166,162269529-101166,450535799-0101166,970015472-101166,1676167769-00101166,825882337-101166,570329596-0000101166
Component 00000000112177,00002-00002-112177,00002-00004-00001-52287,1376063675-112177,1486882752-112177,1597701829-0112177,1382079792-112177,827984407-00112177,252928430-112177,1752363853-0000112177
Component 00000000062830,00005-00001-62830,00003-00006-29568,2104711366-062830,1229285407-062830,353859448-0062830,1522483471-062830,1604645972-00062830,886454627-062830,774476687-0000062830
Component 00000000062144,00004-00005-00004-62144,00003-00009-10318,1350655475-062144,1691294824-062144,2031934173-0062144,1765536549-062144,62339804-00062144,521475051-062144,1546072800-0000062144
Component 00000000109426,00001-00002-00005-109426,00001-00003-00001-98801,362204688-109426,867303313-109426,1372401938-0109426,163426060-109426,1932900229-00109426,984618571-109426,633838958-0000109426
Component 00000000074929,00004-00001-00010-74929,00004-00004-00006-121244,1336718428-074929,1245467992-074929,1154217556-0074929,1206039576-074929,1662291756-00074929,1251664794-074929,311657439-0000074929
Component 00000000078804,00004-00005-00011-78804,00004-00001-1079,957928083-078804,337437501-078804,1864430566-0078804,928905914-078804,1883875177-00078804,1239151205-078804,1900707908-0000078804
Component 00000000022442,00002-00004-22442,00004-10595,1253445813-022442,640057020-022442,26668227-0022442,495118587-022442,1414578905-00022442,1875554807-022442,972298789-0000022442
Component 00000000055730,00003-00012-55730,00001-00006-00011-89711,72848210-055730,360482468-055730,648116726-0055730,1138207841-055730,1847520198-00055730,994390712-055730,927229740-0000055730
Component 00000000054257,00002-00008-54257,00003-00012-36568,1125461168-054257,943034436-054257,760607704-0054257,867699254-054257,1779832914-00054257,958912620-054257,1474451774-0000054257
Component 00000000083288,00003-00002-00010-83288,00001-00006-00001-108226,1232889962-083288,1532123382-083288,1831356802-0083288,713325303-083288,1364641850-00083288,563708593-083288,405448378-0000083288
Component 00000000105892,00002-00003-00007-105892,00003-00004-00011-22488,193466562-105892,273332631-105892,353198700-0105892,845745438-105892,446415093-00105892,1879554227-105892,1235525355-0000105892
Component 00000000064850,00002-00006-64850,00004-00003-00003-86089,1928355860-064850,1180007524-064850,431659188-0064850,2140683563-064850,1587457949-00064850,367374084-064850,1524486173-0000064850
Component 00000000098382,00002-00004-00011-98382,00004-00005-00008-36629,1253474551-098382,841512615-098382,429550679-0098382,600673478-098382,512999511-00098382,806654446-098382,679613146-0000098382
Component 00000000081024,00004-00006-00008-81024,00001-00001-00008-111756,437595928-081024,776524861-081024,1115453794-0081024,769521826-081024,1222360808-00081024,1673799183-081024,1843759667-0000081024
Component 00000000107429,00004-00010-107429,00002-00003-00005-42892,631529850-107429,31607394-107429,1579168585-0107429,1600061792-107429,304706778-00107429,1900023020-107429,1476424771-0000107429
Component 00000000030199,00004-00001-30199,00005-00001-104235,1915470352-030199,318985491-030199,869984277-0030199,721624062-030199,114113779-00030199,446124669-030199,1322428166-0000030199
Component 00000000061498,00003-00003-00008-61498,00003-00005-115778,434067169-061498,1868950531-061498,1156350246-0061498,1306433522-061498,574467653-00061498,588991841-061498,235733061-0000061498
Component 00000000026962,00002-00005-26962,00004-00003-00006-13604,254733057-026962,1349669000-026962,297121296-0026962,745776941-026962,1713548167-00026962,1272050793-026962,1171546384-0000026962
Component 00000000113122,00002-00002-00009-113122,00003-00003-00012-78753,575404054-113122,988744937-113122,1402085820-0113122,221342233-113122,302121465-00113122,1088413615-113122,1953327350-0000113122
Component 00000000030673,00003-00006-00006-30673,00002-00006-00005-42307,1203734336-030673,460852546-030673,1865454403-0030673,1681189520-030673,1100631176-00030673,2052630415-030673,276470317-0000030673
Component 00000000112925,00001-00007-112925,00003-00005-73195,914387276-112925,195752560-112925,1624601491-0112925,420341902-112925,1866031835-00112925,779659260-112925,903268855-0000112925
Component 00000000111953,00003-00002-00010-111953,00004-00004-45994,1920964386-111953,1855896029-111953,1790827672-0111953,1986374542-111953,164232680-00111953,945166897-111953,251314272-0000111953
Component 00000000092059,00004-00002-00006-92059,00002-00005-106722,32663083-092059,1729983106-092059,1279819482-0092059,1822047436-092059,1925381909-00092059,2047129248-092059,384211235-0000092059
Component 00000000078060,00003-00008-78060,00004-00003-00009-85354,1116713724-078060,2051135014-078060,838072657-0078060,1338989702-078060,961850546-00078060,871779057-078060,1761322029-0000078060
Component 00000000050321,00001-00005-00011-50321,00003-00006-00003-49923,1683836517-050321,1272412557-050321,860988597-0050321,1057127280-050321,966763433-00050321,1262839260-050321,174997741-0000050321
Component 00000000058222,00002-00003-00008-58222,00003-00010-24073,993807843-058222,1481677414-058222,1969546985-0058222,2106903743-058222,1815039535-00058222,789227134-058222,189653274-0000058222
Component 00000000114421,00001-00006-00008-114421,00004-00010-115164,1820384261-114421,1759492491-114421,1698600721-0114421,1014617063-114421,1319075913-00114421,1045062948-114421,1487474609-0000114421
Component 00000000011860,00002-00004-11860,00003-00006-00007-84923,1693044385-011860,1911124717-011860,2129205049-0011860,1532522252-011860,442120592-00011860,1423482086-011860,1899889655-0000011860
Component 00000000112141,00001-00001-00003-112141,,1466438449-112141,78822668-112141,838690534-0112141,1812807951-112141,160952268-00112141,1432874018-112141,2124557437-0000112141
Component 00000000028599,00004-00004-00012-28599,00004-00012-59409,1402094096-028599,824236563-028599,246379030-0028599,219549333-028599,961353351-00028599,1582219923-028599,1401177162-0000028599
Component 00000000042251,00001-00006-00001-42251,00002-00006-00006-71077,139203694-042251,885233194-042251,1631262694-0042251,1961896092-042251,379232239-00042251,1588881342-042251,806919214-0000042251
Component 00000000031470,00005-00010-31470,00002-00003-16305,331744667-031470,1826714331-031470,1174200348-0031470,1970813020-031470,938415641-00031470,1223328188-031470,1311184697-0000031470
Component 00000000001001,00001-1001,00002-00009-27972,1428390835-001001,755760280-001001,83129725-0001001,2091805446-001001,1159990927-00001001,1354378900-001001,604330238-0000001001
Component 00000000081986,00001-00002-00008-81986,00001-00001-8386,1625259905-081986,1685942218-081986,1746624531-0081986,1347126615-081986,1043715050-00081986,243043635-081986,1413742072-0000081986
Component 00000000075020,00001-00010-75020,00002-00002-247,1647879899-075020,1796872380-075020,1945864861-0075020,1357822463-075020,612860058-00075020,209584399-075020,96858308-0000075020
Component 00000000093812,00002-00005-00004-93812,00003-00003-00011-32238,1988171386-093812,343896508-093812,847105277-0093812,1697734742-093812,1329174544-00093812,372388534-093812,2092800351-0000093812
Component 00000000068357,00002-00002-00003-68357,00001-00001-00012-60761,1169082603-068357,305705416-068357,1589811876-0068357,1171220150-068357,1193138791-00068357,529166920-068357,1924029074-0000068357
Component 00000000019104,00004-00001-00007-19104,00006-00008-40620,66551513-019104,935728911-019104,1804906309-0019104,1419466023-019104,1368546327-00019104,984877324-019104,511116340-0000019104
Component 00000000074434,00004-00003-00009-74434,00001-00012-107366,1327067468-074434,1891753404-074434,308955693-0074434,797047953-074434,121101920-00074434,514704985-074434,563307761-0000074434
Component 00000000050894,00004-00004-00012-50894,00001-00001-00010-66011,1336746109-050894,1521710540-050894,1706674971-0050894,643844601-050894,1866506093-00050894,1625104209-050894,2110534745-0000050894
Component 00000000099926,00001-00001-00008-99926,00001-00009-79920,1047710524-099926,165680468-099926,1431134059-0099926,1218925748-099926,1334108734-00099926,1659940776-099926,1146027418-0000099926
Component 00000000009265,00004-00009-9265,00003-00002-12313,542086563-009265,636671008-009265,731255453-0009265,1908206675-009265,1435284450-00009265,787172629-009265,1260686122-0000009265
Component 00000000040358,00003-00003-00006-40358,00002-00011-18055,733579431-040358,1921466396-040358,961869714-0040358,1437780588-040358,1940796704-00040358,1917578929-040358,1567191631-0000040358
Component 00000000107134,00004-00006-00001-107134,00004-00005-00002-34634,412741812-107134,1258671017-107134,2104600222-0107134,1711860785-107134,1777182054-00107134,215154359-107134,2080874390-0000107134
Component 00000000093847,00002-00005-93847,00002-00007-33222,180248227-093847,499579225-093847,818910223-0093847,635416101-093847,1186244758-00093847,475750602-093847,1984377422-0000093847
Component 00000000058435,00006-58435,00004-00006-00012-30029,1474348506-058435,84260936-058435,841657013-0058435,627094418-058435,1135081327-00058435,1322138203-058435,1364597399-0000058435
Component 00000000010130,00001-00003-10130,00002-00002-00003-36507,2003687992-010130,1304209198-010130,604730404-0010130,291221188-010130,1641131511-00010130,640960585-010130,633845100-0000010130
Component 00000000025487,00002-00007-25487,00003-00002-00004-95853,181581174-025487,1058741132-025487,1935901090-0025487,1921649844-025487,1830817348-00025487,1483069865-025487,1161056725-0000025487
Component 00000000061132,00002-00001-00006-61132,00002-00008-105555,932123629-061132,1978304301-061132,877001326-0061132,132278693-061132,1343826274-00061132,1756672004-061132,971230671-0000061132
Component 00000000067163,00003-00005-00005-67163,00002-00001-00005-27357,1397895698-067163,891456700-067163,385017702-0067163,457924412-067163,842635755-00067163,711143911-067163,1007107911-0000067163
Component 00000000014832,00002-00006-00012-14832,00001-00005-00004-44581,347548009-014832,778357156-014832,1209166303-0014832,840696992-014832,834134904-00014832,1699034242-014832,21151039-0000014832
Component 00000000009239,00004-00006-00009-9239,00001-00003-00002-11546,1461198963-009239,345922048-009239,1378128780-0009239,2131101584-009239,1265035218-00009239,1614998218-009239,776741998-0000009239
Component 00000000002535,00001-2535,00003-00006-00008-70923,1136697969-002535,1423577822-002535,1710457675-0002535,1091727134-002535,1804811516-00002535,2022029031-002535,1991614142-0000002535
Component 00000000081041,00001-00002-00012-81041,00002-00004-00008-45287,416847938-081041,660035486-081041,903223034-0081041,1474025781-081041,258088041-00081041,1352432007-081041,314149735-0000081041
Component 00000000053204,00004-00004-00008-53204,00001-00002-7126,1017046893-053204,1626192116-053204,87853692-0053204,1569560974-053204,671318506-00053204,191246539-053204,1227360703-0000053204
Component 00000000113392,00002-00006-00006-113392,00002-00011-86305,769546449-113392,142323288-113392,1662583774-0113392,1487736022-113392,328884533-00113392,727605779-113392,220811868-0000113392
Component 00000000059126,00001-00004-00002-59126,00006-00009-49370,1725010168-059126,1940754867-059126,9015919-0059126,377468011-059126,1446228163-00059126,1343337485-059126,1532363175-0000059126
Component 00000000084232,00002-00001-00005-84232,00001-00003-00006-11056,1022224716-084232,806500021-084232,590775326-0084232,223253420-084232,1301876895-00084232,1404857591-084232,1783168347-0000084232
Component 00000000028175,00004-28175,00004-00001-00005-47559,710131701-028175,1902415648-028175,947215948-0028175,1627586485-028175,2108617691-00028175,2105186335-028175,1218444745-0000028175
Component 00000000050260,00002-50260,00004-00004-00004-48234,285594027-050260,21997572-050260,1905884764-0050260,1459809665-050260,630308293-00050260,517866069-050260,2143780310-0000050260
