Component 00000000046420,00003-00010-46420,00001-64260,1848325235-046420,1852590989-046420,1856856743-0046420,2055214304-046420,2033885534-00046420,2053081427-046420,1844294423-0000046420
Component 00000000025291,00001-00006-25291,00002-00001-00007-90357,1457778334-025291,2120038849-025291,634815717-0025291,291416783-025291,1275081502-00025291,1034028349-025291,129791489-0000025291
Component 00000000073966,00001-00004-00009-73966,00001-00001-00006-94256,1473097787-073966,742936785-073966,12775783-0073966,420027542-073966,1923348905-00073966,785108043-073966,903721616-0000073966
Component 00000000097876,00001-00002-00012-97876,00002-00002-00004-22507,70256307-097876,913880336-097876,1757504365-0097876,1257574244-097876,1334421393-00097876,1909504053-097876,1794281452-0000097876
Component 00000000065764,00004-00006-00010-65764,00004-00009-90710,2086715500-065764,498452459-065764,1057673065-0065764,1291627480-065764,643008097-00065764,1012017177-065764,1932854364-0000065764
Component 00000000069986,00001-00007-69986,00004-00005-00005-106384,1588082370-069986,1096408784-069986,604735198-0069986,1364233566-069986,1675117849-00069986,1610070359-069986,1627377612-0000069986
Component 00000000016999,00004-00003-00008-16999,00004-00006-00005-105279,20620394-016999,771727376-016999,1522834358-0016999,2089570669-016999,481519406-00016999,1714017178-016999,1775289904-0000016999
Component 00000000097844,00004-00005-00006-97844,00004-00005-21585,1503921767-097844,446257317-097844,1536076514-0097844,1746803470-097844,592674779-00097844,128152048-097844,970652040-0000097844
Component 00000000096125,00001-00003-96125,00001-97020,179765825-096125,1655547135-096125,983844798-0096125,888199009-096125,2099227047-00096125,150308354-096125,182514851-0000096125
Component 00000000032749,00004-00003-00002-32749,00004-00003-52104,713610632-032749,219726201-032749,1873325417-0032749,1456277669-032749,1778216177-00032749,629478061-032749,887935180-0000032749
Component 00000000062909,00004-00002-62909,00004-00006-00007-31779,793974941-062909,392558910-062909,2138626526-0062909,1726392084-062909,1585988592-00062909,853358276-062909,1869086140-0000062909
Component 00000000099832,00002-00005-00005-99832,00004-00004-00003-77249,257044534-099832,1548535895-099832,692543609-0099832,1691091603-099832,1676085739-00099832,2119087746-099832,530192226-0000099832
Component 00000000110256,00001-00006-00003-110256,00001-00001-00006-122011,1512592249-110256,761492574-110256,10392899-0110256,517738187-110256,2125752915-00110256,1967029848-110256,738662629-0000110256
Component 00000000008740,00004-00004-8740,00004-00008-121090,644343654-008740,302534526-008740,2108209045-0008740,1246470122-008740,808032115-00008740,1417374686-008740,1724598969-0000008740
Component 00000000104022,00002-00002-00009-104022,00009-71015,796305005-104022,712832683-104022,629360361-0104022,1042864682-104022,1460226292-00104022,1084600843-104022,225928936-0000104022
Component 00000000048278,00003-00006-00009-48278,00003-00006-00012-77713,727690874-048278,1596699617-048278,318224713-0048278,998683793-048278,948607372-00048278,1637921245-048278,927297841-0000048278
Component 00000000007318,00003-00003-00012-7318,00002-00011-81300,1935325511-007318,1893771265-007318,1852217019-0007318,2067428227-007318,127715810-00007318,2088205350-007318,613201269-0000007318
Component 00000000097306,00001-00006-00001-97306,00001-00001-00011-6511,1709535590-097306,142136998-097306,722222053-0097306,852631523-097306,99689895-00097306,1636330819-097306,520714703-0000097306
Component 00000000013736,00001-00002-00008-13736,00004-00005-00008-13879,394907104-013736,502894113-013736,610881122-0013736,263567923-013736,1871116525-00013736,1283316242-013736,607949731-0000013736
Component 00000000045756,00001-00004-00009-45756,00001-00009-45626,321237337-045756,1666775378-045756,864829772-0045756,81581092-045756,1943825475-00045756,482553895-045756,2139328727-0000045756
Component 00000000119759,00004-00003-00003-119759,00002-00004-00006-69192,1531390638-119759,2081259031-119759,483643777-0119759,1356462111-119759,754603793-00119759,7786091-119759,279403342-0000119759
Component 00000000043983,00003-00002-00004-43983,00002-00007-119555,301362754-043983,1938212324-043983,1427578247-0043983,231671960-043983,637358698-00043983,1560730822-043983,755069072-0000043983
Component 00000000092636,00001-00005-00011-92636,00001-00008-122871,1620890297-092636,1254827828-092636,888765359-0092636,2120471550-092636,1803300248-00092636,1229760961-092636,2093267655-0000092636
Component 00000000045179,00004-00001-00004-45179,00002-00004-00001-29537,1374465161-045179,2103490892-045179,685032976-0045179,1298732939-045179,1948571578-00045179,2007961897-045179,1132145830-0000045179
Component 00000000084384,00004-00006-00001-84384,00003-00002-15353,2018778837-084384,1522624142-084384,1026469447-0084384,503854423-084384,837144251-00084384,1825673594-084384,720174526-0000084384
Component 00000000058415,00006-58415,00001-00001-00009-29506,701237186-058415,1403762897-058415,2106288608-0058415,1487737641-058415,122592733-00058415,62732962-058415,1664755841-0000058415
