Component 00000000092151,00001-00003-00007-92151,00005-109270,515055907-092151,1245366982-092151,1975678057-0092151,501662869-092151,1145074788-00092151,1210249155-092151,1685218635-0000092151
Component 00000000072852,00002-00003-72852,00004-00003-00005-63094,1593349591-072852,2100057007-072852,459280776-0072852,398855503-072852,12802070-00072852,145501795-072852,335249143-0000072852
Component 00000000109701,00001-00004-00007-109701,00001-00006-00006-106476,2146664962-109701,1050225025-109701,2101268735-0109701,1582677369-109701,622426113-00109701,1057155514-109701,1319215962-0000109701
Component 00000000119686,00001-00008-119686,00003-00001-15445,1533406801-119686,1022056527-119686,510706253-0119686,355238629-119686,764506352-00119686,610913766-119686,975861990-0000119686
Component 00000000018387,00002-00005-00005-18387,00004-00003-00012-20604,1751827526-018387,1503213391-018387,1254599256-0018387,1505202037-018387,600789065-00018387,555767281-018387,2043462664-0000018387
Component 00000000049645,00001-00011-49645,00001-00001-00006-31011,626854282-049645,1206128912-049645,1785403542-0049645,804386426-049645,55496923-00049645,514749111-049645,913939722-0000049645
Component 00000000088019,00004-00001-00009-88019,00004-00003-00008-117099,993100814-088019,1007775870-088019,1022450926-0088019,1704841030-088019,1631465750-00088019,1697503502-088019,1077588992-0000088019
Component 00000000070842,00002-00002-00005-70842,00002-00006-00005-6817,1762151392-070842,309094109-070842,1003520473-0070842,1082091694-070842,1904927168-00070842,734878512-070842,726062425-0000070842
Component 00000000038357,00002-00004-00007-38357,00003-00002-85568,1067614670-038357,134597220-038357,1349063417-0038357,913424932-038357,1283544888-00038357,1379933657-038357,262346095-0000038357
Component 00000000115863,00003-00006-00007-115863,00002-00008-31962,295560147-115863,1758492631-115863,1073941468-0115863,380825270-115863,1656097438-00115863,1796842675-115863,1014895795-0000115863
Component 00000000095481,00001-00001-00009-95481,00003-00003-00010-78998,232694592-095481,514249171-095481,795803750-0095481,2076931615-095481,669158720-00095481,862412502-095481,994085380-0000095481
Component 00000000007543,00003-00004-00003-7543,00004-00003-87594,1656170252-007543,784794499-007543,2060902393-0007543,1270377348-007543,1332288819-00007543,632323401-007543,1030725272-0000007543
Component 00000000098194,00004-00005-00005-98194,00004-00005-00010-31379,491905100-098194,740063271-098194,988221442-0098194,716416335-098194,1623109127-00098194,1666079073-098194,703597390-0000098194
Component 00000000034948,00003-00004-00004-34948,00004-00005-00009-113629,1657079451-034948,421464364-034948,1333332924-0034948,785548024-034948,521172518-00034948,329613744-034948,853995575-0000034948
Component 00000000017096,00001-00002-00001-17096,00001-00001-00007-108011,1395250540-017096,183273397-017096,1118779901-0017096,1670159397-017096,1287594171-00017096,1202406145-017096,238935948-0000017096
Component 00000000016831,00001-00003-00009-16831,00001-00003-00009-100551,32348356-016831,154753347-016831,277158338-0016831,600281302-016831,2135739994-00016831,1612820630-016831,610020878-0000016831
Component 00000000088772,00002-00005-00008-88772,00001-00002-00008-14646,444339576-088772,513832075-088772,583324574-0088772,593500307-088772,246037812-00088772,1632495881-088772,513710952-0000088772
Component 00000000081012,00002-00001-00009-81012,00003-00006-6818,1986318862-081012,1616351931-081012,1246385000-0081012,149050061-081012,1998884716-00081012,1407775350-081012,452016611-0000081012
Component 00000000114021,00001-00005-00011-114021,00003-00006-00006-103928,1611864493-114021,580372962-114021,1696365078-0114021,2050390944-114021,765397658-00114021,1492394886-114021,1717939233-0000114021
Component 00000000020094,00004-00004-00009-20094,00006-00008-68375,208367693-020094,1613818774-020094,871786208-0020094,727010241-020094,142205777-00020094,1098026524-020094,906136749-0000020094
Component 00000000121254,00004-00003-121254,00004-00003-00004-59349,1223950816-121254,524562618-121254,1972658067-0121254,1663361565-121254,865335261-00121254,2013055664-121254,1488312350-0000121254
Component 00000000045930,00003-00001-45930,00003-00011-50568,355898314-045930,991971027-045930,1628043740-0045930,66912013-045930,1181515742-00045930,822617480-045930,754132958-0000045930
Component 00000000032295,00004-00003-32295,00003-00004-00003-39393,473766077-032295,1698311120-032295,775372516-0032295,808400370-032295,1128126096-00032295,1269869672-032295,365726920-0000032295
Component 00000000050125,00005-00010-50125,00004-00002-00012-44459,1362890481-050125,1808149076-050125,105924024-0050125,409354045-050125,330544717-00050125,1260466571-050125,2039546268-0000050125
Component 00000000040909,00004-00001-00011-40909,00002-00005-33467,2002231150-040909,1546463193-040909,1090695236-0040909,298579882-040909,429936020-00040909,1600205684-040909,1402030391-0000040909
Component 00000000078797,00002-00005-00004-78797,106015,425865901-078797,126822020-078797,1975261786-0078797,2028365025-078797,1376100783-00078797,1104145142-078797,349012817-0000078797
Component 00000000028456,00001-00001-00012-28456,00003-00005-55450,1853035430-028456,2145192074-028456,289865071-0028456,990247135-028456,1676947562-00028456,844168813-028456,855361498-0000028456
Component 00000000095720,00002-00001-95720,00001-00003-85660,154504560-095720,240497157-095720,326489754-0095720,1103920044-095720,673957059-00095720,2134665569-095720,636401547-0000095720
Component 00000000012370,00001-00007-12370,00003-00010-99200,1751743694-012370,1016714389-012370,281685084-0012370,1536302577-012370,916481808-00012370,830075406-012370,489378873-0000012370
Component 00000000015509,00004-00004-15509,00007-63525,222511699-015509,1737333310-015509,1104671274-0015509,1750657658-015509,619000544-00015509,2066988676-015509,457896870-0000015509
Component 00000000096973,00003-00002-00006-96973,00002-00002-00008-120752,2016192752-096973,986702452-096973,2104695799-0096973,1478037083-096973,183037642-00096973,1992782233-096973,2076240278-0000096973
Component 00000000010916,00001-00003-00009-10916,00004-00004-00002-58489,1112330705-010916,1213304144-010916,1314277583-0010916,640833379-010916,135966184-00010916,1664088483-010916,2024101115-0000010916
Component 00000000053098,00003-00003-00006-53098,00001-00002-00012-4146,1947296244-053098,1523506125-053098,1099716006-0053098,1794570119-053098,1766037067-00053098,932723355-053098,1083759247-0000053098
Component 00000000018449,00004-00004-00002-18449,00002-00006-00001-22322,1287856670-018449,471551850-018449,1802730677-0018449,351778546-018449,138335352-00018449,759930956-018449,451269674-0000018449
Component 00000000038891,00001-00006-00008-38891,00004-100520,217604476-038891,1934093531-038891,1503098939-0038891,789203234-038891,796692547-00038891,1004700530-038891,1686555855-0000038891
Component 00000000042663,00003-00005-00010-42663,00006-00005-82620,592535039-042663,982952433-042663,1373369827-0042663,200425825-042663,395822502-00042663,5217128-042663,692668745-0000042663
Component 00000000112207,00002-00004-00004-112207,00004-00001-53925,880325395-112207,1777981862-112207,528154682-0112207,393249281-112207,199934240-00112207,1018162871-112207,427062917-0000112207
Component 00000000012580,00001-00009-12580,00004-00001-00011-105064,1080924935-012580,892666948-012580,704408961-0012580,1614088977-012580,407895265-00012580,634476147-012580,515609271-0000012580
Component 00000000052070,00004-00005-52070,,2053489317-052070,1741026509-052070,1428563701-0052070,1931428658-052070,1346259051-00052070,2087660062-052070,122558879-0000052070
Component 00000000015780,00002-00011-15780,00003-00004-00002-71138,629253437-015780,1129326740-015780,1629400043-0015780,186746692-015780,1981347471-00015780,1010451864-015780,698873907-0000015780
Component 00000000026669,00004-00006-00006-26669,00001-00002-00011-5406,2109038300-026669,1453876936-026669,798715572-0026669,398483204-026669,1526806377-00026669,726063886-026669,1202468722-0000026669
Component 00000000003127,00002-00005-00007-3127,00003-00005-00004-87533,1610231847-003127,1464517915-003127,1318803983-0003127,985557086-003127,1714126746-00003127,1058414052-003127,894468426-0000003127
Component 00000000057503,00003-00005-00004-57503,00003-00001-00011-3963,431879795-057503,1261367268-057503,2090854741-0057503,933574766-057503,1081104695-00057503,1592572853-057503,1265549071-0000057503
Component 00000000015901,00001-00004-00002-15901,00012-74515,169257618-015901,310050407-015901,450843196-0015901,1628998767-015901,925034822-00015901,484860549-015901,1024740854-0000015901
Component 00000000027530,00006-00009-27530,00001-00001-00009-29506,2039639339-027530,1195647917-027530,351656495-0027530,1908244665-027530,1833234481-00027530,182756729-027530,36219619-0000027530
Component 00000000076537,00002-00006-00006-76537,00004-00004-00008-42739,1500497442-076537,677645676-076537,2002277557-0076537,246892437-076537,66183973-00076537,658318320-076537,649865200-0000076537
Component 00000000091959,00004-00010-91959,00003-00004-00002-103898,876516093-091959,1837343793-091959,650687846-0091959,232019309-091959,1870331750-00091959,1899089106-091959,1020339862-0000091959
Component 00000000028626,00001-00003-28626,00004-00002-00006-60209,861104896-028626,1412060201-028626,1963015506-0028626,738891601-028626,131598723-00028626,1537155772-028626,751091961-0000028626
Component 00000000004350,00003-00008-4350,00004-00004-00002-121734,881099292-004350,1299863883-004350,1718628474-0004350,790087309-004350,843748001-00004350,1654446837-004350,705001393-0000004350
Component 00000000034490,00001-00001-34490,00003-00002-00004-100858,1137174250-034490,750059870-034490,362945490-0034490,1689479643-034490,1477567896-00034490,1883036833-034490,339351168-0000034490
Component 00000000017830,00001-00007-17830,00009-28700,1889985850-017830,1056915912-017830,223845974-0017830,140799503-017830,11181899-00017830,557334472-017830,2012278922-0000017830
Component 00000000101395,00008-101395,00002-00002-00006-120997,1841100550-101395,1136873809-101395,432647068-0101395,972100140-101395,198266551-00101395,250471687-101395,138787209-0000101395
Component 00000000023329,00004-00005-00007-23329,00001-00004-00006-35431,440932713-023329,1264941704-023329,2088950695-0023329,676921307-023329,851843646-00023329,1338658635-023329,2135656201-0000023329
Component 00000000091143,00003-00003-91143,00006-00008-20600,537733736-091143,576124744-091143,614515752-0091143,252213977-091143,60258937-00091143,233018473-091143,1424487384-0000091143
Component 00000000076486,00001-00004-00007-76486,00003-41265,939470398-076486,85947310-076486,1379907869-0076486,345789923-076486,318438069-00076486,772551467-076486,14251768-0000076486
Component 00000000033313,00003-00007-33313,00004-00001-00007-45949,320415924-033313,211958775-033313,103501626-0033313,428953315-033313,971239060-00033313,1556923713-033313,1806239787-0000033313
Component 00000000039242,00002-00008-39242,00001-00006-110376,294789105-039242,1500952090-039242,559631428-0039242,1885377232-039242,149529601-00039242,208553916-039242,126542933-0000039242
Component 00000000080103,00003-00002-00010-80103,00004-00011-110485,1083228458-080103,300528267-080103,1665311723-0080103,703233017-080103,321766678-00080103,20841289-080103,610008163-0000080103
Component 00000000121181,00001-00004-00008-121181,00002-00006-00005-57322,1561872457-121181,1577637824-121181,1593403191-0121181,1252750933-121181,1173924098-00121181,171126426-121181,1576697551-0000121181
Component 00000000116742,00002-00003-00002-116742,00002-00005-56555,1242991869-116742,1762214524-116742,133953532-0116742,1729228696-116742,1280599068-00116742,395875545-116742,1990729119-0000116742
Component 00000000105987,00002-00011-105987,00004-00006-00010-2519,567717896-105987,847711318-105987,1127704740-0105987,1262496981-105987,2010013518-00105987,1122500270-105987,1186026616-0000105987
Component 00000000001665,00006-00001-1665,00001-00001-00002-46516,1085095617-001665,765326443-001665,445557269-0001665,608676207-001665,60038430-00001665,768560794-001665,265588804-0000001665
Component 00000000069014,00004-00001-00010-69014,00002-00005-00012-79182,1187925353-069014,834140166-069014,480354979-0069014,135471136-069014,1904397071-00069014,1386105553-069014,2033793918-0000069014
Component 00000000101357,00002-00004-00009-101357,00004-00002-00003-119954,928530016-101357,1248991392-101357,1569452768-0101357,1438521223-101357,1983697990-00101357,1278290535-101357,224058480-0000101357
Component 00000000038041,00001-00003-00003-38041,00001-00006-76726,398452423-038041,1779849030-038041,1013761990-0038041,1897936629-038041,1433404535-00038041,133496502-038041,275883788-0000038041
Component 00000000090821,00001-00003-00003-90821,00003-00003-00004-71998,652924841-090821,1921083441-090821,1041758394-0090821,2029074825-090821,2130732766-00090821,1394995525-090821,131887400-0000090821
Component 00000000062861,00001-00001-00006-62861,00003-00006-00008-30428,1320695237-062861,1270779996-062861,1220864755-0062861,2121031519-062861,223124077-00062861,1072247316-062861,1906077140-0000062861
Component 00000000122987,00002-00004-00007-122987,00003-00002-00010-107858,21433642-122987,873849651-122987,1726265660-0122987,1635162609-122987,1668049858-00122987,135212781-122987,1179772890-0000122987
Component 00000000086614,00004-00003-00008-86614,,158092700-086614,917541376-086614,1676990052-0086614,484131487-086614,981855401-00086614,104407149-086614,2003552089-0000086614
Component 00000000108828,00003-00006-00005-108828,00002-00006-00011-82067,1340582806-108828,1574900212-108828,1809217618-0108828,1967558762-108828,795971732-00108828,1850400059-108828,626522871-0000108828
Component 00000000098859,00004-00005-00007-98859,00004-50015,307814978-098859,858060437-098859,1408305896-0098859,151174152-098859,1694914151-00098859,949793246-098859,2013651183-0000098859
Component 00000000016700,00005-00008-16700,00002-00005-00012-96927,986653333-016700,429523568-016700,2019877450-0016700,809405318-016700,1447570496-00016700,14228377-016700,387444025-0000016700
Component 00000000036842,00002-00001-36842,00004-00009-43169,2094213430-036842,383960009-036842,821190235-0036842,1825042921-036842,1786375438-00036842,1606427808-036842,2030634925-0000036842
Component 00000000109381,00001-00006-00012-109381,00002-00004-00003-97542,286622291-109381,983460642-109381,1680298993-0109381,797285786-109381,1608061325-00109381,1522608434-109381,1856965986-0000109381
Component 00000000024468,00003-00003-00002-24468,00002-00001-00009-67362,681276251-024468,1389054090-024468,2096831929-0024468,1722504914-024468,331099366-00024468,294874171-024468,649667192-0000024468
Component 00000000022149,00004-00001-00010-22149,00003-00002-00007-35653,592308104-022149,2088919173-022149,1438046595-0022149,1237242776-022149,196638372-00022149,1562679065-022149,2012447206-0000022149
Component 00000000108004,00004-00001-108004,00005-00012-58980,587013362-108004,481219479-108004,375425596-0108004,824719154-108004,1353688569-00108004,1951357919-108004,1872952191-0000108004
Component 00000000077780,00003-00001-77780,00004-00006-00005-77524,510681675-077780,357023550-077780,203365425-0077780,574455377-077780,1342746002-00077780,1725026263-077780,41449697-0000077780
Component 00000000021237,00002-00006-00008-21237,00001-00002-00010-100396,237722630-021237,1284859297-021237,184512317-0021237,557985275-021237,1764752881-00021237,1108158765-021237,1128194243-0000021237
Component 00000000054639,00004-00004-54639,00003-00005-00002-47283,320918262-054639,50408884-054639,1927383153-0054639,86115311-054639,1438662201-00054639,221370000-054639,1972268452-0000054639
Component 00000000019678,00003-00001-00009-19678,00012-56770,1178783957-019678,314848921-019678,1598397532-0019678,80124004-019678,104831890-00019678,512091522-019678,185204934-0000019678
Component 00000000003112,00002-00004-00005-3112,00003-00012-87073,1287301470-003112,523569891-003112,1907321959-0003112,1827283711-003112,1350974312-00003112,1135407677-003112,1187541381-0000003112
Component 00000000072302,00002-00006-00009-72302,00002-00005-00011-47682,1589079897-072302,540242149-072302,1638888048-0072302,112573000-072302,1061794446-00072302,636991874-072302,357072703-0000072302
Component 00000000021451,00001-00003-00001-21451,00004-00009-106414,25599987-021451,258715666-021451,491831345-0021451,1668034007-021451,502455612-00021451,477734344-021451,1387364105-0000021451
Component 00000000025627,00002-00004-25627,00003-00005-00008-99783,79467839-025627,1811064122-025627,1395176758-0025627,1383767155-025627,1315720328-00025627,1591710837-025627,86952606-0000025627
Component 00000000031073,00003-00003-31073,00004-00011-5159,635262941-031073,675715257-031073,716167573-0031073,449716620-031073,247455040-00031073,429490462-031073,442869973-0000031073
Component 00000000047274,00004-00003-00006-47274,00003-00004-00008-88148,1445893762-047274,791175591-047274,136457420-0047274,830575350-047274,1956682558-00047274,84192612-047274,856425090-0000047274
Component 00000000031594,00004-00003-00004-31594,00003-00003-00002-43578,814676788-031594,1730323969-031594,498487503-0031594,1200150303-031594,916881692-00031594,1816068536-031594,1601338743-0000031594
Component 00000000046081,00001-00009-46081,00004-00006-00005-54774,626636587-046081,1308331763-046081,1990026939-0046081,1476597918-046081,215605685-00046081,1135750330-046081,1374969991-0000046081
Component 00000000037139,00004-00004-00011-37139,00004-00004-00009-51489,465318704-037139,1160861333-037139,1856403962-0037139,913139682-037139,1730393831-00037139,1639110191-037139,1541435824-0000037139
Component 00000000099198,00003-00001-00008-99198,00002-00002-00001-59502,72384794-099198,1042882598-099198,2013380402-0099198,2044371701-099198,1486849975-00099198,1559122799-099198,216190078-0000099198
Component 00000000113423,00003-00002-00011-113423,00001-87165,1690150009-113423,1414786981-113423,1139423953-0113423,1219945033-113423,449276526-00113423,1357626547-113423,390205363-0000113423
Component 00000000059891,00001-00006-59891,00002-00002-70800,1626190725-059891,572116720-059891,1665526362-0059891,969467187-059891,1944869918-00059891,422762366-059891,1644166814-0000059891
Component 00000000061948,00003-00005-00003-61948,00004-00005-00009-4884,1020402071-061948,269336580-061948,1665754736-0061948,27205933-061948,1635049741-00061948,1476480502-061948,177577765-0000061948
Component 00000000010112,00002-00004-00011-10112,00004-00004-35984,1991240569-010112,1475536326-010112,959832083-0010112,1675646724-010112,2106684292-00010112,859757022-010112,373789727-0000010112
Component 00000000016503,00003-00004-00006-16503,00001-00007-91371,1969999152-016503,679646408-016503,1536777311-0016503,1664916831-016503,1674229610-00016503,162609556-016503,1414994753-0000016503
Component 00000000050627,00002-00003-00005-50627,00004-00006-00006-58519,1015128887-050627,345037937-050627,1822430634-0050627,727972517-050627,1930943620-00050627,1063017992-050627,1078572461-0000050627
Component 00000000099075,00004-00002-99075,00003-00007-56063,65239805-099075,917257515-099075,1769275225-0099075,585909447-099075,620788191-00099075,159900592-099075,1165033644-0000099075
Component 00000000081228,00003-00004-81228,00001-00001-00001-50506,1256569833-081228,526298307-081228,1943510428-0081228,198139174-081228,1702013157-00081228,563274937-081228,503365032-0000081228
Component 00000000006144,00004-00005-00008-6144,00003-00004-00002-48388,42801033-006144,1292433968-006144,394583256-0006144,1594198088-006144,1788484354-00006144,2043123444-006144,1634240404-0000006144
Component 00000000043821,00001-00001-00011-43821,00001-00001-115011,220395542-043821,654069101-043821,1087742660-0043821,852468507-043821,831584359-00043821,1709373551-043821,846439597-0000043821
Component 00000000006227,00002-00004-6227,00001-00004-00011-10021,1084471114-006227,575369843-006227,66268572-0006227,1089121411-006227,1487144119-00006227,269930223-006227,990699088-0000006227
Component 00000000041373,00003-00003-00007-41373,00001-00001-00002-46516,2031268100-041373,1336118151-041373,640968202-0041373,1602492102-041373,783274553-00041373,876325253-041373,1579984412-0000041373
Component 00000000097495,00006-00008-97495,00003-00006-11823,1513720898-097495,96478109-097495,826718967-0097495,423180512-097495,1066943516-00097495,58060083-097495,1349726924-0000097495
Component 00000000033318,00003-00005-00012-33318,00002-00004-00008-68037,585029710-033318,592711056-033318,600392402-0033318,957574991-033318,919168261-00033318,953734318-033318,1163376564-0000033318
Component 00000000122385,00004-00003-122385,00004-00003-00008-73419,226143022-122385,1735091324-122385,1096555979-0122385,395691671-122385,1440884749-00122385,1788701167-122385,578569358-0000122385
Component 00000000024920,00012-24920,00004-00002-00012-79949,1553522254-024920,26763000-024920,647487393-0024920,520142433-024920,1711487762-00024920,1283522060-024920,1188759526-0000024920
Component 00000000082899,00004-00005-00011-82899,00002-00004-00005-97297,957719833-082899,1432251583-082899,1906783333-0082899,350189591-082899,125014488-00082899,112923716-082899,251094130-0000082899
Component 00000000000539,00004-00006-539,00001-00003-00005-15046,948038254-000539,549607357-000539,151176460-0000539,2025234396-000539,1869905234-00000539,1150708021-000539,737835531-0000000539
Component 00000000117030,00004-00004-117030,00006-00007-64630,1706235802-117030,1239540925-117030,772846048-0117030,1620112561-117030,1806103299-00117030,779718176-117030,394957347-0000117030
Component 00000000002853,00003-00004-00006-2853,00003-00008-79828,1738099056-002853,448098615-002853,1305581821-0002853,376361607-002853,383912871-00002853,2095103651-002853,1777105334-0000002853
Component 00000000101361,00001-00001-101361,00002-00006-00009-120077,1290108613-101361,356759464-101361,1570893962-0101361,46089650-101361,417868101-00101361,1586506048-101361,459424466-0000101361
Component 00000000081100,00005-00006-81100,00003-00002-46945,1589625466-081100,1138924567-081100,688223668-0081100,131726511-081100,237747359-00081100,1430818784-081100,868602488-0000081100
Component 00000000002243,00003-00003-00007-2243,00001-00001-00005-62756,517579301-002243,1617297860-002243,569532772-0002243,1240580061-002243,36954560-00002243,1764462605-002243,1751896743-0000002243
Component 00000000007254,00004-00002-7254,00003-00001-00002-79458,1499227165-007254,1130490634-007254,761754103-0007254,1869116411-007254,1565315419-00007254,979742853-007254,576981242-0000007254
Component 00000000089761,00001-00009-89761,00006-00003-42370,1035253357-089761,1163056133-089761,1290858909-0089761,791237052-089761,152223172-00089761,727335664-089761,1130488659-0000089761
Component 00000000053186,00001-00003-53186,00002-00001-00011-6602,1475850043-053186,231059363-053186,1133752330-0053186,1233044179-053186,1014546638-00053186,1855439519-053186,306743837-0000053186
Component 00000000067928,00003-00003-67928,00002-00002-00007-48757,888598649-067928,1948060628-067928,860038960-0067928,1806638926-067928,804296325-00067928,203166113-067928,2069079570-0000067928
Component 00000000054178,00003-00005-00007-54178,00003-00004-00003-34388,1704300653-054178,308621314-054178,1060425622-0054178,1659587592-054178,48049699-00054178,1283685438-054178,2066389741-0000054178
Component 00000000001348,00003-00004-00009-1348,00004-00002-00004-37704,1436509457-001348,1146491996-001348,856474535-0001348,1329306304-001348,631909962-00001348,400573211-001348,51598023-0000001348
Component 00000000062502,00002-00006-00011-62502,00004-00005-00005-20389,1514744289-062502,1029286623-062502,543828957-0062502,1592367605-062502,1872172288-00062502,1835096438-062502,2069137479-0000062502
Component 00000000070553,00003-00002-70553,00001-00001-00004-122256,1087866088-070553,731162414-070553,374458740-0070553,967607075-070553,603641798-00070553,1145958912-070553,149087922-0000070553
Component 00000000048400,00002-00001-48400,00003-00001-00004-119708,139877353-048400,900119817-048400,1660362281-0048400,504414858-048400,998169832-00048400,124293626-048400,705165369-0000048400
Component 00000000116159,00004-00001-00004-116159,00002-00002-00004-40252,1465150092-116159,1766031456-116159,2066912820-0116159,1025510717-116159,1668587544-00116159,875070035-116159,83080477-0000116159
Component 00000000046038,00003-00006-00005-46038,00001-00003-00012-53546,188571836-046038,496760414-046038,804948992-0046038,103332340-046038,709873097-00046038,2096721698-046038,100682114-0000046038
Component 00000000073489,00004-00003-73489,00002-00003-00003-80902,69203067-073489,160268127-073489,251333187-0073489,190891183-073489,1883049530-00073489,145358653-073489,57156887-0000073489
Component 00000000095529,00004-00005-95529,00003-00004-80318,483763808-095529,2119652045-095529,1608056635-0095529,1441190187-095529,1851683590-00095529,1696987892-095529,147874703-0000095529
Component 00000000003235,00001-00011-3235,00001-00001-00005-90511,220880009-003235,1884913296-003235,1401462936-0003235,395857666-003235,665625819-00003235,637582846-003235,1537574331-0000003235
Component 00000000001666,00001-00002-1666,00001-00003-00006-46546,422025614-001666,1235875673-001666,2049725732-0001666,165306006-001666,391023005-00001666,832122800-001666,112665952-0000001666
Component 00000000077765,00002-00012-77765,00004-00003-00004-77094,1919515675-077765,1914228290-077765,1908940905-0077765,589335679-077765,615772604-00077765,1665721195-077765,309387176-0000077765
Component 00000000059526,00001-00005-00012-59526,00003-00002-00002-60608,939479373-059526,1661500896-059526,236038772-0059526,524043063-059526,1208902742-00059526,1236774125-059526,391227591-0000059526
Component 00000000051750,00006-00010-51750,00003-00003-00012-83303,765435119-051750,1810857450-051750,708796134-0051750,1002552468-051750,70408107-00051750,1553583126-051750,1146716244-0000051750
