Component 00000000011892,00002-00006-00010-11892,00003-85813,765188718-011892,1019854467-011892,1274520216-0011892,1305317486-011892,31988741-00011892,104242788-011892,1143141531-0000011892
Component 00000000101883,00003-00005-00002-101883,00002-00003-00006-11147,1495786642-101883,1385355430-101883,1274924218-0101883,434840154-101883,986996214-00101883,490055760-101883,721869966-0000101883
Component 00000000120822,00002-00002-120822,00001-00006-00005-47221,2125663368-120822,1079790535-120822,33917702-0120822,1866696672-120822,653609896-00120822,1315891265-120822,167367578-0000120822
Component 00000000084464,00004-00002-00003-84464,00004-00005-00006-116499,191029851-084464,947387577-084464,1703745303-0084464,367157563-084464,880336227-00084464,2136462347-084464,1035782529-0000084464
Component 00000000057407,00002-00012-57407,00001-00006-00009-1231,1708504884-057407,860171976-057407,11839068-0057407,1366548139-057407,1313245385-00057407,1790714593-057407,573386603-0000057407
Component 00000000017303,00003-00006-17303,00003-00005-00007-113783,664443827-017303,587679277-017303,510914727-0017303,1236330446-017303,1620153196-00017303,1274712721-017303,1669878810-0000017303
Component 00000000015526,00001-00004-15526,00001-00003-00008-64046,1227196234-015526,1352420912-015526,1477645590-0015526,858142176-015526,232018786-00015526,795529837-015526,1392884274-0000015526
Component 00000000043260,00009-43260,00002-00006-00002-99322,632997625-043260,1706155403-043260,631829534-0043260,1141542330-043260,70720734-00043260,604963441-043260,970606078-0000043260
Component 00000000088533,00003-00004-00003-88533,00005-00003-7985,408702083-088533,208891213-088533,9080343-0088533,1455293123-088533,306863826-00088533,1555198558-088533,764399259-0000088533
Component 00000000086801,00001-00001-86801,00004-00006-00001-83019,760485540-086801,806406606-086801,852327672-0086801,840173594-086801,610568264-00086801,817213061-086801,604140357-0000086801
Component 00000000074243,00003-00001-74243,00004-00004-00009-101994,334863424-074243,1944845463-074243,1407343855-0074243,35839200-074243,575863593-00074243,304590004-074243,276140411-0000074243
Component 00000000097487,00002-00005-97487,00002-00006-00007-11577,1274732693-097487,1611521768-097487,1948310843-0097487,1502875478-097487,1966413750-00097487,260739117-097487,2110356008-0000097487
Component 00000000078753,00003-00003-00012-78753,00003-00004-00008-108623,1383348589-078753,588651775-078753,1941438608-0078753,1495258756-078753,1173775532-00078753,1892607163-078753,1395656525-0000078753
Component 00000000001300,00005-1300,00001-00003-00008-36291,1401583385-001300,453091519-001300,1652083300-0001300,496884471-001300,944376507-00001300,971130404-001300,1402679185-0000001300
Component 00000000094121,00001-00006-00001-94121,00002-00003-00012-40897,872976905-094121,1374440235-094121,1875903565-0094121,1571628293-094121,1211795290-00094121,1320896628-094121,34184039-0000094121
Component 00000000017870,00006-00008-17870,00003-00001-24648,653905263-017870,1341921924-017870,2029938585-0017870,736716793-017870,1591600782-00017870,1466450286-017870,305549570-0000017870
Component 00000000015358,00003-00005-15358,00004-00001-59319,2002910423-015358,2033458429-015358,2064006435-0015358,1337005067-015358,1184265037-00015358,1321731064-015358,856512714-0000015358
Component 00000000084675,00003-00006-84675,00003-00003-00010-23488,1976440440-084675,773567909-084675,1718179025-0084675,545439332-084675,117351046-00084675,73133774-084675,581755868-0000084675
Component 00000000035679,00004-00007-35679,00004-10595,667041412-035679,1072390379-035679,1477739346-0035679,2072855312-035679,46110477-00035679,796439005-035679,1204752178-0000035679
Component 00000000101233,00003-00006-00002-101233,00003-00001-00012-116453,1135951703-101233,214854267-101233,1441240478-0101233,1559882644-101233,1870402530-00101233,2020431362-101233,1771993670-0000101233
Component 00000000090683,00003-00005-00008-90683,00004-68159,1900987371-090683,17769905-090683,282036086-0090683,759253444-090683,1585406186-00090683,1700862177-090683,783974831-0000090683
Component 00000000028319,00004-00004-00005-28319,00002-00001-00002-51612,283985657-028319,1227932697-028319,24396090-0028319,968260510-028319,543492604-00028319,496286990-028319,835292465-0000028319
Component 00000000030029,00004-00006-00012-30029,00003-00006-41418,1103756781-030029,117675706-030029,1279078278-0030029,1597206701-030029,85161135-00030029,1016505415-030029,1551105223-0000030029
Component 00000000116620,00010-116620,00001-00002-00002-53146,590442569-116620,861926008-116620,1133409447-0116620,1946229302-116620,588812107-00116620,736745759-116620,422214049-0000116620
Component 00000000079547,00002-00006-79547,00001-00006-3471,1415364904-079547,779218583-079547,143072262-0079547,1700781217-079547,586545528-00079547,945112554-079547,2011306479-0000079547
Component 00000000059478,00003-00006-00003-59478,00001-00006-00011-59226,584580080-059478,1299889059-059478,2015198038-0059478,1991069033-059478,562007785-00059478,559672720-059478,219080029-0000059478
Component 00000000041135,00003-00003-41135,00003-00004-39823,124832821-041135,708348710-041135,1291864599-0041135,1581807850-041135,811712052-00041135,216308082-041135,1093634719-0000041135
Component 00000000000814,00004-00002-00008-814,00001-00006-00010-22721,1016448382-000814,218300009-000814,1567635283-0000814,2034699761-000814,1730474332-00000814,1360032124-000814,1813614000-0000000814
Component 00000000108251,00001-00003-108251,00004-00009-65919,2026559400-108251,1199284565-108251,372009730-0108251,1632177372-108251,1473584253-00108251,972072966-108251,1155389501-0000108251
Component 00000000017859,00004-00002-00010-17859,00004-00011-5835,422121988-017859,1403466396-017859,237327157-0017859,772685542-017859,160930796-00017859,282013338-017859,77411006-0000017859
Component 00000000115370,00003-00008-115370,00002-00003-00012-18147,174662764-115370,997781948-115370,1820901132-0115370,1441237542-115370,1620608916-00115370,1029677950-115370,1523392973-0000115370
Component 00000000006556,00001-00004-00004-6556,00002-00006-59962,2012112773-006556,391639215-006556,918649304-0006556,728556502-006556,240989704-00006556,1538793281-006556,642190754-0000006556
Component 00000000108671,00001-00003-00004-108671,00002-00003-00011-77647,1059766290-108671,1527318950-108671,1994871610-0108671,113750183-108671,2070954177-00108671,2027457500-108671,1498517003-0000108671
Component 00000000092653,00003-00001-00002-92653,00002-00006-00001-123332,446987441-092653,1163300093-092653,1879612745-0092653,828412711-092653,1541816745-00092653,470256385-092653,1106892999-0000092653
Component 00000000102395,00006-00007-102395,00003-00001-25455,973179634-102395,1308358943-102395,1643538252-0102395,1123248768-102395,1594835870-00102395,2029400937-102395,1459004467-0000102395
Component 00000000097115,00004-00005-97115,00004-00012-1169,357935235-097115,1082442354-097115,1806949473-0097115,63050331-097115,735482030-00097115,774538595-097115,487785007-0000097115
Component 00000000051404,00004-00003-00002-51404,00002-00002-00008-80257,2086058799-051404,797902299-051404,1657229446-0051404,1887494312-051404,1885825871-00051404,384088915-051404,175433639-0000051404
Component 00000000081824,00004-00001-00002-81824,00002-00005-00006-67177,541774533-081824,1246920662-081824,1952066791-0081824,1455365261-081824,77118263-00081824,29050373-081824,1026395593-0000081824
Component 00000000076826,00001-00001-00009-76826,00004-00001-00010-50814,1158700782-076826,93567171-076826,1175917207-0076826,2113070000-076826,996287114-00076826,1571894982-076826,1280063483-0000076826
Component 00000000050829,00004-00002-00012-50829,00003-00004-00009-64138,398506056-050829,1319450130-050829,92910557-0050829,2114620705-050829,1804867629-00050829,1654148668-050829,695492243-0000050829
Component 00000000090434,00004-00001-00006-90434,00003-00012-61190,81029007-090434,1256093713-090434,283674772-0090434,1237092426-090434,1804219837-00090434,649560073-090434,259316498-0000090434
Component 00000000110811,00001-00001-00012-110811,00003-00005-00006-14033,1373907540-110811,1013818107-110811,653728674-0110811,15697392-110811,1816144557-00110811,1269483932-110811,1252718937-0000110811
Component 00000000107164,00004-00001-00005-107164,00003-00001-00012-35463,668563615-107164,1607976060-107164,399904858-0107164,59168787-107164,1804557503-00107164,663204388-107164,735832822-0000107164
Component 00000000052914,00004-00001-00004-52914,00003-00005-00008-122533,176975929-052914,1276445494-052914,228431412-0052914,887900480-052914,1833003596-00052914,1411907521-052914,2124951173-0000052914
Component 00000000078696,00001-00002-00007-78696,00001-00002-00006-103161,2024348784-078696,920217509-078696,1963569881-0078696,1087331298-078696,165536732-00078696,565655112-078696,1730273956-0000078696
Component 00000000080182,00002-00004-00011-80182,00002-00001-21217,731956193-080182,711822875-080182,691689557-0080182,1902973917-080182,2003640507-00080182,1913040576-080182,15342012-0000080182
Component 00000000116178,00003-00006-00010-116178,00004-00001-00001-36674,528780411-116178,1554744283-116178,433224508-0116178,895904322-116178,61052256-00116178,382922386-116178,1248559612-0000116178
Component 00000000012668,00003-00005-00006-12668,00002-00001-107550,425837765-012668,1562061612-012668,550801812-0012668,771861346-012668,1533193052-00012668,1277491246-012668,2038363599-0000012668
Component 00000000036753,00003-00003-00002-36753,00001-00002-40651,1876182444-036753,1240880051-036753,605577658-0036753,55045618-036753,1084073936-00036753,1446438638-036753,1431642903-0000036753
Component 00000000053065,00005-00012-53065,00003-00010-3195,1892305751-053065,1247724757-053065,603143763-0053065,694898600-053065,1770319923-00053065,1017189097-053065,2061295216-0000053065
Component 00000000075821,00001-00004-00005-75821,00004-00005-00009-22629,1694845649-075821,683625976-075821,1819889950-0075821,969073566-075821,1730204637-00075821,400941579-075821,653715318-0000075821
Component 00000000118868,00003-00001-00009-118868,00001-116116,1220243537-118868,913089452-118868,605935367-0118868,281914120-118868,1817684545-00118868,1509232986-118868,845631570-0000118868
Component 00000000030990,00001-00011-30990,00002-00006-00006-2827,312107615-030990,670513917-030990,1028920219-0030990,514944086-030990,870396223-00030990,335740935-030990,1711302510-0000030990
Component 00000000056895,00006-00007-56895,00002-00006-110467,1439936507-056895,1182612861-056895,925289215-0056895,1844641558-056895,983776141-00056895,1973303381-056895,158585432-0000056895
Component 00000000072840,00005-00001-72840,00001-00006-00001-62726,361023738-072840,1799801257-072840,1091095129-0072840,348514882-072840,1744561875-00072840,702867946-072840,1466310883-0000072840
Component 00000000020379,00004-00002-00008-20379,00003-00004-76388,1829780340-020379,613926651-020379,1545556609-0020379,1916676716-020379,1553494220-00020379,1450861737-020379,1987797630-0000020379
Component 00000000005101,00001-00005-00005-5101,00001-00004-00003-19191,2077814392-005101,435409157-005101,940487569-0005101,804313610-005101,426405197-00005101,551774404-005101,1598511948-0000005101
Component 00000000016068,00003-00003-16068,00002-00003-79212,1878556680-016068,1947000218-016068,2015443756-0016068,903100979-016068,560883289-00016068,868879210-016068,1501289579-0000016068
Component 00000000092377,00002-00005-00012-92377,00004-00003-00011-115594,650946776-092377,920060428-092377,1189174080-0092377,818057016-092377,1619972403-00092377,683500190-092377,44761420-0000092377
Component 00000000037745,00001-00006-37745,00001-00004-00004-68436,424569889-037745,1646598772-037745,721144008-0037745,637170422-037745,969476948-00037745,1099897804-037745,353369709-0000037745
Component 00000000080083,00003-00003-00003-80083,00004-00002-00007-18454,1314604590-080083,1765216923-080083,68345609-0080083,620724447-080083,515146429-00080083,1469160104-080083,295058773-0000080083
Component 00000000113653,00003-00001-00007-113653,00003-00004-00004-93643,871276478-113653,1424892086-113653,1978507694-0113653,1951829702-113653,1331235309-00113653,1675021898-113653,355893633-0000113653
Component 00000000036948,00003-00002-00002-36948,00005-00007-58455,1655434080-036948,1676002317-036948,1696570554-0036948,1579251751-036948,1476410566-00036948,495225809-036948,945571553-0000036948
Component 00000000064374,00004-00002-00011-64374,00002-00008-72795,638324176-064374,766978034-064374,895631892-0064374,435585348-064374,1939799705-00064374,371258419-064374,1865595567-0000064374
Component 00000000043233,00003-00001-00008-43233,00002-00002-98555,1368309602-043233,789076815-043233,209844028-0043233,119065020-043233,867745308-00043233,1482423237-043233,1735546429-0000043233
Component 00000000120872,00002-00003-00011-120872,00001-00006-48665,1674346366-120872,1536873143-120872,1399399920-0120872,375604168-120872,1062970283-00120872,1518082603-120872,2019193073-0000120872
Component 00000000117064,00004-00003-00012-117064,00002-00006-00010-65582,37478058-117064,1942530027-117064,1700098349-0117064,1164443557-117064,229118300-00117064,1285659396-117064,1697296019-0000117064
Component 00000000010071,00001-00005-00009-10071,00004-00003-00009-34849,1383194566-010071,373336388-010071,1510961857-0010071,1797196814-010071,404036763-00010071,154642256-010071,321400930-0000010071
Component 00000000025901,00001-00001-00005-25901,00004-00002-00001-107459,126571137-025901,334542043-025901,542512949-0025901,1623225490-025901,583370960-00025901,1519240037-025901,265220215-0000025901
Component 00000000034386,00001-00002-00001-34386,00002-00004-97972,456968097-034386,787176494-034386,1117384891-0034386,365947999-034386,862389661-00034386,1274585624-034386,16225836-0000034386
Component 00000000096792,00002-00003-00007-96792,00001-00004-00012-115686,484638361-096792,1978012932-096792,1323903856-0096792,972602880-096792,2095664613-00096792,1299657418-096792,1647712413-0000096792
Component 00000000087364,00004-00004-00004-87364,00004-00006-00001-17044,1815739548-087364,1155187740-087364,494635932-0087364,1991231565-087364,999023311-00087364,174023822-087364,675851912-0000087364
Component 00000000079020,00004-00006-79020,00002-00002-00005-112247,1354709385-079020,1406169326-079020,1457629267-0079020,629291053-079020,371991348-00079020,1677302906-079020,463988950-0000079020
Component 00000000110530,00004-110530,00003-00004-00007-6143,2106028826-110530,2068344373-110530,2030659920-0110530,1352074679-110530,1540496944-00110530,297175082-110530,658066880-0000110530
Component 00000000117084,00004-00002-00006-117084,00004-00007-66164,1148967824-117084,214252799-117084,1427021421-0117084,1986187522-117084,217311706-00117084,1379803211-117084,1915168156-0000117084
Component 00000000067034,00004-00002-00006-67034,00005-00010-23735,636696046-067034,1696484047-067034,608788401-0067034,1570548390-067034,566575679-00067034,2114396213-067034,755289302-0000067034
Component 00000000103823,00003-00006-00005-103823,00003-00001-00003-65458,68098707-103823,1042664949-103823,2017231191-0103823,89921210-103823,1659540941-00103823,1750121736-103823,1097561799-0000103823
Component 00000000013692,00002-00003-13692,00003-00001-00012-12713,897466891-013692,2007477203-013692,970003868-0013692,1045875848-013692,1938275229-00013692,490870692-013692,1764544686-0000013692
Component 00000000014923,00003-00006-00012-14923,00002-00002-00003-20582,310759118-014923,368584334-014923,426409550-0014923,967798447-014923,678672367-00014923,938885839-014923,1244235626-0000014923
Component 00000000075430,00005-00004-75430,00005-00004-11730,1774323877-075430,1707176357-075430,1640028837-0075430,665152804-075430,1000890404-00075430,698726564-075430,1013877225-0000075430
Component 00000000000704,00004-00004-00002-704,00002-00003-00009-19652,1882791190-000704,607599053-000704,1479890563-0000704,1239256485-000704,1172766229-00000704,803110730-000704,182783588-0000000704
Component 00000000024699,00004-00003-00012-24699,00002-00002-00011-73747,338020413-024699,1665654271-024699,845804482-0024699,303753116-024699,108034767-00024699,1787419834-024699,991444038-0000024699
Component 00000000022196,00001-00006-00005-22196,00002-00012-3717,2026438015-022196,2070924752-022196,2115411489-0022196,962819289-022196,740385604-00022196,2014317744-022196,1403553662-0000022196
Component 00000000028633,00003-00003-00007-28633,00002-00001-00003-60362,384861101-028633,1830231861-028633,1128118974-0028633,1765866257-028633,981463398-00028633,1043180877-028633,829290523-0000028633
Component 00000000114792,00002-00006-00002-114792,00003-00003-00009-1998,241775098-114792,290628996-114792,339482894-0114792,463705504-114792,219436014-00114792,439278555-114792,1716151221-0000114792
Component 00000000058428,00003-00006-00006-58428,00004-00005-00002-80589,655113683-058428,1433733973-058428,64870616-0058428,1910975749-058428,165357946-00058428,1521665604-058428,1106704835-0000058428
Component 00000000074955,00006-00010-74955,00001-00006-00002-121981,1764019778-074955,1218249330-074955,672478882-0074955,1063956814-074955,1645325407-00074955,1336842038-074955,598480757-0000074955
Component 00000000015653,00003-00001-00001-15653,00002-00006-00003-67577,1593197083-015653,994471074-015653,395745065-0015653,1546014881-015653,244677632-00015653,771636062-015653,2077628359-0000015653
Component 00000000006211,00001-00002-00010-6211,00001-00003-00007-50291,263174740-006211,114775929-006211,2113860765-0006211,582025171-006211,1324019226-00006211,1729966400-006211,1143146863-0000006211
Component 00000000072371,00001-00005-72371,00001-00008-49616,949057579-072371,1889509276-072371,682477326-0072371,390066473-072371,2130258929-00072371,993582448-072371,201857636-0000072371
Component 00000000014769,00004-00006-00001-14769,00012-20370,2055341606-014769,611272211-014769,1314686463-0014769,1811194476-014769,441606863-00014769,1459487350-014769,593969870-0000014769
Component 00000000016107,00002-16107,00002-00004-00012-80287,1040925484-016107,82660820-016107,1271879803-0016107,1809729514-016107,158601893-00016107,141378199-016107,754731951-0000016107
Component 00000000088450,00005-00011-88450,00001-00002-00009-5651,673521541-088450,945955152-088450,1218388763-0088450,2075391616-088450,713223561-00088450,865432987-088450,1364498388-0000088450
Component 00000000059334,00004-00002-00002-59334,00003-00006-00001-55173,970389757-059334,1472902780-059334,1975415803-0059334,646209432-059334,281127964-00059334,1468694744-059334,1824140013-0000059334
Component 00000000032926,00001-00005-00010-32926,00001-00003-00002-57046,1778570711-032926,502680187-032926,1374273310-0032926,27422413-032926,2111907739-00032926,665367675-032926,472035846-0000032926
Component 00000000060754,00004-00001-00005-60754,00003-00001-00011-94963,1298662850-060754,668230677-060754,37798504-0060754,1861215341-060754,718408912-00060754,1102689604-060754,1773551344-0000060754
Component 00000000014741,00001-00006-00012-14741,00002-00002-00012-42002,1708892193-014741,1893400402-014741,2077908611-0014741,993863918-014741,71322873-00014741,1975351637-014741,1332317508-0000014741
Component 00000000036441,00001-00006-00002-36441,00002-00008-31962,1126829605-036441,1312908418-036441,1498987231-0036441,487975624-036441,1705065206-00036441,1468678041-036441,2089889775-0000036441
Component 00000000078570,00002-00011-78570,00004-00005-00010-99629,2146629352-078570,1712037555-078570,1277445758-0078570,1470021844-078570,1495497182-00078570,613575919-078570,54495081-0000078570
Component 00000000086792,00002-00006-00004-86792,00004-00006-00003-82774,1214364190-086792,921083144-086792,627802098-0086792,2022618988-086792,1341540571-00086792,21775864-086792,1373537095-0000086792
Component 00000000111425,00006-00002-111425,00003-00008-31195,437148865-111425,1321445928-111425,58259344-0111425,1449625304-111425,1323107283-00111425,2081218596-111425,1369906504-0000111425
Component 00000000012374,00004-00005-00011-12374,00002-00006-00002-99322,864445547-012374,776593260-012374,688740973-0012374,1972318745-012374,264096533-00012374,942503065-012374,1927061262-0000012374
Component 00000000049311,00001-00003-00002-49311,00002-00001-00011-21617,1365336666-049311,1246352409-049311,1127368152-0049311,963309319-049311,1558230604-00049311,2096543271-049311,1866520911-0000049311
Component 00000000097497,00002-00001-00010-97497,00002-00001-00009-11852,1106529408-097497,1439984166-097497,1773438924-0097497,99215995-097497,579425852-00097497,2079972263-097497,58027620-0000097497
Component 00000000093661,00001-00001-00009-93661,00002-00004-00004-28032,160814082-093661,361551066-093661,562288050-0093661,1306623218-093661,302938298-00093661,1206254726-093661,1146275980-0000093661
Component 00000000104355,00006-00004-104355,00006-00001-80380,1772125008-104355,41012686-104355,457384011-0104355,1565039624-104355,1630666646-00104355,283112138-104355,1930222293-0000104355
Component 00000000097415,00003-00006-97415,00002-00002-00011-30522,1724836122-097415,12519854-097415,447687233-0097415,281875710-097415,253522462-00097415,1138033844-097415,1590734914-0000097415
Component 00000000009390,00003-00004-9390,00003-00005-00001-15783,1542260370-009390,1115651259-009390,689042148-0009390,1252813133-009390,1238375041-00009390,392375865-009390,393121394-0000009390
Component 00000000084513,00003-00002-84513,00001-00006-00009-18976,1971978757-084513,1016479276-084513,60979795-0084513,1801152339-084513,136198803-00084513,1205160256-084513,1762084075-0000084513
Component 00000000091022,00002-00001-00009-91022,00003-00006-00003-77678,1934832879-091022,1170408022-091022,405983165-0091022,293707490-091022,1968348128-00091022,1749661742-091022,1339881260-0000091022
Component 00000000102822,00002-00006-00005-102822,00003-00006-00001-37428,1401539023-102822,1736169837-102822,2070800651-0102822,451264326-102822,925593903-00102822,283948919-102822,164966299-0000102822
Component 00000000013150,00004-00007-13150,00004-00001-00003-121059,1837584689-013150,1707605444-013150,1577626199-0013150,902300424-013150,1552196649-00013150,2041031870-013150,691888020-0000013150
Component 00000000097402,00002-00004-00006-97402,00003-00001-00009-9213,1802766073-097402,955180384-097402,107594695-0097402,423307626-097402,366268777-00097402,1920842294-097402,470264981-0000097402
Component 00000000084301,00001-00009-84301,00001-00003-00012-13051,1767442909-084301,2132372852-084301,349819148-0084301,1212934145-084301,1535768077-00084301,2104210997-084301,323674262-0000084301
Component 00000000000515,00004-00008-515,00004-00003-14339,1902058891-000515,415188267-000515,1075801290-0000515,655793978-000515,1647696157-00000515,1399229290-000515,1944968708-0000000515
Component 00000000016462,00002-00005-00004-16462,00004-00004-00001-90234,2005615587-016462,1995102702-016462,1984589817-0016462,421998841-016462,474563266-00016462,1500997107-016462,1017313711-0000016462
Component 00000000082151,00001-00006-00004-82151,00003-00004-76388,638773031-082151,1155040133-082151,1671307235-0082151,2055407361-082151,1621555498-00082151,1797273810-082151,1108138643-0000082151
Component 00000000017666,00001-00005-00012-17666,00006-00006-370,415944738-017666,174141858-017666,2079822625-0017666,1573406940-017666,634937693-00017666,1694308380-017666,2109382246-0000017666
Component 00000000004259,00004-00003-00008-4259,00002-00005-00003-119187,1033217308-004259,1998137357-004259,815573759-0004259,1660941274-004259,1131308323-00004259,104739426-004259,1462560453-0000004259
Component 00000000025243,00003-00001-00010-25243,00002-00005-88977,1257626212-025243,828805528-025243,399984844-0025243,1934659508-025243,1931279281-00025243,1586203-025243,1703443282-0000025243
Component 00000000046691,00001-00001-00008-46691,00006-00011-71875,607383092-046691,402364268-046691,197345444-0046691,1401388363-046691,278998836-00046691,1503897775-046691,498418401-0000046691
Component 00000000088875,00003-00007-88875,00003-17563,392272015-088875,130252938-088875,2015717508-0088875,1642990486-088875,805602224-00088875,700258201-088875,2111699129-0000088875
Component 00000000110684,00004-00002-110684,00002-00007-10472,1127538587-110684,1652946434-110684,30870634-0110684,1913757226-110684,1434201638-00110684,577311479-110684,1687893528-0000110684
Component 00000000097725,00005-00004-97725,00004-00006-00004-18269,1442749912-097725,1333590133-097725,1224430354-0097725,1517209748-097725,2063008643-00097725,498047814-097725,538944530-0000097725
Component 00000000008717,00002-00002-00007-8717,00001-00001-00009-120506,1600805958-008717,241675494-008717,1030028677-0008717,107487864-008717,460689243-00008717,787053096-008717,1621903715-0000008717
Component 00000000058339,00004-00001-00008-58339,00002-00001-00005-27357,2036576906-058339,2044953660-058339,2053330414-0058339,295365828-058339,253482058-00058339,291177451-058339,1930058842-0000058339
Component 00000000080079,00004-00006-00012-80079,00002-00001-00006-18362,236062939-080079,1351858903-080079,320171220-0080079,665076018-080079,1528547139-00080079,107178036-080079,502260885-0000080079
Component 00000000082964,00004-00011-82964,00002-00006-00004-99077,990510352-082964,580198421-082964,169886490-0082964,1491476345-082964,1395552353-00082964,622890487-082964,861626046-0000082964
Component 00000000065102,00002-00002-00011-65102,00001-00005-00010-102996,381828602-065102,764956303-065102,1148084004-0065102,709911101-065102,941756243-00065102,1592089074-065102,2127813327-0000065102
Component 00000000108249,00004-00001-00011-108249,00003-00002-65858,376078893-108249,58038086-108249,1887480926-0108249,1057227106-108249,499947494-00108249,142505686-108249,1178696297-0000108249
