Component 00000000083064,00004-00002-00007-83064,00001-00002-00007-101901,1600831610-083064,451981592-083064,1450615221-0083064,1716180559-083064,1017979708-00083064,143121921-083064,976712288-0000083064
Component 00000000009336,00001-00005-00002-9336,00003-00003-14248,1164361636-009336,1104096919-009336,1043832202-0009336,1462748332-009336,1764071917-00009336,419138867-009336,1025264763-0000009336
Component 00000000122225,00005-00012-122225,00002-00009-86550,2031400844-122225,1322987310-122225,614573776-0122225,2033082797-122225,1280183173-00122225,239805917-122225,297235142-0000122225
Component 00000000113676,00001-00003-00004-113676,00001-00006-00002-94226,673932860-113676,537611448-113676,401290036-0113676,504795319-113676,1186402379-00113676,572956025-113676,2053451174-0000113676
Component 00000000041199,00004-00004-00002-41199,1436259974,1053163400-041199,222719607-041199,1539759461-0041199,505086909-041199,362338580-00041199,1994050629-041199,173274251-0000041199
Component 00000000105847,00002-00001-105847,00004-00005-00012-122134,1668372580-105847,1337250189-105847,1006127798-0105847,1715063969-105847,1223192277-00105847,806883341-105847,344488071-0000105847
Component 00000000103797,00002-00001-00005-103797,00002-00008-64722,1131883808-103797,2025158687-103797,770949919-0103797,432300676-103797,260893575-00103797,1059405060-103797,174059532-0000103797
Component 00000000052531,00001-00003-00011-52531,00003-00005-111818,1181314294-052531,49429110-052531,1065027573-0052531,2119457692-052531,1336432671-00052531,537916637-052531,857303799-0000052531
Component 00000000034315,00001-00008-34315,00004-95914,1235057985-034315,776604621-034315,318151257-0034315,474906301-034315,619689474-00034315,704132983-034315,1543135352-0000034315
Component 00000000121284,00004-00002-00007-121284,00002-00002-00004-71647,80631307-121284,472935356-121284,865239405-0121284,853766684-121284,1039730086-00121284,1731356483-121284,1280333383-0000121284
Component 00000000057169,00004-00008-57169,00002-00004-00007-78852,246459756-057169,453245774-057169,660031792-0057169,1685647041-057169,651716951-00057169,1582254032-057169,396987644-0000057169
Component 00000000070191,00001-00002-00004-70191,00004-00005-00012-112124,595357334-070191,1038737651-070191,1482117968-0070191,1698208062-070191,1628790124-00070191,402776080-070191,187349266-0000070191
Component 00000000071845,00004-00007-71845,00004-00005-34879,184152858-071845,1431430253-071845,531224001-0071845,1621306223-071845,1827370189-00071845,2071409349-071845,389092269-0000071845
Component 00000000076702,00002-00003-00002-76702,00004-00001-00007-47314,974051145-076702,1739395159-076702,357255526-0076702,1586013825-076702,2054261049-00076702,1203341818-076702,1392725142-0000076702
Component 00000000037254,00004-00009-37254,00003-00006-00005-54683,595040146-037254,790066414-037254,985092682-0037254,1463879556-037254,488748216-00037254,1366366422-037254,1875061048-0000037254
Component 00000000066453,00003-00002-00010-66453,00002-00005-00009-7432,1904605259-066453,1480676033-066453,1056746807-0066453,671390621-066453,643553104-00066453,883355234-066453,2142248768-0000066453
Component 00000000063384,00004-00006-00009-63384,00002-00006-00001-45072,936317011-063384,2010714388-063384,937628118-0063384,431240444-063384,1501704500-00063384,967783579-063384,677229528-0000063384
Component 00000000003800,00006-00004-3800,00004-00003-00001-106354,1673397512-003800,1885444337-003800,2097491162-0003800,146508466-003800,1233757988-00003800,1114226877-003800,49283480-0000003800
Component 00000000036987,00002-00006-00002-36987,00001-00006-00005-47221,289356046-036987,160018290-036987,30680534-0036987,458925821-036987,1105614601-00036987,523594699-036987,74797712-0000036987
Component 00000000051656,00001-00003-00007-51656,00003-00002-00001-87348,483886671-051656,1058028808-051656,1632170945-0051656,1486234728-051656,763007690-00051656,125421836-051656,1342427837-0000051656
Component 00000000109888,00003-00002-00012-109888,00002-00002-00009-111757,1524187503-109888,1180448859-109888,836710215-0109888,2032732445-109888,1603942018-00109888,57118120-109888,484973562-0000109888
Component 00000000070796,00001-00005-00011-70796,00004-00006-00004-5529,317193840-070796,1597127137-070796,729576787-0070796,1190674805-070796,1233459261-00070796,1624449980-070796,939693943-0000070796
Component 00000000034895,00003-34895,00002-00004-00012-56172,1408671602-034895,1573956602-034895,1739241602-0034895,835059514-034895,8634514-00034895,752417014-034895,2024489841-0000034895
Component 00000000053486,00001-00006-00004-53486,00003-00005-00012-86098,1845964376-053486,1365694033-053486,885423690-0053486,1101431034-053486,1355299102-00053486,267824382-053486,1748802567-0000053486
Component 00000000018855,00004-00005-18855,00003-00006-33683,361791945-018855,2109219657-018855,1709163722-0018855,1360173744-018855,1212969772-00018855,486459888-018855,481388527-0000018855
Component 00000000056710,00003-00004-56710,00004-00006-00005-105279,1606357724-056710,1845899520-056710,2085441316-0056710,339232948-056710,1289007615-00056710,219462050-056710,2095280102-0000056710
Component 00000000020172,00002-00005-00009-20172,00004-00008-70585,1967403362-020172,604542484-020172,1389165253-0020172,293160189-020172,665013638-00020172,974590628-020172,326098855-0000020172
Component 00000000116605,00006-00008-116605,00002-00002-52717,2011372478-116605,1050014273-116605,88656068-0116605,1556397946-116605,2068221677-00116605,963335225-116605,905719464-0000116605
Component 00000000030584,00004-00001-00008-30584,00001-00001-115011,2056089331-030584,759354888-030584,1610104092-0030584,367752785-030584,408974059-00030584,2089861830-030584,613610757-0000030584
Component 00000000030851,00001-00002-00002-30851,00002-00002-00003-122502,210921577-030851,660084775-030851,1109247973-0030851,520500210-030851,422167867-00030851,295918611-030851,27436444-0000030851
Component 00000000033795,00006-00008-33795,00003-00008-54400,1712603739-033795,1093451327-033795,474298915-0033795,1748482815-033795,549277581-00033795,2058059021-033795,1280940075-0000033795
Component 00000000015460,00004-00003-15460,00004-00008-62174,1352991173-015460,235096617-015460,1264685708-0015460,822196382-015460,2116701868-00015460,1381143660-015460,1159550626-0000015460
Component 00000000027098,00003-00001-00006-27098,00001-00002-00004-17411,1015948729-027098,1175862517-027098,1335776305-0027098,181832859-027098,1529747566-00027098,101875965-027098,1579814464-0000027098
Component 00000000033607,00002-00002-33607,00003-00004-00002-76143,323255493-033607,1955056975-033607,1439374810-0033607,8732431-033607,439659609-00033607,1340315337-033607,1014594744-0000033607
Component 00000000025592,00002-00008-25592,00004-00006-00008-98769,1784053398-025592,513731850-025592,1390893949-0025592,303000436-025592,212157235-00025592,938161210-025592,2045186957-0000025592
Component 00000000117261,00001-00004-00001-117261,00002-00006-00006-71077,1145787089-117261,862268349-117261,578749609-0117261,280030081-117261,1697623781-00117261,421789451-117261,1629979807-0000117261
Component 00000000107402,00002-00001-00009-107402,00004-00005-00004-42124,1672950502-107402,859853496-107402,46756490-0107402,892451357-107402,662969093-00107402,1298999860-107402,91317366-0000107402
Component 00000000021048,00003-00006-00001-21048,00001-00001-00003-33881,141768115-021048,1062395751-021048,1983023387-0021048,1842535521-021048,1534364635-00021048,1382221703-021048,1419510134-0000021048
Component 00000000104346,00001-00004-00008-104346,00003-00002-00010-80103,530650425-104346,1843469806-104346,1008805540-0104346,851622817-104346,729976853-00104346,1268954950-104346,1320141885-0000104346
Component 00000000061990,00005-00006-61990,00001-6020,708587906-061990,1451870375-061990,47669197-0061990,1324307477-061990,1902862426-00061990,2026408066-061990,1051336159-0000061990
Component 00000000000240,00002-00006-240,00004-00008-6664,1100810268-000240,768770599-000240,436730930-0000240,1103013674-000240,615728372-00000240,195291685-000240,1317790196-0000000240
Component 00000000042681,00001-00002-00002-42681,00001-00005-00011-83081,860881006-042681,1042822813-042681,1224764620-0042681,21382234-042681,1259156846-00042681,1004153154-042681,1075973251-0000042681
Component 00000000056428,00003-00001-00008-56428,00002-00003-00004-97387,734225093-056428,620207866-056428,506190639-0056428,573098701-056428,1143184836-00056428,1703849138-056428,1451375747-0000056428
Component 00000000048820,00002-00005-48820,00003-00004-00002-7893,1327400468-048820,965977708-048820,604554948-0048820,978265784-048820,637895937-00048820,1158977164-048820,1069088509-0000048820
Component 00000000100988,00003-00006-00004-100988,00003-00002-00005-109608,2033165108-100988,2115878087-100988,51107419-0100988,676035472-100988,262470577-00100988,1708420806-100988,518560299-0000100988
Component 00000000038375,00001-00012-38375,00004-00003-00003-86089,97425400-038375,1829532619-038375,1414156191-0038375,1426505112-038375,1355903605-00038375,1634193326-038375,15475342-0000038375
Component 00000000109568,00003-00004-00004-109568,00002-00004-00001-102792,1814765966-109568,1957455034-109568,2100144102-0109568,145251176-109568,1579289483-00109568,73906642-109568,682228531-0000109568
Component 00000000033876,00001-00003-00011-33876,00004-00009-83664,834447246-033876,70773998-033876,1454584397-0033876,303516717-033876,1974399310-00033876,685353341-033876,795915876-0000033876
Component 00000000073752,00002-00003-73752,00001-00003-00005-88301,152528090-073752,1716538383-073752,1133065029-0073752,1918841479-073752,541240955-00073752,63094509-073752,1942926665-0000073752
Component 00000000009611,00001-00004-9611,00001-00005-00009-13256,1070091664-009611,1838521549-009611,459467787-0009611,757977264-009611,1210795133-00009611,1447504145-009611,1123293733-0000009611
Component 00000000069980,00001-00001-69980,00004-00002-00002-106199,53972818-069980,1241340562-069980,281224659-0069980,1806733580-069980,164862154-00069980,1213049708-069980,919211420-0000069980
Component 00000000053504,00004-00003-00009-53504,00002-00002-00011-15507,1030135261-053504,1334046313-053504,1637957365-0053504,737435754-053504,1365364141-00053504,585480228-053504,553873372-0000053504
Component 00000000022222,00002-00004-00005-22222,00003-00009-4455,1371664322-022222,485475412-022222,1746770149-0022222,1341175127-022222,1477152383-00022222,1784269582-022222,453447075-0000022222
Component 00000000110778,00003-00003-00005-110778,00004-00002-13080,1954880896-110778,776482369-110778,1745567489-0110778,1710868982-110778,1160410676-00110778,1226326422-110778,408111110-0000110778
Component 00000000089098,00003-00002-00009-89098,00004-00004-00009-17364,949609599-089098,629540955-089098,309472311-0089098,458665894-089098,2059009114-00089098,618700216-089098,947500573-0000089098
Component 00000000081187,00002-00001-00002-81187,00006-00009-49370,1753828478-081187,1757896498-081187,1761964518-0081187,1951127448-081187,1930787348-00081187,1949093438-081187,126722487-0000081187
Component 00000000009916,00001-00004-00010-9916,00004-00004-00004-30489,1692634097-009916,986501977-009916,280369857-0009916,1804964629-009916,1040657935-00009916,10547042-009916,900072854-0000009916
Component 00000000014575,00001-00002-14575,00002-00003-00009-37397,587005087-014575,69523208-014575,1699524976-0014575,185195896-014575,625121644-00014575,1517678659-014575,1650100959-0000014575
Component 00000000040165,00006-00008-40165,00001-00011-12621,511906488-040165,1346408694-040165,33427253-0040165,183074186-040165,305530450-00040165,1913306730-040165,2004031103-0000040165
Component 00000000082249,00004-00006-00011-82249,00006-00002-79120,274243239-082249,1029748849-082249,1785254459-0082249,409043325-082249,926482569-00082249,31290520-082249,1682957551-0000082249
Component 00000000093872,00002-00002-00012-93872,00002-00003-00006-33897,542599357-093872,1027233236-093872,1511867115-0093872,1498764195-093872,1223078447-00093872,182705432-093872,319299301-0000093872
Component 00000000004218,00003-00004-00006-4218,00006-118020,427153802-004218,373684568-004218,320215334-0004218,2128863247-004218,248725770-00004218,8114217-004218,1295466540-0000004218
Component 00000000053079,00004-00005-53079,00006-00011-3625,2108103182-053079,76769975-053079,192920415-0053079,1298948581-053079,718196381-00053079,1240873361-053079,1045506880-0000053079
Component 00000000007657,00002-00006-7657,00001-00003-00007-90786,290434316-007657,1057632870-007657,1824831424-0007657,992342186-007657,1451316710-00007657,608742909-007657,1846388328-0000007657
Component 00000000055401,00001-00003-00008-55401,00001-00007-68621,926360453-055401,1143230952-055401,1360101451-0055401,1780903243-055401,696550748-00055401,598726170-055401,1293737041-0000055401
Component 00000000075912,00002-00004-00005-75912,00004-00004-00006-25239,82489398-075912,1451477293-075912,672981541-0075912,980151072-075912,577662538-00075912,1369398948-075912,1775908189-0000075912
Component 00000000002954,00004-00003-2954,00006-00005-82620,1416825097-002954,768034682-002954,119244267-0002954,1089002851-002954,37987632-00002954,339656235-002954,1929253072-0000002954
Component 00000000052435,00005-00006-52435,00001-00007-109116,1432584722-052435,947830292-052435,463075862-0052435,1544314984-052435,1820603487-00052435,1786692199-052435,919459937-0000052435
Component 00000000105510,00006-00002-105510,00004-00002-00012-112709,1374990933-105510,2059824689-105510,597174798-0105510,229689747-105510,1100488261-00105510,2034756516-105510,892866524-0000105510
Component 00000000021650,00006-00005-21650,00001-00004-00011-111941,1735544153-021650,2028662617-021650,174297434-0021650,919404128-021650,1601295455-00021650,772844896-021650,1860567865-0000021650
Component 00000000078101,00001-00002-00010-78101,00001-00001-00006-86521,807406950-078101,819841582-078101,832276214-0078101,1410486602-078101,1348313442-00078101,1404269286-078101,722300216-0000078101
Component 00000000016886,00001-00002-00012-16886,00003-00004-00007-102148,1099857735-016886,1024851831-016886,949845927-0016886,1757038685-016886,2132068205-00016886,1794541637-016886,811163894-0000016886
Component 00000000054880,00007-54880,00003-00005-00010-54038,174428793-054880,1894259832-054880,1466607224-0054880,908113775-054880,898893168-00054880,1121940079-054880,1072450410-0000054880
Component 00000000072341,00001-00003-00009-72341,00002-00002-00007-48757,647487415-072341,328402991-072341,9318567-0072341,204278380-072341,1799700500-00072341,363820592-072341,1779218801-0000072341
Component 00000000021282,00002-00002-00001-21282,00006-00004-101625,1731993037-021282,1757912502-021282,1783831967-0021282,1915345266-021282,1785747941-00021282,828643710-021282,1150041419-0000021282
Component 00000000091360,00003-00009-91360,00002-00001-00002-87102,1478006300-091360,306516048-091360,1282509443-0091360,495303900-091360,2057787866-00091360,1081049026-091360,2025546092-0000091360
Component 00000000035438,00003-00004-35438,00004-00005-3840,1958219462-035438,283380773-035438,756025731-0035438,1259179808-035438,1043438665-00035438,1022857329-035438,1429710009-0000035438
Component 00000000030808,00003-00001-00011-30808,00002-00002-121305,2073202753-030808,1189050502-030808,304898251-0030808,1067749696-030808,1193543657-00030808,436083998-030808,740034717-0000030808
Component 00000000085488,00003-00004-85488,00004-00004-00011-46239,2140743253-085488,693069934-085488,1392880262-0085488,1721805809-085488,370237816-00085488,1371900645-085488,905252171-0000085488
Component 00000000043909,00004-00005-00008-43909,00002-00012-117467,555400034-043909,212844503-043909,2017772619-0043909,47584133-043909,1760361788-00043909,1292603722-043909,1919343421-0000043909
Component 00000000094350,00004-00009-94350,00004-00001-00007-47314,2130462025-094350,2073776037-094350,2017090049-0094350,1528675254-094350,1812105194-00094350,1557018248-094350,1377141733-0000094350
Component 00000000007431,00001-00004-00008-7431,00001-00003-00004-11756,1425124063-007431,1902865222-007431,233122734-0007431,2046991981-007431,1805769833-00007431,734379578-007431,350055283-0000007431
Component 00000000048424,00004-00005-00012-48424,00003-00002-00012-120353,1484319952-048424,553410237-048424,1769984169-0048424,358613538-048424,718194819-00048424,1897810219-048424,170607970-0000048424
Component 00000000072865,00002-72865,00002-00009-63462,1000213887-072865,1132295661-072865,1264377435-0072865,963728985-072865,303320115-00072865,897688098-072865,797358828-0000072865
Component 00000000083349,00004-00006-83349,00001-109915,709542571-083349,1950696737-083349,1044367256-0083349,775977506-083349,1012657617-00083349,155400423-083349,1336698422-0000083349
Component 00000000071028,00003-00006-00009-71028,00002-00002-00008-12007,449146061-071028,398654871-071028,348163681-0071028,147806993-071028,400262943-00071028,173052588-071028,350740539-0000071028
Component 00000000091232,00002-00001-00011-91232,00001-00003-00003-83541,1166283065-091232,1677705853-091232,41644994-0091232,200484519-091232,1938337873-00091232,2092256772-091232,492884251-0000091232
Component 00000000052674,00004-00006-00011-52674,00001-00005-00011-115841,1212783167-052674,1200577317-052674,1188371467-0052674,620799442-052674,681828692-00052674,626902367-052674,1046624143-0000052674
Component 00000000097542,00002-00004-00003-97542,00004-00010-10969,959874294-097542,1162356059-097542,1364837824-0097542,1116563485-097542,104154660-00097542,2089064426-097542,1234868296-0000097542
Component 00000000084291,00001-00004-00012-84291,00003-00003-00003-12743,1190359060-084291,1237452599-084291,1284546138-0084291,253170231-084291,17702536-00084291,1303365285-084291,2143388202-0000084291
Component 00000000107620,00002-00006-107620,00004-00004-00004-48234,1473142160-107620,1097838115-107620,722534070-0107620,1524506977-107620,1253543555-00107620,638417176-107620,698418234-0000107620
Component 00000000039875,00003-00004-39875,00003-00002-4578,528036574-039875,1862374825-039875,1049229429-0039875,1892674161-039875,1663433847-00039875,151763212-039875,318196445-0000039875
Component 00000000110149,00004-00004-110149,00003-00005-00005-119033,1474043188-110149,1685942821-110149,1897842454-0110149,2087498977-110149,1028000812-00110149,907807337-110149,893400728-0000110149
Component 00000000109208,00003-00001-00008-109208,00001-00006-00008-27061,1402785771-109208,1933817069-109208,317364720-0109208,1387999960-109208,880327117-00109208,1122484311-109208,68246526-0000109208
Component 00000000030100,00005-30100,00001-00004-00002-101441,175276310-030100,428482563-030100,681688816-0030100,644619522-030100,1526071904-00030100,1591758219-030100,1459297707-0000030100
Component 00000000106003,00003-00002-00001-106003,00001-00004-00002-44111,1811664789-106003,11490688-106003,358800234-0106003,1476308594-106003,1887244511-00106003,1302653821-106003,1685153479-0000106003
Component 00000000054191,00001-00004-00007-54191,00001-00001-00007-34756,1396521225-054191,1183549959-054191,970578693-0054191,1804833059-054191,722205742-00054191,1911318692-054191,58958255-0000054191
Component 00000000116165,00010-116165,00006-00010-40375,341270706-116165,221635257-116165,101999808-0116165,2055144194-116165,505837792-00116165,1041220095-116165,1635214243-0000116165
Component 00000000013380,00003-00003-13380,00001-00004-00005-3931,1440920974-013380,688218707-013380,2083000087-0013380,368341200-013380,1984368888-00013380,1818434157-013380,986481473-0000013380
Component 00000000080425,00002-00007-80425,00002-00004-00004-28032,1727349991-080425,92309090-080425,604751836-0080425,811019408-080425,396289325-00080425,554798035-080425,2141144769-0000080425
Component 00000000050915,00004-00007-50915,00004-00001-00004-66564,1240078136-050915,737946499-050915,235814862-0050915,1582755682-050915,1945930220-00050915,760079677-050915,769319967-0000050915
Component 00000000097447,00002-00012-97447,00002-00007-10472,1837485821-097447,194444000-097447,698885826-0097447,533110618-097447,158385135-00097447,280889705-097447,848243326-0000097447
Component 00000000081460,00001-00002-81460,00010-57015,394255302-081460,486876954-081460,579498606-0081460,591438130-081460,128329870-00081460,545127304-081460,39836533-0000081460
Component 00000000029635,00004-00008-29635,00004-00002-00002-88454,2129244959-029635,375691357-029635,769621402-0029635,833757495-029635,1011590917-00029635,1710534296-029635,1431961220-0000029635
Component 00000000087370,00003-00010-87370,00004-00002-00011-98954,1362249810-087370,2097514491-087370,685295525-0087370,1589106663-087370,60266905-00087370,147732499-087370,1539110403-0000087370
Component 00000000030736,00001-00006-00004-30736,00003-00005-00003-119278,864509675-030736,936776596-030736,1009043517-0030736,1148229873-030736,786895268-00030736,38354589-030736,1089937724-0000030736
Component 00000000014378,00003-14378,00006-00007-31870,968439414-014378,656086930-014378,343734446-0014378,851729469-014378,266008242-00014378,1007905711-014378,1368721764-0000014378
Component 00000000009406,00001-00005-00007-9406,00003-00006-00011-16183,2063680795-009406,390611114-009406,865025080-0009406,1450438029-009406,1225851846-00009406,1213231046-009406,1384363376-0000009406
Component 00000000106417,00002-00003-00012-106417,00004-00001-00007-14554,674251964-106417,188564710-106417,1850361103-0106417,740740262-106417,1021692885-00106417,983583889-106417,641991349-0000106417
Component 00000000084185,00003-00010-84185,00003-00002-00002-116118,150977926-084185,1477462958-084185,656464343-0084185,60992568-084185,2018501996-00084185,1545233699-084185,898643732-0000084185
Component 00000000028918,00003-00001-00006-28918,00006-00008-68375,1442181044-028918,1709745499-028918,1977309954-0028918,460413406-028918,1270074778-00028918,1400373002-028918,1557856521-0000028918
Component 00000000003429,00004-00006-00010-3429,,1914910910-003429,1716691110-003429,1518471310-0003429,891185198-003429,1882284198-00003429,990295098-003429,2095710261-0000003429
Component 00000000007790,00006-00003-7790,00003-00003-00006-94503,1663358932-007790,654962207-007790,1794049129-0007790,1074499827-007790,1821516158-00007790,504956366-007790,1210446183-0000007790
Component 00000000096440,00001-00006-96440,00002-00004-00008-105802,1618597699-096440,2081486002-096440,396890658-0096440,1520102101-096440,1353144233-00096440,214916126-096440,370595020-0000096440
Component 00000000088933,00003-00005-88933,00001-00011-19160,255309295-088933,206155671-088933,157002047-0088933,18842178-088933,264610298-00088933,43418990-088933,371297726-0000088933
Component 00000000052068,00003-00002-00003-52068,00002-00003-00001-98892,298597421-052068,1992087984-052068,1538094900-0052068,1902252964-052068,2024734737-00052068,2129249506-052068,1107431855-0000052068
Component 00000000109353,00003-00006-00010-109353,00004-00004-00011-96744,581742231-109353,451922366-109353,322102501-0109353,1801671543-109353,303287221-00109353,792839652-109353,1018566899-0000109353
Component 00000000077932,00002-00001-00010-77932,00001-00001-00004-81761,850970212-077932,1846593010-077932,694732161-0077932,1894035681-077932,1210888985-00077932,1396224282-077932,1918141279-0000077932
Component 00000000061108,00003-00005-00008-61108,00004-00005-00008-104879,318505447-061108,1871721102-061108,1277453110-0061108,1561278893-061108,237651559-00061108,1858412889-061108,24815302-0000061108
Component 00000000059212,00002-00006-00010-59212,00012-51765,1001603873-059212,892950049-059212,784296225-0059212,26860703-059212,570129823-00059212,81187615-059212,1584286373-0000059212
Component 00000000096678,00003-00001-00010-96678,00004-00004-00005-112494,1085838164-096678,765310141-096678,444782118-0096678,1646356401-096678,1101512869-00096678,732878589-096678,565303059-0000096678
Component 00000000004353,00003-00006-00011-4353,00002-00006-00004-121827,1852362075-004353,43304209-004353,381729990-0004353,12401454-004353,467756196-00004353,916930387-004353,1118449758-0000004353
Component 00000000065577,00002-00001-00005-65577,00001-00006-00006-106476,33929582-065577,1060705042-065577,2087480502-0065577,440415511-065577,1748989152-00065577,2074511428-065577,1629875578-0000065577
Component 00000000097175,00001-97175,00002-00006-00006-2827,1175409583-097175,162163202-097175,1296400468-0097175,351342162-097175,1122606773-00097175,1931707176-097175,1230637465-0000097175
Component 00000000027101,00001-00004-00009-27101,00002-00002-00004-17502,197593419-027101,1195819846-027101,46562626-0027101,293193071-027101,1744511877-00027101,867821681-027101,1239224271-0000027101
Component 00000000030869,00004-00006-00007-30869,00004-00004-00001-122994,1807494849-030869,1698748508-030869,1590002167-0030869,1902006428-030869,298254486-00030869,882637775-030869,2118669447-0000030869
Component 00000000058787,00002-00001-00001-58787,00004-00005-39884,508654607-058787,1300047671-058787,2091440735-0058787,236512565-058787,574514539-00058787,1988299680-058787,1537267311-0000058787
Component 00000000087348,00003-00002-00001-87348,00003-00009-120480,1568202172-087348,1508568082-087348,1448933992-0087348,823432454-087348,1121602904-00087348,853249499-087348,142932230-0000087348
Component 00000000065057,00002-00006-00005-65057,00002-00003-00008-91892,33015934-065057,725773935-065057,1418531936-0065057,345782454-065057,1176959743-00065057,1073145277-065057,110480835-0000065057
Component 00000000024029,00004-00005-00005-24029,00001-00001-00005-55021,1203820360-024029,321307726-024029,1586278739-0024029,1351630551-024029,1469226427-00024029,1792886868-024029,1985499209-0000024029
Component 00000000024283,00003-00012-24283,00002-00001-00011-62112,609074775-024283,1058123016-024283,1507171257-0024283,1986819817-024283,1889062259-00024283,688553873-024283,1001912533-0000024283
