Component 00000000113248,00003-00002-00005-113248,00002-00002-00001-82252,1508863102-113248,396945365-113248,1432511275-0113248,194202209-113248,1458823600-00113248,1823902901-113248,1571994469-0000113248
Component 00000000044007,00002-00005-00002-44007,00003-00002-120200,1690306761-044007,1585022512-044007,1479738263-0044007,1952729802-044007,331667400-00044007,931630103-044007,1533248394-0000044007
Component 00000000084267,00002-00001-00001-84267,00003-00004-12068,499410985-084267,1641176960-084267,635459288-0084267,1114227774-084267,1847848840-00084267,1617086610-084267,1261068155-0000084267
Component 00000000025914,00004-00005-25914,00001-00003-107796,981185148-025914,614079245-025914,246973342-0025914,1430159852-025914,1118205720-00025914,539970980-025914,483539914-0000025914
Component 00000000103085,00003-00008-103085,00001-00003-00011-44796,724390125-103085,1215535185-103085,1706680245-0103085,922605418-103085,614363765-00103085,677032888-103085,14160374-0000103085
Component 00000000055508,00003-00005-00011-55508,00006-71630,125662485-055508,604064687-055508,1082466889-0055508,1853332812-055508,1608805449-00055508,1614131711-055508,12933916-0000055508
Component 00000000078147,00002-00006-00004-78147,00003-00005-00002-87778,1209591235-078147,1444862982-078147,1680134729-0078147,809110906-078147,1780235818-00078147,1765216856-078147,250856437-0000078147
Component 00000000082544,00004-00007-82544,00006-00007-87380,897638511-082544,459987162-082544,22335813-0082544,72642731-082544,113415829-00082544,1365210229-082544,1836210727-0000082544
Component 00000000049809,00004-00004-00006-49809,00001-00005-00005-35586,1102624389-049809,813459607-049809,524294825-0049809,2110517991-049809,1408858254-00049809,107616735-049809,1505525976-0000049809
Component 00000000113952,00002-00006-00007-113952,00004-00004-00009-101994,323705192-113952,1599459157-113952,727729475-0113952,994488555-113952,1058169671-00113952,1430353396-113952,1916644267-0000113952
Component 00000000103205,00004-00011-103205,00003-00006-00008-48173,1499887828-103205,143907594-103205,935411007-0103205,159355889-103205,496806118-00103205,837346006-103205,833193918-0000103205
Component 00000000089367,00002-00005-00005-89367,00003-00002-00005-31348,1815807279-089367,1812102621-089367,1808397963-0089367,1636131366-089367,1654654656-00089367,1637983695-089367,466864919-0000089367
Component 00000000044758,00003-00012-44758,1436259974,1408014752-044758,22291915-044758,784052725-0044758,1846192038-044758,184871635-00044758,1465311633-044758,1633379734-0000044758
Component 00000000003398,00003-00003-00005-3398,00004-00003-95085,1613478407-003398,785230614-003398,2104466468-0003398,1171907916-003398,1018179587-00003398,512289989-003398,1825978478-0000003398
Component 00000000031591,00001-00001-31591,00003-00001-00005-19713,525127592-031591,1766055019-031591,859498799-0031591,1654307509-031591,1892121315-00031591,2107585619-031591,2038073157-0000031591
Component 00000000096219,00004-00004-00006-96219,00004-00005-00010-99629,1843347823-096219,1717178106-096219,1591008389-0096219,1092825666-096219,1723674251-00096219,82168701-096219,1132392930-0000096219
Component 00000000097944,00004-00002-97944,00004-00005-00004-24379,1522414981-097944,770723604-097944,19032227-0097944,498863372-097944,2109836610-00097944,1948450884-097944,1248715109-0000097944
Component 00000000094263,00003-00001-94263,00003-00002-00008-44858,1101483713-094263,1940949513-094263,632931666-0094263,1013385720-094263,1111024014-00094263,593652820-094263,2077721076-0000094263
Component 00000000080716,00001-00006-00012-80716,00005-00009-6340,1610046478-080716,1053490128-080716,496933778-0080716,386867267-080716,1022165370-00080716,665145442-080716,168650680-0000080716
Component 00000000066686,00001-00004-00009-66686,00001-00006-00009-13971,855559869-066686,1750871861-066686,498700206-0066686,1328518541-066686,1146925875-00066686,880862545-066686,578227304-0000066686
Component 00000000004037,00002-00005-00007-4037,00004-00002-00010-112954,2029109032-004037,132918736-004037,384212087-0004037,258192850-004037,1149209742-00004037,1206287998-004037,1008652196-0000004037
Component 00000000030845,00003-00009-30845,1436259974,1527805565-030845,239360600-030845,1098399282-0030845,241508702-030845,241282586-00030845,1959473008-030845,64242936-0000030845
Component 00000000043292,00002-00004-00002-43292,00001-00001-00002-59711,980825199-043292,1981943305-043292,835577764-0043292,142929459-043292,1579789870-00043292,1789854053-043292,529592133-0000043292
Component 00000000107904,00004-00006-00004-107904,00001-00004-56186,965717095-107904,71148027-107904,1324062606-0107904,528790237-107904,706668283-00107904,976074771-107904,1741462508-0000107904
Component 00000000066781,00001-00001-66781,00003-00004-00003-16643,281624618-066781,1840422522-066781,1251736779-0066781,721395317-066781,1517340385-00066781,2089480012-066781,2088338978-0000066781
Component 00000000016235,00002-00011-16235,00004-00005-00003-83879,1238530994-016235,610841519-016235,2130635691-0016235,1934104338-016235,777584419-00016235,1174207252-016235,1724846197-0000016235
Component 00000000030933,00003-00006-30933,00012-1260,1407654960-030933,632778406-030933,2005385499-0030933,333364090-030933,2060263213-00030933,720802367-030933,327285532-0000030933
Component 00000000007574,00004-00008-7574,00004-00002-00002-88454,1014339495-007574,127220189-007574,1387584530-0007574,938726094-007574,1079355330-00007574,1382285747-007574,191647158-0000007574
Component 00000000043243,00003-00004-00005-43243,00001-00005-00005-98831,1159385925-043243,562609604-043243,2113316930-0043243,1206763591-043243,2043161549-00043243,431409928-043243,2012384327-0000043243
Component 00000000017115,00007-17115,00003-00003-00005-108503,467644261-017115,1902724467-017115,1190321026-0017115,1349557548-017115,616607459-00017115,632017445-017115,66581506-0000017115
Component 00000000008460,00004-00010-8460,00001-00001-00005-113261,192487815-008460,762721166-008460,1332954517-0008460,1005259751-008460,301576643-00008460,1793884899-008460,1060833048-0000008460
Component 00000000055715,00002-00010-55715,00001-00004-00003-77431,27734103-055715,1437868918-055715,700520086-0055715,773537750-055715,165314616-00055715,1142212166-055715,285149314-0000055715
Component 00000000057353,00003-00002-00010-57353,00001-00006-00001-79106,1550767420-057353,1554017060-057353,1557266700-0057353,1708374960-057353,1692126760-00057353,1706750140-057353,160807484-0000057353
Component 00000000110838,00003-110838,00001-00003-00007-14801,1710218926-110838,192990667-110838,823246055-0110838,65350539-110838,1209040893-00110838,1897706492-110838,19960703-0000110838
Component 00000000041007,00002-00001-00005-41007,00005-00012-36230,806594142-041007,1146131630-041007,1485669118-0041007,94293134-041007,544089341-00041007,2072008037-041007,1602799973-0000041007
Component 00000000063624,00004-00001-00002-63624,00001-00003-00004-51796,1958497315-063624,276890183-063624,742766698-0063624,2004929999-063624,1823031071-00063624,698249918-063624,1724519352-0000063624
Component 00000000084121,00001-00002-00011-84121,00001-00006-00001-9491,1725638128-084121,1940801426-084121,8481077-0084121,1423639846-084121,347823356-00084121,1316058197-084121,30447854-0000084121
Component 00000000035005,00005-00009-35005,00001-00001-00011-115256,1790804254-035005,670591895-035005,1697863183-0035005,73854194-035005,1379948695-00035005,1707702197-035005,1099366706-0000035005
Component 00000000093715,00006-00011-93715,00003-00003-00007-27268,1068550471-093715,87498721-093715,1253930618-0093715,732180830-093715,1342472286-00093715,1222706705-093715,1064921473-0000093715
Component 00000000018288,00003-00004-00010-18288,,1309163863-018288,1944270248-018288,431892986-0018288,973310654-018288,2092746023-00018288,1729499285-018288,539508708-0000018288
Component 00000000055240,00003-00003-55240,00002-00001-00004-64107,416541759-055240,576418764-055240,736295769-0055240,654383737-055240,2002482359-00055240,1648187058-055240,113853934-0000055240
Component 00000000029614,00004-00004-29614,00004-00012-87840,465010508-029614,472627921-029614,480245334-0029614,1908196862-029614,1870109797-00029614,830646332-029614,700169082-0000029614
Component 00000000029278,00003-00004-00002-29278,00003-00003-78445,1026640537-029278,887073570-029278,747506603-0029278,1773835402-029278,324186590-00029278,769877062-029278,1704354294-0000029278
Component 00000000070682,00002-00003-00001-70682,00002-00004-2305,827151110-070682,1158981194-070682,1490811278-0070682,1888524655-070682,229374235-00070682,1722609613-070682,1525968904-0000070682
Component 00000000017347,00002-00001-00005-17347,00001-00003-00004-115041,1570943525-017347,49816480-017347,676173082-0017347,1884467664-017347,900168301-00017347,1571289363-017347,2042947466-0000017347
Component 00000000069160,69160,00004-00004-00008-83234,780913682-069160,906036672-069160,1031159662-0069160,406927756-069160,1928796453-00069160,344366261-069160,1497312956-0000069160
Component 00000000063553,00003-00009-63553,00002-00010-49800,429833473-063553,242349137-063553,54864801-0063553,2074261412-063553,864199445-00063553,20519933-063553,1999565803-0000063553
Component 00000000065605,00001-00007-65605,00004-00004-00007-107244,838334249-065605,1715306395-065605,444794894-0065605,421810390-065605,331916954-00065605,2130807964-065605,49346415-0000065605
Component 00000000112724,00004-00003-00001-112724,00002-00001-00007-67607,652866677-112724,1978974335-112724,1157598346-0112724,544578680-112724,356491331-00112724,2029008498-112724,547089743-0000112724
Component 00000000092409,00004-00002-00005-92409,00001-00001-00010-116516,1707384510-092409,500405124-092409,1440909385-0092409,1150942758-092409,743388747-00092409,1754432451-092409,256187826-0000092409
Component 00000000088730,00005-00005-88730,00004-00003-122385,1169621704-088730,1352275465-088730,1534929226-0088730,364652701-088730,1598867543-00088730,1347067644-088730,1760346743-0000088730
Component 00000000070095,00004-00012-70095,00003-00006-00002-109423,2093822702-070095,250021576-070095,553704097-0070095,716297618-070095,1345368660-00070095,1638198181-070095,1471666955-0000070095
Component 00000000048179,00004-00005-00001-48179,00002-00002-00004-113507,714829621-048179,635265652-048179,555701683-0048179,77202595-048179,475022440-00048179,1190726403-048179,896790786-0000048179
Component 00000000068479,00004-00005-00008-68479,00004-00001-64169,473086034-068479,595342199-068479,717598364-0068479,1033800919-068479,422520094-00068479,2046414660-068479,1642445737-0000068479
Component 00000000102810,00001-00006-102810,00004-00001-37090,1427772624-102810,888172246-102810,348571868-0102810,1026958055-102810,1577476298-00102810,1296758244-102810,217652786-0000102810
Component 00000000047044,00004-00004-00010-47044,00003-00008-81700,1234288038-047044,716826025-047044,199364012-0047044,833442348-047044,1273268766-00047044,18431531-047044,782552763-0000047044
Component 00000000063905,00002-00010-63905,00004-00005-00006-59624,1970869935-063905,1632344750-063905,1293819565-0063905,1658525815-063905,1203668093-00063905,754046584-063905,2096988481-0000063905
Component 00000000077298,00003-00004-77298,00001-00003-00008-64046,1819932195-077298,178038397-077298,683628246-0077298,1644977931-077298,1264512333-00077298,318441183-077298,1391030583-0000077298
Component 00000000111383,00003-00006-00012-111383,00003-00002-30058,663626883-111383,1568246587-111383,325382644-0111383,1588009587-111383,1359878361-00111383,1135699735-111383,1322697241-0000111383
Component 00000000115019,00004-00002-00008-115019,00001-00003-00010-8291,1658757166-115019,539465070-115019,1567656621-0115019,1060181685-115019,214191224-00115019,1619827733-115019,555368969-0000115019
Component 00000000036901,00001-00004-00007-36901,00001-00003-00011-44796,1440202888-036901,468321429-036901,1643923617-0036901,474850537-036901,1039290538-00036901,2034533090-036901,447044069-0000036901
Component 00000000070729,00004-00001-00009-70729,00001-00002-3655,1279566184-070729,1314910960-070729,1350255736-0070729,846304173-070729,669580293-00070729,828631785-070729,479188263-0000070729
Component 00000000102930,00002-00009-102930,00002-00011-40467,1822528858-102930,1645462070-102930,1468395282-0102930,1824724228-102930,562574521-00102930,1913257622-102930,1315923626-0000102930
Component 00000000090395,00004-00006-90395,00001-00005-60086,1202549527-090395,1907064135-090395,464095096-0090395,1011769663-090395,1784163917-00090395,659512359-090395,589192092-0000090395
Component 00000000033348,00003-00003-33348,00001-00005-00001-68836,1338596345-033348,288612246-033348,1386111794-0033348,880233248-033348,1835186449-00033348,331483474-033348,1007368876-0000033348
Component 00000000068583,00003-00004-00008-68583,00002-00006-00007-67087,1349629704-068583,838588637-068583,327547570-0068583,1260199895-068583,1667921583-00068583,441978605-068583,849261605-0000068583
Component 00000000097119,00004-00001-00009-97119,00001-00003-00004-1291,93149838-097119,1323229408-097119,405825331-0097119,1769950514-097119,2062003605-00097119,1154910729-097119,64616324-0000097119
Component 00000000118905,00003-00007-118905,00006-117130,1183708498-118905,1225059824-118905,1266411150-0118905,1041764162-118905,835007532-00118905,1021088499-118905,686904283-0000118905
Component 00000000060406,00001-00003-00008-60406,00003-00001-00009-85198,2046507703-060406,6832761-060406,114641466-0060406,1906520778-060406,1367477253-00060406,778874602-060406,538766325-0000060406
Component 00000000032130,00007-32130,00002-00004-00012-34787,714908743-032130,1100868635-032130,1486828527-0032130,106610682-032130,324294869-00032130,2061114383-032130,1539732963-0000032130
Component 00000000122957,00002-00002-00003-122957,00004-00006-107029,1667574818-122957,284537415-122957,1048983659-0122957,88512006-122957,561248080-00122957,1853772531-122957,1532283435-0000122957
Component 00000000122379,00004-00005-00010-122379,00004-00002-00002-45229,341348244-122379,1829860946-122379,1170890001-0122379,1667253940-122379,667141371-00122379,922997589-122379,1265605773-0000122379
Component 00000000078907,00002-00003-00010-78907,00002-00011-109055,678817553-078907,973301886-078907,1267786219-0078907,1002663998-078907,1677725980-00078907,1929163655-078907,1451073715-0000078907
Component 00000000001887,00002-00004-00002-1887,00004-00006-00012-52779,1807250318-001887,283984444-001887,908202217-0001887,943299427-001887,2117177856-00001887,1704932364-001887,388523263-0000001887
Component 00000000002677,00002-00003-00012-2677,00004-00003-74854,85008342-002677,647101965-002677,1209195588-0002677,503003470-002677,1987502649-00002677,1295698482-002677,512059107-0000002677
Component 00000000106583,00003-00001-00009-106583,00001-00004-00003-19191,1426885721-106583,1540839653-106583,1654793585-0106583,511200482-106583,2088914469-00106583,454223516-106583,1376181471-0000106583
Component 00000000117642,00002-00005-117642,00003-00004-00003-65783,767769262-117642,531534179-117642,295299096-0117642,1121527795-117642,155219563-00117642,165903513-117642,1590894767-0000117642
Component 00000000063532,00002-00001-63532,00002-00005-00008-49187,168185117-063532,1453152050-063532,590635336-0063532,1285797428-063532,1303413704-00063532,1717055785-063532,1877303073-0000063532
Component 00000000043152,00002-00004-00005-43152,00004-00005-00006-68269,990653094-043152,115330319-043152,1387491191-0043152,413429623-043152,495076204-00043152,1924832834-043152,1773331081-0000043152
Component 00000000099146,00001-00005-00008-99146,00004-00006-00010-58029,1140196559-099146,336568503-099146,1680424094-0099146,818941489-099146,542114475-00099146,1220755517-099146,1584490697-0000099146
Component 00000000025121,00001-00005-00005-25121,00004-00003-00007-85599,1076524953-025121,512038514-025121,2095035722-0025121,542478249-025121,1217426797-00025121,1898463292-025121,1520764134-0000025121
Component 00000000056886,00001-00004-00011-56886,00005-00006-110220,309572413-056886,380473256-056886,451374099-0056886,527037828-056886,172533613-00056886,1565329230-056886,1852611583-0000056886
Component 00000000081541,00001-00005-00005-81541,00002-00002-00003-59257,202779976-081541,1802213331-081541,1254163039-0081541,1539628225-081541,2132396038-00081541,1813653371-081541,351275314-0000081541
Component 00000000087415,00006-00003-87415,00001-00004-00003-100181,463809892-087415,813314168-087415,1162818444-0087415,234898102-087415,634860369-00087415,60145964-087415,247940041-0000087415
Component 00000000018659,00004-00004-00004-18659,00002-00007-28217,2013170038-018659,287723758-018659,709761125-0018659,2080887691-018659,2118184503-00018659,796127184-018659,115023707-0000018659
Component 00000000107673,00003-00006-00007-107673,00004-00003-00010-24944,1124949953-107673,1605449279-107673,2085948605-0107673,806847147-107673,551834164-00107673,566597484-107673,36790604-0000107673
Component 00000000101901,00001-00002-00007-101901,00003-00001-00005-16983,529134117-101901,519120873-101901,509107629-0101901,43491783-101901,93558003-00101901,48498405-101901,143710960-0000101901
Component 00000000044684,00004-00003-00003-44684,00006-00004-15630,1420758662-044684,522034093-044684,1770793171-0044684,1856031829-044684,2054687380-00044684,1231652290-044684,2137268090-0000044684
Component 00000000093677,00002-00003-00012-93677,00002-00005-00001-28432,1654360785-093677,1874824859-093677,2095288933-0093677,1609450139-093677,507129769-00093677,1499218102-093677,1393424186-0000093677
Component 00000000068375,00006-00008-68375,00004-00005-00007-94309,534654148-068375,1377512757-068375,72887719-0068375,1684849215-068375,1765523464-00068375,189678087-068375,1233679847-0000068375
Component 00000000034552,00002-00011-34552,00002-00006-00007-102577,1045708360-034552,1247537880-034552,1449367400-0034552,97021845-034552,1235357892-00034552,2143590732-034552,83565798-0000034552
Component 00000000089842,00002-00004-00012-89842,00002-00001-00009-44612,1143585164-089842,2140500211-089842,989931611-0089842,1175582886-089842,485974945-00089842,1750867186-089842,29638039-0000089842
Component 00000000067464,00004-00005-00007-67464,00004-00004-00002-35739,87393080-067464,1930908343-067464,1626939959-0067464,377311985-067464,1897153905-00067464,529296177-067464,1437078584-0000067464
Component 00000000048634,00004-00005-00001-48634,00004-00002-2704,965189363-048634,1003454415-048634,1041719467-0048634,673560738-048634,482235478-00048634,654428212-048634,1488639118-0000048634
Component 00000000002052,00002-00001-00011-2052,00003-00002-00010-57353,1164373827-002052,1711972861-002052,112088248-0002052,1953123212-002052,1362611689-00002052,1679323695-002052,1285323692-0000002052
Component 00000000000864,00004-00003-00006-864,00003-00002-00001-24103,1114254739-000864,392456251-000864,1818141410-0000864,466766423-000864,1928275216-00000864,827665667-000864,1290270346-0000000864
Component 00000000045715,00005-00007-45715,00002-00012-44550,1706352136-045715,1036546248-045715,366740360-0045715,1433021273-045715,487083419-00045715,1767924217-045715,1976022886-0000045715
Component 00000000084069,00004-00006-00011-84069,00001-00001-00011-6511,187473992-084069,558086056-084069,928698120-0084069,982289920-084069,1276713247-00084069,796983888-084069,206595910-0000084069
Component 00000000077262,00002-00003-00003-77262,00003-00003-00005-63003,1076920867-077262,1615178075-077262,5951636-0077262,1412591691-077262,868789298-00077262,1143463087-077262,1511513322-0000077262
Component 00000000050778,00003-50778,00001-00001-00005-62756,1273996384-050778,1784399398-050778,147318765-0050778,258738799-050778,2001691023-00050778,3537292-050778,1575079809-0000050778
Component 00000000090046,00001-00005-00008-90046,00003-00002-00004-50353,1872509214-090046,1592348378-090046,1312187542-0090046,1169610550-090046,422931083-00090046,1309690968-090046,1364194765-0000090046
Component 00000000023464,00004-00012-23464,00003-00006-00009-39178,1636414139-023464,1112414355-023464,588414571-0023464,1992228379-023464,317260005-00023464,106744624-023464,906762220-0000023464
Component 00000000021469,00004-00006-21469,00004-00005-00001-106874,2048755152-021469,1635333658-021469,1221912164-0021469,1325165516-021469,1244789339-00021469,1531876263-021469,169023333-0000021469
Component 00000000003006,00001-00003-00003-3006,00001-00003-84126,49130725-003006,226102036-003006,403073347-0003006,1116046544-003006,231189989-00003006,2101302712-003006,1571245806-0000003006
Component 00000000016187,00002-00003-00002-16187,00003-00003-82498,1466148813-016187,79010775-016187,839356384-0016187,761947027-016187,1255186276-00016187,1455516046-016187,1921684520-0000016187
Component 00000000029365,00011-29365,00006-00010-80870,1315439947-029365,802480403-029365,289520859-0029365,59222180-029365,476536253-00029365,315701952-029365,923739462-0000029365
Component 00000000021602,00002-00009-21602,00004-00012-110590,218194081-021602,1831691595-021602,1297705462-0021602,1163412218-021602,1685859236-00021602,356663461-021602,566049250-0000021602
Component 00000000101120,00005-00006-101120,00002-00006-00001-113322,2127039088-101120,211662276-101120,443769111-0101120,1573060527-101120,412526352-00101120,383265286-101120,1140122866-0000101120
