Component 00000000053045,00006-00005-53045,00004-00009-2674,746050180-053045,1559123691-053045,224713555-0053045,451667994-053045,681267733-00053045,1118873062-053045,866444384-0000053045
Component 00000000106197,00002-106197,00001-00004-8415,908348021-106197,133810132-106197,1506755890-0106197,924224227-106197,501946378-00106197,237751348-106197,1553371448-0000106197
Component 00000000118648,00003-00005-00010-118648,00001-109915,1583781158-118648,1241862843-118648,899944528-0118648,1106870233-118648,668978161-00118648,204087567-118648,1203120157-0000118648
Component 00000000020312,00002-00005-00006-20312,00012-74515,1334058248-020312,435942375-020312,1685310149-0020312,1798853171-020312,1994465242-00020312,1174169284-020312,721272886-0000020312
Component 00000000068512,00002-00003-00002-68512,00004-00012-65090,1600621192-068512,1331644319-068512,1062667446-0068512,366402910-068512,1711287275-00068512,1574633170-068512,417273223-0000068512
Component 00000000002708,00003-00006-00004-2708,00004-00004-00006-75744,1006184445-002708,435059313-002708,2011417828-0002708,1223902954-002708,1932044967-00002708,1509465520-002708,1272627693-0000002708
Component 00000000055390,00006-00010-55390,00004-00001-00012-68314,1583396692-055390,1211408305-055390,839419918-0055390,1795570922-055390,1508029210-00055390,907823292-055390,1964109021-0000055390
Component 00000000016400,00006-00007-16400,00004-00002-00002-88454,331260235-016400,82307724-016400,1980838860-0016400,68223510-016400,1312986065-00016400,1266441589-016400,1657162766-0000016400
Component 00000000042977,00002-00004-00012-42977,00001-00002-00011-91401,1866077141-042977,348217226-042977,977840958-0042977,190573438-042977,1337422072-00042977,2023245219-042977,634698912-0000042977
Component 00000000103974,00004-00003-103974,00004-00010-69664,206227586-103974,857297809-103974,1508368032-0103974,644620520-103974,1684236699-00103974,1392827232-103974,1944570198-0000103974
Component 00000000120319,00004-00003-00004-120319,00004-00004-66759,1022807126-120319,1962910619-120319,755530465-0120319,446928126-120319,41377955-00120319,1050618203-120319,1691532743-0000120319
Component 00000000065999,00004-00003-00011-65999,00001-00003-00009-118296,1541653626-065999,722167890-065999,2050165801-0065999,451301076-065999,253762462-00065999,861043944-065999,110578348-0000065999
Component 00000000079648,00003-00002-00010-79648,00012-6265,1338273345-079648,1267003773-079648,1195734201-0079648,29182750-079648,385530610-00079648,64817536-079648,2006256044-0000079648
Component 00000000085820,00007-85820,00003-00011-55573,2010822394-085820,1244388019-085820,477953644-0085820,272235382-085820,1956923610-00085820,1729194393-085820,1124915697-0000085820
Component 00000000116386,00001-00004-00010-116386,00001-00005-00010-46576,1811688945-116386,364359467-116386,1064513636-0116386,335685966-116386,1129882415-00116386,1059350705-116386,1101574651-0000116386
Component 00000000065849,00004-00004-65849,00001-00007-114121,757255564-065849,1880785282-065849,856831353-0065849,1561355712-065849,238674416-00065849,999590853-065849,597078311-0000065849
Component 00000000006255,00004-00002-6255,00002-00005-51550,2110643608-006255,197068930-006255,430977899-0006255,1644068546-006255,474523701-00006255,453372238-006255,1397419676-0000006255
Component 00000000004526,00001-00004-00002-4526,00003-00004-3133,921806512-004526,596485164-004526,271163816-0004526,176106663-004526,1802713403-00004526,338767337-004526,969645867-0000004526
Component 00000000084531,00001-00006-00005-84531,00002-00005-00002-19437,1396104195-084531,1086321644-084531,776539093-0084531,330294177-084531,1879206932-00084531,1558927276-084531,1238688348-0000084531
Component 00000000029791,00001-00006-00008-29791,00001-00006-47131,1993914362-029791,131613124-029791,416795533-0029791,1866617493-029791,440705448-00029791,650284465-029791,157609568-0000029791
Component 00000000053575,00004-00002-53575,00003-00005-00009-17533,499770448-053575,970123156-053575,1440475864-0053575,1837040316-053575,1632760423-00053575,1601863962-053575,441605429-0000053575
Component 00000000096200,00006-96200,00002-00001-00008-99107,163837665-096200,1352135505-096200,392949698-0096200,1961708083-096200,315186177-00096200,1367559163-096200,2007143947-0000096200
Component 00000000077057,00002-00001-00006-77057,00002-00004-00001-57292,1237499059-077057,2000139199-077057,615295692-0077057,1718323850-077057,52606797-00077057,1337003780-077057,719166347-0000077057
Component 00000000048473,00003-00005-00009-48473,00004-00004-00002-121734,983269922-048473,42836434-048473,1249886593-0048473,469402341-048473,876602487-00048473,939619085-048473,1922063951-0000048473
Component 00000000065357,00002-00005-00006-65357,1436259974,858464670-065357,47524255-065357,1384067487-0065357,1256302012-065357,1016036793-00065357,588030396-065357,167080834-0000065357
Component 00000000077886,00001-00004-00003-77886,00002-00002-80472,741792349-077886,1665943847-077886,442611698-0077886,465983415-077886,140193219-00077886,3907666-077886,1689402763-0000077886
Component 00000000032990,00006-00009-32990,00002-00001-00006-58857,151661135-032990,55410848-032990,2106644208-0032990,852231333-032990,1333482768-00032990,1974098300-032990,1331701034-0000032990
Component 00000000095957,00002-00001-00004-95957,00003-00010-92323,1875891136-095957,272250628-095957,816093767-0095957,1408737790-095957,837005742-00095957,63074397-095957,826421998-0000095957
Component 00000000090968,00003-00003-00007-90968,00003-00004-00002-76143,840350078-090968,1520008600-090968,52183475-0090968,1591533690-090968,340724727-00090968,1251704429-090968,1627827120-0000090968
Component 00000000005883,00003-00003-00007-5883,00002-00001-00006-41112,1129164044-005883,1017027481-005883,904890918-0005883,1059249856-005883,1619932671-00005883,41576314-005883,977955338-0000005883
Component 00000000075031,00001-00005-00008-75031,00004-585,1843404801-075031,1602476744-075031,1361548687-0075031,1969554095-075031,1026710733-00075031,1016276300-075031,1813797571-0000075031
Component 00000000008189,00004-00006-00012-8189,00003-00006-00001-105678,1147834829-008189,1269733758-008189,1391632687-0008189,1691223768-008189,1081729123-00008189,556532480-008189,1409344830-0000008189
Component 00000000099394,00004-00001-00009-99394,00003-00001-00007-64968,149135088-099394,1891568232-099394,1486517729-0099394,905280339-099394,783049207-00099394,34063767-099394,103491130-0000099394
Component 00000000098520,00002-00006-98520,00004-00006-00008-40529,1899132568-098520,1960159729-098520,2021186890-0098520,1637724406-098520,1332588601-00098520,533469002-098520,2116855686-0000098520
Component 00000000083505,00002-00006-83505,00002-00009-114305,996006131-083505,447735282-083505,2046948080-0083505,1248415542-083505,1842286140-00083505,448809143-083505,1668294168-0000083505
Component 00000000017191,00001-00006-00005-17191,00001-00002-00008-110651,68744418-017191,2061478470-017191,1906728875-0017191,79581825-017191,853329800-00017191,1230698446-017191,22933787-0000017191
Component 00000000046543,00003-00003-46543,00003-00009-67700,1706822802-046543,1653189062-046543,1599555322-0046543,1253070059-046543,1521238759-00046543,1279886929-046543,582042407-0000046543
Component 00000000053353,00003-00006-00001-53353,00004-00001-00002-11299,614620618-053353,268405607-053353,2069674243-0053353,2076803584-053353,1660394992-00053353,1176169266-053353,1876160894-0000053353
Component 00000000079146,00001-00004-00002-79146,00003-00005-115778,864009664-079146,667966669-079146,471923674-0079146,1019600818-079146,1999815793-00079146,43880492-079146,1751840140-0000079146
Component 00000000002136,00001-00001-00004-2136,00002-00002-00012-59747,1346931075-002136,1393319839-002136,1439708603-0002136,1449302482-002136,1217358662-00002136,1426108100-002136,70325226-0000002136
Component 00000000111187,00002-00006-00011-111187,00004-00001-00007-24564,2068781477-111187,1601186552-111187,1133591627-0111187,1939005908-111187,2129496886-00111187,1099061547-111187,52080607-0000111187
Component 00000000052898,00003-00006-00001-52898,00004-00003-00008-122104,334072091-052898,1026061929-052898,1718051767-0052898,1683324529-052898,370858986-00052898,1337329610-052898,1972890849-0000052898
Component 00000000110462,00002-00002-00001-110462,00004-00006-00005-4269,748129617-110462,1285383811-110462,1822638005-0110462,1035154262-110462,496366939-00110462,766527165-110462,877051301-0000110462
Component 00000000057933,00003-00001-00005-57933,00001-00002-00007-93256,2002086041-057933,1002652758-057933,3219475-0057933,1847953873-057933,402669347-00057933,1273928691-057933,1133204819-0000057933
Component 00000000019477,00002-00003-00003-19477,00006-00004-51120,1943940662-019477,489528350-019477,1182599685-0019477,124420234-019477,954030853-00019477,851626390-019477,1554501737-0000019477
Component 00000000016780,00001-00010-16780,00002-00001-00008-99107,1617596528-016780,1859224860-016780,2100853192-0016780,451668748-016780,1391010735-00016780,330854582-016780,653374776-0000016780
Component 00000000082204,00004-00003-00005-82204,00004-00012-77830,742443620-082204,1850000159-082204,810073051-0082204,1845586410-082204,602771009-00082204,218066317-082204,936512635-0000082204
Component 00000000014093,00003-00002-00001-14093,00001-00005-19440,352134180-014093,1019462699-014093,1686791218-0014093,1579054470-014093,389895522-00014093,171648387-014093,2103546333-0000014093
Component 00000000064266,00001-00006-00007-64266,00002-00002-00012-69757,675795292-064266,1291305923-064266,1906816554-0064266,1537031661-064266,606962153-00064266,155534522-064266,874273687-0000064266
Component 00000000086045,00001-00011-86045,00001-00012-61866,1716759266-086045,993329529-086045,269899792-0086045,2063897197-086045,1386078588-00086045,1351870242-086045,1757775563-0000086045
Component 00000000041257,00002-00006-00008-41257,00005-00005-43230,2134058232-041257,1116328803-041257,98599374-0041257,1092562983-041257,1886242834-00041257,527685874-041257,1849001911-0000041257
Component 00000000061795,00006-00006-61795,00004-585,911338014-061795,972670602-061795,1034003190-0061795,1738484885-061795,1431821945-00061795,1707818591-061795,1828602596-0000061795
Component 00000000068355,00001-68355,00004-00002-00002-60699,376748175-068355,572263777-068355,767779379-0068355,1269320284-068355,291742274-00068355,1171562483-068355,1277415571-0000068355
Component 00000000081015,00004-00012-81015,00002-00012-44550,357665969-081015,606981834-081015,856297699-0081015,638325363-081015,1539229685-00081015,1587409254-081015,1381470552-0000081015
Component 00000000035321,00001-00006-35321,00004-00006-00004-524,547959135-035321,2019319497-035321,1343196212-0035321,1041976341-035321,127625472-00035321,306296160-035321,1315057116-0000035321
Component 00000000051461,00001-00004-00007-51461,00003-00001-81823,817062363-051461,324157182-051461,1978735648-0051461,1607223025-051461,1924265283-00051461,779933792-051461,2015380839-0000051461
Component 00000000023025,00002-00002-23025,00002-00005-00004-26927,1632855812-023025,727411494-023025,1969450823-0023025,668479329-023025,900733625-00023025,1121201488-023025,756858871-0000023025
Component 00000000093601,00001-00004-00001-93601,00003-00001-26313,1668875243-093601,260606567-093601,999821538-0093601,2087321161-093601,538729953-00093601,643971852-093601,1341181651-0000093601
Component 00000000017800,00006-00003-17800,00002-00001-00009-4117,908819643-017800,1191081048-017800,1473342453-0017800,639854080-017800,1376030702-00017800,1572465201-017800,1356097560-0000017800
Component 00000000112004,00004-00004-00009-112004,00001-00004-00012-47436,687042603-112004,1382461282-112004,2077879961-0112004,1128852006-112004,1946725905-00112004,1854884490-112004,90888680-0000112004
Component 00000000064969,00004-00002-00008-64969,00001-00004-89405,1122928821-064969,985514251-064969,848099681-0064969,900773117-064969,1587845967-00064969,969480402-064969,1378840569-0000064969
Component 00000000092120,00002-92120,00004-00005-00011-108379,852823390-092120,1072077761-092120,1291332132-0092120,1822983972-092120,726712117-00092120,639614963-092120,1718850418-0000092120
Component 00000000013421,00001-00002-00005-13421,00004-00003-00003-5099,1910722471-013421,1620505548-013421,1330288625-0013421,1793845411-013421,1097446379-00013421,865212049-013421,362165153-0000013421
Component 00000000071865,00003-00001-71865,00003-00001-00009-115683,903187338-071865,235513974-071865,1715324257-0071865,733283889-071865,1924167062-00071865,1067120571-071865,215036861-0000071865
Component 00000000011551,00001-00001-00007-11551,00007-76265,937530801-011551,1913707273-011551,742400098-0011551,1037449459-011551,451534393-00011551,549361223-011551,513136926-0000011551
Component 00000000023751,00001-23751,00001-00006-00005-47221,1593225933-023751,767947290-023751,2090152294-0023751,1295659217-023751,1127085138-00023751,634556715-023751,598360267-0000023751
Component 00000000086717,00002-00001-00007-86717,00001-00002-00004-80656,910298282-086717,22020853-086717,1281227071-0086717,1852257739-086717,1998677590-00086717,1222654630-086717,595982691-0000086717
Component 00000000043829,00004-00002-00006-43829,00001-00001-00011-115256,1782450087-043829,1867705629-043829,1952961171-0043829,1622376580-043829,1196098870-00043829,1579748809-043829,1736641476-0000043829
Component 00000000024376,00001-00002-00001-24376,00002-00002-00012-64752,427694351-024376,560987817-024376,694281283-0024376,449976511-024376,1930992828-00024376,383329778-024376,784639746-0000024376
Component 00000000053848,00003-00004-00002-53848,,1803935292-053848,881259552-053848,2106067459-0053848,3834842-053848,322246248-00053848,465172712-053848,22770254-0000053848
Component 00000000098112,00002-00001-98112,00002-00001-29107,1553651228-098112,353761638-098112,1301355695-0098112,1341064582-098112,898061591-00098112,1941009377-098112,923408720-0000098112
Component 00000000068657,00002-00001-00004-68657,00003-00004-00009-69143,1460766760-068657,157578757-068657,1001874401-0068657,1606916201-068657,1680405275-00068657,1184768379-068657,243970867-0000068657
Component 00000000086201,00001-00003-00011-86201,00001-00006-00004-66226,393578132-086201,183117817-086201,2120141149-0086201,1997412913-086201,902230841-00086201,1028901247-086201,981532531-0000086201
Component 00000000028910,00011-28910,00004-00005-00009-68129,1956967940-028910,1473141161-028910,989314382-0028910,1039947452-028910,1311597700-00028910,208119018-028910,1508014032-0000028910
Component 00000000108440,00003-00007-108440,00003-00005-00003-26003,94749047-108440,87921738-108440,81094429-0108440,837366384-108440,871502929-00108440,1914521862-108440,1884711329-0000108440
Component 00000000105575,00001-00002-105575,00004-00006-00002-114519,1729239329-105575,38496803-105575,495237924-0105575,1332605404-105575,1196383446-00105575,30493020-105575,2083391214-0000105575
Component 00000000064167,00002-00005-00012-64167,00003-00003-00004-66993,1637693747-064167,310627117-064167,1131044134-0064167,1699471602-064167,1892353811-00064167,215521270-064167,879887798-0000064167
Component 00000000101274,00004-00005-00004-101274,00001-00010-117621,254807151-101274,1382675359-101274,363059920-0101274,1269324064-101274,2072433965-00101274,705389960-101274,1930667509-0000101274
Component 00000000054774,00004-00006-00005-54774,00004-00005-00006-75549,481962525-054774,200658533-054774,2066838188-0054774,1871104442-054774,1130140755-00054774,2011756438-054774,1251826776-0000054774
Component 00000000111720,00011-111720,00001-00001-00009-39516,417349856-111720,264254906-111720,111159956-0111720,1582179369-111720,200170472-00111720,1658726844-111720,2107314657-0000111720
Component 00000000081598,00003-00006-00010-81598,00004-00009-60914,1756736867-081598,824631459-081598,2040009698-0081598,1646781166-081598,2012340912-00081598,2112833870-081598,825338440-0000081598
Component 00000000078560,00006-00001-78560,00004-00003-00008-99354,114851639-078560,303421197-078560,491990755-0078560,670540614-078560,1875176471-00078560,576255835-078560,8375535-0000078560
Component 00000000068581,00001-00002-00006-68581,00004-00006-00009-67024,344823811-068581,1671544143-068581,850780828-0068581,266250503-068581,75099784-00068581,1750373984-068581,135796602-0000068581
Component 00000000102062,00002-00002-00012-102062,00006-16120,1745563030-102062,1076847218-102062,408131406-0102062,1525100853-102062,573712619-00102062,1859458759-102062,281153970-0000102062
Component 00000000114183,00003-00006-00004-114183,00003-00007-108440,685542473-114183,507847025-114183,330151577-0114183,657247833-114183,1545725073-00114183,746095557-114183,80961832-0000114183
Component 00000000108911,00001-00005-00010-108911,00002-00003-00006-84402,891740576-108911,379889984-108911,2015523039-0108911,1836790628-108911,101076294-00108911,2092715924-108911,793984681-0000108911
Component 00000000043890,00002-43890,00001-00006-00002-116976,290073412-043890,1269583923-043890,101610787-0043890,1625434785-043890,1022849524-00043890,61937706-043890,1599342495-0000043890
Component 00000000096190,00003-00003-96190,00001-00005-00005-98831,1045237389-096190,1746236166-096190,299751296-0096190,1757681545-096190,400171307-00096190,333440333-096190,1871960618-0000096190
Component 00000000035018,00003-00004-00009-35018,00001-00002-00008-115656,318898903-035018,32001713-035018,1892588170-0035018,1436770717-035018,723773020-00035018,1580219312-035018,733111296-0000035018
Component 00000000039300,00002-00001-39300,00002-00003-00004-63262,1773393801-039300,804124444-039300,1982338734-0039300,934728397-039300,1486107888-00039300,345621252-039300,1285043112-0000039300
Component 00000000074196,00001-00003-00005-74196,00004-00002-00006-100704,576793217-074196,1535999043-074196,347721222-0074196,2001119191-074196,1500057355-00074196,1521516278-074196,321845767-0000074196
Component 00000000113796,00001-00004-00007-113796,00003-00008-97573,911304011-113796,458818971-113796,6333931-0113796,440616041-113796,555557594-00113796,666858561-113796,22176035-0000113796
Component 00000000114808,00003-00001-00005-114808,,2095139118-114808,986863553-114808,2026071635-0114808,957123567-114808,56050451-00114808,437519526-114808,61630498-0000114808
Component 00000000007310,00002-00004-7310,00001-00003-00001-81056,2009701772-007310,1061871816-007310,114041860-0007310,1137105493-007310,1581287979-00007310,1611020471-007310,514700292-0000007310
Component 00000000058660,00004-58660,00004-00003-00006-36354,2039348366-058660,151687449-058660,411510179-0058660,1755848889-058660,456735239-00058660,1625937524-058660,1256731465-0000058660
Component 00000000024975,00006-00002-24975,00004-00006-00004-81514,1207523230-024975,1353198169-024975,1498873108-0024975,756565007-024975,28190312-00024975,1757469361-024975,1807253014-0000024975
Component 00000000030043,00003-00006-30043,00001-00010-99876,2036207195-030043,2076269008-030043,2116330821-0030043,757979655-030043,557670590-00030043,1811690572-030043,1230801151-0000030043
Component 00000000009826,00001-00005-00011-9826,00002-00009-27972,1755734332-009826,631731777-009826,1655212869-0009826,2002443413-009826,1180005247-00009826,1490702867-009826,1884712130-0000009826
Component 00000000014218,00003-00001-00009-14218,00004-00002-27419,810926644-014218,912741813-014218,1014556982-0014218,380253223-014218,2018661025-00014218,1403087462-014218,960295428-0000014218
Component 00000000109963,00003-00009-109963,00004-00004-113845,606923459-109963,563888013-109963,520852567-0109963,667187975-109963,882365205-00109963,688705698-109963,695467330-0000109963
Component 00000000092274,00004-92274,00004-00004-00003-112739,453639245-092274,172045934-092274,2037936270-0092274,755007367-092274,15490275-00092274,1969545846-092274,574924549-0000092274
Component 00000000089447,00002-00001-00007-89447,00002-00004-33527,752226568-089447,1606618715-089447,313527215-0089447,314314581-089447,337321140-00089447,960860331-089447,681677627-0000089447
Component 00000000113333,00003-00003-00012-113333,00001-00002-00003-84646,920886068-113333,2023680924-113333,978992133-0113333,719345409-113333,1647822070-00113333,167947981-113333,1119249113-0000113333
Component 00000000122367,00002-00011-122367,00001-00001-00005-90511,2027605002-122367,311948181-122367,743775007-0122367,1496369593-122367,1484719110-00122367,1280456180-122367,1423615831-0000122367
Component 00000000103710,00005-00009-103710,00002-00006-00002-43357,2042721463-103710,1317193376-103710,591665289-0103710,140605772-103710,1620762560-00103710,1577111639-103710,1576794956-0000103710
Component 00000000093479,00004-00001-00009-93479,00001-00012-22905,1651060315-093479,1741405508-093479,1831750701-0093479,664093058-093479,212367093-00093479,1692662285-093479,1592305024-0000093479
Component 00000000039272,00002-00002-00012-39272,00003-00004-00006-111143,202901572-039272,1900911907-039272,1451438595-0039272,2025766057-039272,2125648970-00039272,103019066-039272,1499137398-0000039272
Component 00000000077934,00004-00003-00012-77934,00003-00001-81823,2012730213-077934,838658473-077934,1812070380-0077934,904825645-077934,332733404-00077934,1491861515-077934,1877417128-0000077934
Component 00000000026923,00003-00001-26923,00004-00001-00001-12559,242981082-026923,779563288-026923,1316145494-0026923,497414309-026923,2109470573-00026923,229123206-026923,1712662940-0000026923
Component 00000000014422,00002-00002-00005-14422,00004-00005-00005-33129,1638773602-014422,448303972-014422,1405317989-0014422,1883055016-014422,1392952225-00014422,330806184-014422,110985614-0000014422
Component 00000000104198,00003-00003-00003-104198,00004-00002-75959,414102635-104198,1524343051-104198,487099820-0104198,573671636-104198,1464920497-00104198,18551428-104198,880248439-0000104198
Component 00000000052669,00004-00001-00006-52669,00001-00004-00012-115686,675787713-052669,15741724-052669,1503179382-0052669,1949553775-052669,954816426-00052669,1205834946-052669,1365917690-0000052669
Component 00000000102204,00004-00004-00011-102204,00002-00003-00005-20142,108718027-102204,1336826001-102204,417450328-0102204,1689896297-102204,1991807368-00102204,1075842310-102204,1805253336-0000102204
Component 00000000071071,00001-71071,00005-00001-13235,951569458-071071,974714422-071071,997859386-0071071,2074100212-071071,1958375392-00071071,2062527730-071071,997353400-0000071071
Component 00000000108653,00003-00006-00012-108653,00001-00004-00005-77186,562495035-108653,8262956-108653,1601514524-0108653,525784791-108653,1149461539-00108653,1876642654-108653,524256844-0000108653
Component 00000000003839,00004-00003-00004-3839,00002-00005-00008-107427,1517011598-003839,1353133180-003839,1189254762-0003839,11359266-003839,830751356-00003839,93298475-003839,1235818322-0000003839
Component 00000000105039,00004-00004-00012-105039,00001-00001-00004-99506,1479008630-105039,1047989850-105039,616971070-0105039,2049434270-105039,2057044523-00105039,117460013-105039,315997760-0000105039
Component 00000000055423,00003-00004-00004-55423,00004-00004-00009-69234,985695912-055423,968372358-055423,951048804-0055423,145503543-055423,232121313-00055423,154165320-055423,936640344-0000055423
Component 00000000089934,00004-00005-89934,00001-00004-00001-47191,962808527-089934,71787607-089934,1328250334-0089934,697966847-089934,858104153-00089934,1143477307-089934,540034989-0000089934
