Component 00000000071551,00001-00004-00012-71551,00001-00002-00001-26651,1295239515-071551,70182386-071551,992608904-0071551,935769051-071551,618603755-00071551,474555792-071551,2029012347-0000071551
Component 00000000066916,00001-00003-00005-66916,00004-00009-20419,2032456480-066916,789279981-066916,1693587129-0066916,794196571-066916,567628125-00066916,342042997-066916,87916061-0000066916
Component 00000000037722,00002-00006-00009-37722,00001-00003-00009-67791,1796116791-037722,512060708-037722,1375488272-0037722,722680705-037722,700510179-00037722,290966923-037722,1076967525-0000037722
Component 00000000063267,00002-00001-00009-63267,00002-00004-00005-41787,2042180828-063267,1464342938-063267,886505048-0063267,1934330574-063267,528552730-00063267,75765872-063267,537059235-0000063267
Component 00000000117128,00003-00004-00011-117128,00002-00001-00009-67362,1137120454-117128,644991712-117128,152862970-0117128,891196584-117128,1204356647-00117128,1137260955-117128,649352909-0000117128
Component 00000000089580,00001-00010-89580,00004-00006-00003-37274,1603758474-089580,911153643-089580,218548812-0089580,1298420699-089580,466477560-00089580,570981291-089580,1709861406-0000089580
Component 00000000083403,00003-00005-00008-83403,00001-00010-111420,240656018-083403,1550043644-083403,711947623-0083403,1468930116-083403,1364442927-00083403,814236303-083403,235718662-0000083403
Component 00000000093419,00004-00004-00001-93419,00003-00003-00006-21248,25775285-093419,1575561761-093419,977864590-0093419,28491726-093419,869493934-00093419,1401082135-093419,2031314194-0000093419
Component 00000000051376,00001-00003-51376,00003-00001-00002-79458,1828227020-051376,1466905325-051376,1105583630-0051376,410252165-051376,69376993-00051376,1664654836-051376,1029631337-0000051376
Component 00000000052454,00004-00003-00012-52454,00003-00004-00009-109638,1631621994-052454,1670074867-052454,1708527740-0052454,275360864-052454,83096499-00052454,1329876251-052454,1958592074-0000052454
Component 00000000117419,00004-00001-00003-117419,00003-00005-00011-75528,462460798-117419,193208461-117419,2071439771-0117419,1362366159-117419,561144197-00117419,423250504-117419,945970903-0000117419
Component 00000000020911,00001-00002-00007-20911,00003-00005-00005-91278,2092648665-020911,450246845-020911,955328672-0020911,1893055334-020911,1515129846-00020911,566772597-020911,487616081-0000020911
Component 00000000120547,00002-00011-120547,00001-00003-39546,339634822-120547,251347358-120547,163059894-0120547,352660112-120547,794097432-00120547,396803844-120547,1175036496-0000120547
Component 00000000058873,00003-00003-00009-58873,00002-00008-42310,1034795964-058873,347876312-058873,1808440307-0058873,2078931194-058873,1218562160-00058873,274907373-058873,2111389409-0000058873
Component 00000000011509,00004-00001-00004-11509,00006-00003-75130,1071705321-011509,470848888-011509,2017476102-0011509,921197555-011509,1777996073-00011509,147883948-011509,1441260635-0000011509
Component 00000000067344,00004-00004-00004-67344,00003-00004-00010-32393,205511466-067344,42379846-067344,2026731873-0067344,883562484-067344,1699220584-00067344,965128294-067344,16636247-0000067344
Component 00000000021304,00004-00003-00010-21304,00012-102270,1087878600-021304,917308098-021304,746737596-0021304,1405143841-021304,110512704-00021304,1490429092-021304,784866415-0000021304
Component 00000000035781,00001-00004-00005-35781,00005-00012-13480,981619065-035781,2096811304-035781,1064519896-0035781,307609658-035781,1174099404-00035781,823755362-035781,1752803396-0000035781
Component 00000000091892,00002-00003-00008-91892,00003-00006-3178,1878063748-091892,570313677-091892,1410047253-0091892,1802952891-091892,1899252305-00091892,1383086103-091892,1784914101-0000091892
Component 00000000092861,00001-00006-00002-92861,00004-00003-00012-5589,1344848040-092861,1219547264-092861,1094246488-0092861,1710211345-092861,189231578-00092861,1772861733-092861,346736481-0000092861
Component 00000000085779,00004-00001-00005-85779,00001-00002-00001-54406,436561441-085779,580562939-085779,724564437-0085779,978183153-085779,258175663-00085779,906182404-085779,1996995212-0000085779
Component 00000000013701,00001-00002-00012-13701,00002-00005-00005-12927,1054668326-013701,2041988353-013701,881824733-0013701,621307578-013701,2127158384-00013701,1201389388-013701,965932324-0000013701
Component 00000000010058,00003-00006-00009-10058,00003-34450,238228201-010058,1050815686-010058,1863403171-0010058,2067757401-010058,152303623-00010058,587721835-010058,782571132-0000010058
Component 00000000055857,00002-00004-00009-55857,00007-89915,184500186-055857,836147182-055857,1487794178-0055857,1724608434-055857,613857101-00055857,1398784936-055857,1662147313-0000055857
Component 00000000031016,00001-00006-00011-31016,00002-00003-3565,1434573867-031016,2019675852-031016,457294190-0031016,820990905-031016,42964627-00031016,1602181736-031016,1560283718-0000031016
Component 00000000110416,00001-00005-00007-110416,00005-00003-2980,1749996582-110416,1192834648-110416,635672714-0110416,497446547-110416,1135772570-00110416,776027514-110416,93255397-0000110416
Component 00000000028412,00002-00006-00007-28412,00001-00006-00011-54221,1783690180-028412,818946457-028412,2001686381-0028412,1164518025-028412,1693269346-00028412,573148063-028412,1850081415-0000028412
Component 00000000100328,00003-00004-00007-100328,00001-00002-91156,1175244471-100328,993660540-100328,812076609-0100328,2032100229-100328,792536237-00100328,1049150371-100328,1009326834-0000100328
Component 00000000092140,00006-00009-92140,00003-00001-00010-108963,1431932665-092140,1743739015-092140,2055545365-0092140,1522155111-092140,2110607008-00092140,1366251936-092140,1382748945-0000092140
Component 00000000049979,00004-00006-00007-49979,00004-00003-00005-40344,1189218119-049979,520463874-049979,1999193276-0049979,2040633765-049979,1089437696-00049979,1301269064-049979,468047450-0000049979
Component 00000000073869,00004-00005-00003-73869,00001-00005-00001-91586,151629258-073869,1881950738-073869,1464788571-0073869,320358805-073869,258685993-00073869,1602681712-073869,179952159-0000073869
Component 00000000085223,00003-00005-00008-85223,00004-00001-00004-38809,1873084859-085223,713923412-085223,1702245612-0085223,414587678-085223,1915427619-00085223,2067910225-085223,1735266475-0000085223
Component 00000000031764,00004-00005-00005-31764,00002-00002-00010-24502,1203185889-031764,123530530-031764,1191358818-0031764,1453250329-031764,409076183-00031764,919336185-031764,1359272383-0000031764
Component 00000000111408,00003-00003-00011-111408,00001-00001-00008-30766,1828204258-111408,2036841780-111408,97995655-0111408,1209705840-111408,166518230-00111408,1105387079-111408,236873831-0000111408
Component 00000000015592,00002-00003-00005-15592,00002-00003-00003-65887,324655512-015592,1916605527-015592,1361071895-0015592,1298561771-015592,1928746284-00015592,1576328587-015592,830819713-0000015592
Component 00000000047056,00001-00002-00009-47056,00002-00004-00007-82037,340196920-047056,1993072838-047056,1498465109-0047056,1047784004-047056,1373339002-00047056,221346045-047056,1507635192-0000047056
Component 00000000079841,00001-00006-00008-79841,00004-00008-11669,199690090-079841,2094126633-079841,1841079529-0079841,811807428-079841,2077042948-00079841,938330980-079841,1539604689-0000079841
Component 00000000027595,00001-00009-27595,00003-00002-00005-31348,1203515449-027595,1782265765-027595,213532434-0027595,1355618364-027595,609350431-00027595,1066243206-027595,349315216-0000027595
Component 00000000035019,00004-00005-00010-35019,00001-00004-00012-115686,1986665410-035019,1202390899-035019,418116388-0035019,1530315449-035019,1156720710-00035019,848710881-035019,1159804232-0000035019
Component 00000000069622,00002-00007-69622,00001-00012-96160,333630237-069622,1081166769-069622,1828703301-0069622,81930040-069622,639214674-00069622,1855645421-069622,1922809982-0000069622
Component 00000000059146,00001-00003-00009-59146,00004-00002-00008-49954,1753876279-059146,732370551-059146,1858348470-0059146,1602972352-059146,268050051-00059146,2113725216-059146,1877388986-0000059146
Component 00000000090426,00001-00011-90426,00001-00004-00002-60946,2032279846-090426,960192293-090426,2035588387-0090426,501899230-090426,1567369701-00090426,2111684830-090426,348001277-0000090426
Component 00000000026467,00002-00012-26467,00001-36505,815211663-026467,2123679913-026467,1284664516-0026467,1998896025-026467,1899005716-00026467,1344661900-026467,1555526155-0000026467
Component 00000000059466,00001-00001-00004-59466,00003-00004-00011-58888,1505325060-059466,1269609783-059466,1033894506-0059466,1884294184-059466,915386922-00059466,928409999-059466,1277060436-0000059466
Component 00000000049901,00001-00005-00007-49901,00004-00009-38164,1796707963-049901,373016190-049901,1096808064-0049901,393391853-049901,1069399777-00049901,31495916-049901,658082136-0000049901
Component 00000000043329,00004-00006-43329,00001-00006-00008-101226,1492668530-043329,765869486-043329,39070442-0043329,602653248-043329,2089164821-00043329,966052770-043329,1028018494-0000043329
Component 00000000076561,00001-00002-00004-76561,00004-00007-43414,1254805996-076561,493301045-076561,1879279741-0076561,1902779695-076561,1415337156-00076561,1209790347-076561,1876123816-0000076561
Component 00000000097458,00003-00004-00010-97458,00003-00005-00001-10778,1537260926-097458,986461674-097458,435662422-0097458,593300968-097458,1199813581-00097458,868700594-097458,1606790045-0000097458
Component 00000000058050,00006-00005-58050,00002-00002-00012-19252,1619302038-058050,902288866-058050,185275694-0058050,1203901548-058050,494000114-00058050,1562408134-058050,1040423038-0000058050
Component 00000000047512,00002-00003-00010-47512,00004-00005-94840,391946570-047512,1269088443-047512,2146230316-0047512,1057396294-047512,966654223-00047512,1692567181-047512,1308738737-0000047512
Component 00000000016706,00001-00004-00001-16706,00002-00005-97050,2097617133-016706,935704108-016706,1921274730-0016706,505668419-016706,2020266250-00016706,12883108-016706,1514457999-0000016706
Component 00000000056813,00003-00001-00003-56813,00004-00004-108164,312599145-056813,1445055164-056813,430027536-0056813,475883068-056813,1256053914-00056813,983396882-056813,437384836-0000056813
Component 00000000072503,00003-00004-00002-72503,00002-53300,1703834141-072503,587286240-072503,1618221986-0072503,164610294-072503,1452382505-00072503,1796626068-072503,193858017-0000072503
Component 00000000022163,00003-00001-00011-22163,00009-2765,1369117830-022163,2041392940-022163,566184403-0022163,1762205960-022163,548314057-00022163,1426068405-022163,1103683539-0000022163
Component 00000000001794,00004-00002-1794,00002-00003-00009-50137,1725881675-001794,550050743-001794,1521703458-0001794,532656295-001794,2116843661-00001794,1120571761-001794,1832158822-0000001794
Component 00000000111887,00002-00006-00009-111887,,717659206-111887,852472472-111887,987285738-0111887,813651666-111887,139585336-00111887,746245033-111887,1830621512-0000111887
Component 00000000003903,00003-00004-00003-3903,00003-00006-00004-109178,936480750-003903,1837225824-003903,590487251-0003903,1672943899-003903,1464185823-00003903,1222571362-003903,1922993617-0000003903
Component 00000000007482,00002-00006-00007-7482,00001-00002-00002-85906,399964357-007482,171226074-007482,2089971438-0007482,1117317690-007482,113525458-00007482,157945008-007482,657368244-0000007482
Component 00000000102829,00004-00006-00012-102829,00002-00001-00003-37612,54396425-102829,1856213307-102829,1510546542-0102829,1543169322-102829,1124019500-00102829,642260881-102829,1567184096-0000102829
Component 00000000036571,00001-00003-00002-36571,00004-00001-00012-35554,633391767-036571,1671028661-036571,561181908-0036571,1566657245-036571,673440069-00036571,1047838798-036571,1640824424-0000036571
Component 00000000049140,49140,00002-00003-16887,46178372-049140,904709934-049140,1763241496-0049140,882769836-049140,885079320-00049140,453504055-049140,907331811-0000049140
Component 00000000032483,00003-00003-00009-32483,00002-00003-44642,155413555-032483,470148746-032483,784883937-0032483,1461426613-032483,2035234305-00032483,230317194-032483,1917501948-0000032483
Component 00000000073789,00004-00002-00001-73789,00003-00005-00012-89283,1177699794-073789,1544101183-073789,1910502572-0073789,694556161-073789,1010032863-00073789,1585097290-073789,444419766-0000073789
Component 00000000059865,00001-59865,00003-00006-70063,192028365-059865,1576836198-059865,814160384-0059865,1856957032-059865,1375368808-00059865,90811292-059865,1100637117-0000059865
Component 00000000001835,00001-00002-1835,00004-00001-00006-51304,1357275820-001835,1239969565-001835,1122663310-0001835,1036631570-001835,1623162845-00001835,21542874-001835,824862997-0000001835
Component 00000000101040,00002-00004-101040,00001-111111,1327453043-101040,1230081455-101040,1132709867-0101040,899898319-101040,1386756259-00101040,948584113-101040,1810120929-0000101040
Component 00000000119822,00002-00003-00001-119822,00002-00002-00012-19252,1088324976-119822,298053293-119822,1655265257-0119822,341112173-119822,2144986941-00119822,1809989838-119822,1186620810-0000119822
Component 00000000095983,00003-00006-00004-95983,00003-00005-93028,1294607582-095983,1248767172-095983,1202926762-0095983,1218831344-095983,1448033394-00095983,1241751549-095983,717980576-0000095983
Component 00000000046253,00003-00004-00012-46253,00004-00001-00011-59564,1074551498-046253,1795796507-046253,369557869-0046253,621454259-046253,1310196508-00046253,1334573578-046253,1407042061-0000046253
Component 00000000081505,00004-00008-81505,00002-58305,2118331824-081505,532926941-081505,1095005705-0081505,1461864467-081505,798954294-00081505,1180825085-081505,1818584032-0000081505
Component 00000000004771,00001-00004-4771,00005-00009-9980,354638723-004771,1457668906-004771,413215442-0004771,1238253247-004771,18069626-00004771,1760479979-004771,143930514-0000004771
Component 00000000049953,00003-00001-00007-49953,00003-00004-00001-39638,1397545281-049953,1022925770-049953,648306259-0049953,1482109997-049953,1207723905-00049953,595677929-049953,340569113-0000049953
Component 00000000104552,00002-00006-104552,00006-00010-85875,751318737-104552,145451299-104552,1687067508-0104552,1431519052-104552,165888948-00104552,1734452771-104552,1151467954-0000104552
Component 00000000083318,00003-00004-00001-83318,00004-00006-00006-109024,2064712649-083318,1029807852-083318,2142386702-0083318,190212052-083318,1069768743-00083318,1781406274-083318,1997588673-0000083318
Component 00000000004939,00004-00004-00012-4939,00003-00001-00005-14708,519666598-004939,1655854717-004939,644559189-0004939,863957371-004939,1625467717-00004939,1369605135-004939,1427224950-0000004939
Component 00000000099544,00004-00004-00003-99544,00004-00002-00005-69204,493196868-099544,2079118873-099544,1517557231-0099544,1174744642-099544,1835069205-00099544,1455525463-099544,899860558-0000099544
Component 00000000014681,00001-00002-00004-14681,00004-00003-00005-40344,1540937252-014681,661638214-014681,1929822823-0014681,1844606849-014681,1946134745-00014681,136772721-014681,1215373968-0000014681
Component 00000000025894,00004-00001-00011-25894,00004-00004-00007-107244,962866908-025894,680820885-025894,398774862-0025894,1242278498-025894,505024966-00025894,309559686-025894,257657470-0000025894
Component 00000000013247,00002-00003-13247,00003-00001-00010-218,1421461604-013247,111104625-013247,948231293-0013247,1219915709-013247,1329249663-00013247,801352375-013247,2136052581-0000013247
Component 00000000023741,00001-00004-00003-23741,00003-00002-46945,210638200-023741,381686276-023741,552734352-0023741,2064018945-023741,1208778565-00023741,1978494907-023741,1416937114-0000023741
Component 00000000062031,00001-00004-00008-62031,00001-00004-00010-7186,1683247748-062031,528147089-062031,1520530077-0062031,421698785-062031,1902234786-00062031,2072990938-062031,1890410806-0000062031
Component 00000000089507,00002-00005-00002-89507,00003-00003-00005-35248,1768284675-089507,2087741529-089507,259714736-0089507,82072918-089507,632272295-00089507,2069828138-089507,714442548-0000089507
Component 00000000022726,00001-00004-00002-22726,00001-00003-00008-18546,1365446590-022726,263279197-022726,1308595451-0022726,523677381-022726,1739547052-00022726,1019254-022726,609481000-0000022726
Component 00000000055845,00006-00010-55845,00004-00004-81085,2049877354-055845,996803975-055845,2091214243-0055845,1441684177-055845,264600131-00055845,894479043-055845,1899889913-0000055845
Component 00000000116086,00001-00005-00009-116086,00002-00004-36547,860544192-116086,1661268217-116086,314508595-0116086,2114695582-116086,258559104-00116086,640591746-116086,13183922-0000116086
Component 00000000087672,00002-00004-87672,00002-00003-00004-107397,765377731-087672,942147249-087672,1118916767-0087672,748764766-087672,2012400823-00087672,660380007-087672,2090475129-0000087672
Component 00000000076179,00004-00005-00012-76179,00003-00005-32700,1662136331-076179,1529705894-076179,1397275457-0076179,607969254-076179,1270121439-00076179,1747926296-076179,413797954-0000076179
Component 00000000113726,00001-00004-00002-113726,00003-00004-00010-95638,460245878-113726,1239529497-113726,2018813116-0113726,674537577-113726,1073086776-00113726,1358637591-113726,994846105-0000113726
Component 00000000028325,00003-00011-28325,00012-51765,1427799280-028325,191720458-028325,1103125283-0028325,1607518529-028325,1345461698-00028325,78074293-028325,1950958391-0000028325
Component 00000000073792,00002-00005-00004-73792,00006-89375,1180467532-073792,989930859-073792,799394186-0073792,1603115303-073792,408315021-00073792,624641816-073792,362099206-0000073792
Component 00000000018451,00001-00006-00004-18451,00004-00005-00011-22384,146848806-018451,1532301112-018451,770269771-0018451,769292590-018451,284482001-00018451,76566437-018451,1902180923-0000018451
Component 00000000096581,00001-00002-00004-96581,00002-00004-00007-109792,325370045-096581,1992651630-096581,1512449568-0096581,657890155-096581,911416818-00096581,897991186-096581,1904999268-0000096581
Component 00000000089500,00005-00008-89500,00004-00001-00003-35064,1410173545-089500,976168828-089500,542164111-0089500,762039417-089500,784579355-00089500,2052783599-089500,39576014-0000089500
Component 00000000029457,00002-00001-00012-29457,00003-00003-83450,803770816-029457,260759065-029457,1865230961-0029457,1311246480-029457,1878821588-00029457,509010532-029457,591772513-0000029457
Component 00000000111492,00002-00003-00004-111492,00004-00005-00005-33129,15708034-111492,1557811274-111492,952430867-0111492,1793271176-111492,525205917-00111492,1022219556-111492,1764082465-0000111492
Component 00000000076045,00004-00008-76045,00003-00001-00002-28953,1667988488-076045,2134500140-076045,453528145-0076045,671483493-076045,486408880-00076045,438227667-076045,472203480-0000076045
Component 00000000079876,00001-00006-00004-79876,00002-00005-00007-12682,1726268339-079876,1264413734-079876,802559129-0079876,1874898290-079876,2036687668-00079876,1032083769-079876,2135564222-0000079876
Component 00000000023146,00001-00004-00006-23146,00004-00001-00001-30304,1691256673-023146,1123366464-023146,555476255-0023146,992127124-023146,1684094522-00023146,202330405-023146,334933304-0000023146
Component 00000000097323,00003-00002-00005-97323,00002-00002-00008-7002,718400928-097323,1432135168-097323,2145869408-0097323,974773216-097323,1701069310-00097323,617906096-097323,568134731-0000097323
Component 00000000075104,00004-00001-00003-75104,00004-00006-2580,1581061483-075104,2046872411-075104,365199692-0075104,550571374-075104,369000381-00075104,317665910-075104,2055339453-0000075104
